model,nlu_rank,nlg_rank,parameters,vocabulary_size,context,speed,commercial,merge,norec_primary,norec_secondary,norne_nb_primary,norne_nb_secondary,norne_nn_primary,norne_nn_secondary,scala_nb_primary,scala_nb_secondary,scala_nn_primary,scala_nn_secondary,norquad_primary,norquad_secondary,no_sammendrag_primary,no_sammendrag_secondary,mmlu_no_primary,mmlu_no_secondary,hellaswag_no_primary,hellaswag_no_secondary,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version,no_sammendrag_version,mmlu_no_version,hellaswag_no_version,speed_version
mhenrichsen/danskgpt-tiny-chat (few-shot),3.65,3.99,1100.0,32.0,2048,1744.69,False,False,27.49,48.0,28.74,28.29,30.34,30.02,-2.17,33.52,0.26,34.12,38.96,19.1,60.01,9.76,3.21,27.07,0.18,25.0,9.1.2,9.1.2,9.1.2,9.1.2,9.1.2,12.4.0,12.4.0,9.1.2,9.1.2,9.1.2
meta-llama/Llama-3.2-1B (few-shot),3.65,4.26,1236.0,128.0,131073,7577.45,True,False,29.5,49.19,30.54,29.88,31.34,30.46,-0.13,37.46,0.02,39.49,34.02,19.59,53.31,7.37,2.49,25.63,2.53,26.3,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
ibm-granite/granite-3b-code-base-2k (few-shot),3.66,4.18,3483.0,49.0,2048,2731.51,True,False,23.83,45.39,53.93,48.95,54.04,49.74,3.91,42.54,1.55,40.63,12.14,2.37,50.59,7.28,8.68,31.15,6.19,29.29,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
EuropeanParliament/EUBERT,3.67,999.0,94.0,66.0,512,20070.41,True,False,19.81,40.9,49.92,49.17,44.37,43.43,8.64,53.17,3.11,50.44,26.33,15.89,,,,,,,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0
HuggingFaceTB/SmolLM2-1.7B-Instruct (few-shot),3.67,4.27,1711.0,49.0,8192,15970.88,True,False,24.05,40.36,37.6,29.3,38.38,30.13,3.56,38.6,2.61,38.57,25.34,13.58,48.55,8.21,9.52,30.72,3.62,27.07,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
ibm-granite/granite-7b-base (few-shot),3.68,4.01,6738.0,32.0,2048,4405.37,True,False,16.98,27.01,32.21,31.19,36.62,36.4,1.57,41.68,0.97,40.1,44.62,26.28,55.91,9.21,8.41,29.77,2.47,26.33,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.8,12.10.8,12.10.8
sentence-transformers/distiluse-base-multilingual-cased-v1,3.72,999.0,135.0,120.0,512,34041.87,True,False,25.98,40.58,60.76,58.35,59.62,55.9,2.65,48.09,3.47,48.98,0.82,0.2,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.8.0
KBLab/albert-base-swedish-cased-alpha,3.74,999.0,14.0,50.0,512,15925.14,True,False,18.85,36.76,66.97,62.99,63.9,59.95,5.83,51.59,4.02,51.66,0.0,0.0,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
state-spaces/mamba-2.8b-hf (few-shot),3.75,4.24,2768.0,50.0,32769,2721.51,True,False,31.06,45.42,26.9,24.65,34.59,33.15,0.21,36.38,-0.17,40.22,22.83,10.35,53.77,9.67,-0.16,23.32,1.32,25.63,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
HPLT/gpt-7b-nordic-prerelease (few-shot),3.78,4.5,7550.0,131.0,4096,1382.06,True,False,17.44,35.51,20.25,20.45,28.99,27.5,3.2,34.58,2.61,34.49,40.73,21.5,49.59,5.67,0.86,21.96,0.0,25.02,12.3.2,12.5.2,12.5.2,12.3.2,12.3.2,12.3.2,12.3.2,12.3.2,12.3.2,14.0.3
HuggingFaceTB/SmolLM2-1.7B (few-shot),3.82,3.95,1711.0,49.0,8192,16248.88,True,False,23.25,36.07,26.7,24.56,28.23,28.27,-0.47,33.93,0.26,33.32,26.51,13.4,56.31,9.78,11.12,33.35,2.53,26.29,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
ibm-granite/granite-3.0-1b-a400m-instruct (few-shot),3.89,4.19,1335.0,49.0,4096,7964.03,True,False,19.55,40.67,36.99,28.69,37.27,27.84,1.95,43.75,2.31,46.79,19.74,7.33,56.69,9.12,-0.29,22.82,0.99,25.16,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0
Qwen/Qwen1.5-1.8B-Chat (few-shot),3.89,4.02,1837.0,152.0,32768,8303.55,False,False,19.85,35.75,26.99,24.61,25.74,24.51,1.96,44.22,-0.01,39.57,31.16,16.33,55.08,8.11,7.79,29.5,5.61,28.45,11.0.0,12.5.2,12.5.2,12.1.0,12.1.0,12.5.0,12.5.0,12.1.0,12.1.0,9.3.2
jannesg/bertsson,3.9,999.0,124.0,50.0,512,15313.79,True,False,23.21,44.26,49.3,46.11,46.11,43.01,2.26,45.07,-0.66,44.5,1.5,0.68,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
RuterNorway/Llama-2-7b-chat-norwegian (few-shot),3.91,4.26,,32.0,4096,10889.7,False,False,12.22,23.5,21.04,20.44,18.71,19.91,-1.18,35.7,0.36,37.66,50.11,26.86,53.49,9.38,0.21,26.88,-0.3,24.48,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,12.5.2,11.0.0,9.3.1,9.3.1,9.3.1
alexanderfalk/danbert-small-cased,3.91,999.0,83.0,52.0,512,30013.37,True,False,24.39,40.44,42.18,39.53,37.39,34.88,7.29,49.37,2.57,46.0,0.0,0.0,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
3ebdola/Dialectal-Arabic-XLM-R-Base,3.95,999.0,278.0,250.0,512,12782.54,True,False,12.69,32.23,55.55,52.52,53.53,50.23,2.79,47.71,1.66,46.6,0.6,0.0,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.8.0
allenai/OLMo-7B (few-shot),3.95,4.63,6888.0,50.0,2049,5402.86,True,False,21.46,38.36,34.42,27.79,35.17,30.7,0.34,33.6,0.26,34.69,9.85,0.12,45.34,5.61,2.61,27.69,0.96,25.05,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2
Qwen/Qwen1.5-1.8B (few-shot),3.96,3.99,1837.0,152.0,32768,5665.51,True,False,22.82,43.88,12.1,12.85,13.42,13.82,2.7,47.68,2.21,42.8,30.78,16.31,54.48,8.22,9.57,30.18,6.02,28.58,10.0.1,12.5.2,12.5.2,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0
ibm-granite/granite-3.0-1b-a400m-base (few-shot),3.98,4.21,1385.0,49.0,4096,7808.38,True,False,17.59,35.34,31.16,30.2,29.73,28.89,1.07,44.05,1.59,41.39,14.48,6.92,55.43,8.39,0.05,22.29,-0.1,24.9,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0
dbmdz/bert-tiny-historic-multilingual-cased,4.03,999.0,5.0,32.0,512,78027.26,True,False,19.19,37.36,46.11,43.54,35.18,33.22,2.76,50.99,0.42,49.39,0.0,0.0,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
mhenrichsen/danskgpt-tiny (few-shot),4.03,4.14,1100.0,32.0,2048,8596.74,True,False,18.09,31.83,27.37,27.19,27.59,28.03,-0.19,41.38,-0.8,40.66,16.14,5.84,56.77,9.18,-0.5,23.75,0.07,25.26,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.5.1,11.0.0,0.0.0,0.0.0,0.0.0
Qwen/Qwen1.5-0.5B-Chat (few-shot),4.11,6.26,620.0,152.0,32768,11740.04,False,False,11.49,27.12,29.52,29.79,31.27,31.91,0.29,40.21,-0.12,39.92,17.09,7.8,9.92,1.42,0.29,24.63,0.49,24.95,11.0.0,12.5.2,12.5.2,12.1.0,12.1.0,12.4.0,12.5.0,12.1.0,12.1.0,9.3.2
NbAiLab/nb-gpt-j-6B-v2 (few-shot),4.11,4.7,6051.0,50.0,1024,2555.5,False,False,20.84,35.78,5.29,4.93,6.77,6.78,0.45,34.65,0.48,32.86,22.78,2.43,44.23,6.81,0.17,24.43,-0.49,24.19,10.0.1,9.3.1,9.3.1,11.0.0,11.0.0,12.5.1,11.0.0,11.0.0,11.0.0,9.3.1
allenai/OLMo-7B-Twin-2T (few-shot),4.15,4.81,6888.0,50.0,2049,5484.4,True,False,25.52,41.44,9.06,8.39,17.16,16.0,0.68,45.09,0.17,42.02,6.96,0.46,40.94,5.09,2.43,24.94,2.35,26.35,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2
Qwen/Qwen1.5-0.5B (few-shot),4.17,4.33,620.0,152.0,32768,11371.34,True,False,6.31,20.67,34.46,33.09,33.41,33.91,-1.59,36.27,0.61,38.84,16.2,5.95,49.88,5.75,2.81,25.21,2.92,26.67,10.0.1,12.5.2,12.5.2,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,9.3.2
RabotaRu/HRBert-mini,4.21,999.0,80.0,200.0,512,54950.85,True,False,15.07,35.8,31.87,30.31,32.47,30.59,1.26,48.42,0.49,45.93,0.0,0.0,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
AI-Sweden-Models/gpt-sw3-126m-instruct (few-shot),4.22,4.08,186.0,64.0,2048,7717.03,True,False,5.13,20.41,27.66,28.61,30.88,31.97,0.0,33.25,0.0,32.79,15.63,7.55,58.91,9.74,-0.68,22.92,0.32,25.12,9.3.2,11.0.0,11.0.0,11.0.0,11.0.0,12.4.0,12.4.0,11.0.0,11.0.0,11.0.0
NbAiLab/nb-gpt-j-6B@sharded (few-shot),4.23,5.0,,50.0,1024,2630.15,True,False,20.64,36.75,0.22,1.66,0.24,1.43,-0.99,33.37,-0.15,32.83,22.14,0.53,38.55,5.75,0.63,24.41,-0.09,24.42,10.0.1,9.3.1,9.3.1,10.0.1,10.0.1,12.5.1,11.0.0,10.0.1,10.0.1,9.3.1
allenai/OLMo-1B (few-shot),4.26,4.88,1177.0,50.0,2049,8536.09,True,False,9.95,29.01,30.79,32.18,31.12,33.1,-0.95,39.37,-0.04,42.36,3.06,0.0,40.45,4.0,0.32,24.22,0.12,24.92,12.1.0,12.5.2,12.5.2,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0
fresh-xlm-roberta-base,4.27,999.0,278.0,250.0,512,2214.08,True,False,12.6,32.27,25.49,23.54,25.94,24.1,0.5,36.93,1.83,37.67,0.0,0.0,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1
fresh-electra-small,4.32,999.0,14.0,31.0,512,7840.02,True,False,15.29,34.15,18.38,17.08,12.76,11.65,0.17,36.29,0.37,35.08,0.0,0.0,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.8.0
HuggingFaceTB/SmolLM2-360M (few-shot),4.32,4.55,362.0,49.0,8192,22023.39,True,False,6.21,23.74,26.6,23.6,23.7,23.04,-0.39,33.4,0.21,35.33,10.23,4.65,48.59,6.8,-1.13,21.8,-0.51,24.82,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
HuggingFaceTB/SmolLM2-360M-Instruct (few-shot),4.33,4.55,362.0,49.0,8192,21776.98,True,False,7.6,26.47,20.37,21.57,21.27,22.34,1.31,45.75,0.51,38.71,10.53,4.8,49.27,7.39,-0.9,21.85,-1.0,24.21,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
HuggingFaceTB/SmolLM2-135M (few-shot),4.34,4.3,135.0,49.0,8192,26346.08,True,False,8.84,29.74,24.37,26.91,24.69,27.6,-1.2,36.09,-0.5,36.68,2.31,0.16,53.61,6.64,-0.81,24.67,-0.71,24.42,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
NorwAI/NorwAI-Mistral-7B-pretrain (few-shot),4.38,4.45,7537.0,68.0,4065,3023.95,True,False,8.7,25.39,12.77,14.13,10.51,9.95,0.0,38.54,0.82,37.77,10.19,1.85,49.76,6.51,-2.42,21.73,1.23,25.06,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.5
RJuro/kanelsnegl-v0.1 (few-shot),4.47,4.04,7242.0,32.0,510,5847.39,True,False,0.95,9.68,0.0,0.0,0.0,0.0,0.0,33.25,0.0,32.79,33.45,0.0,59.32,9.47,0.18,21.91,0.3,25.03,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,12.5.1,11.0.0,9.3.1,9.3.1,12.10.0
RJuro/kanelsnegl-v0.2 (few-shot),4.49,4.08,7242.0,32.0,512,1373.32,True,False,1.27,9.77,0.0,0.0,0.0,0.0,0.0,33.25,0.0,32.79,32.25,0.0,59.1,9.14,0.83,21.96,0.09,25.03,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,11.0.0,10.0.1,11.0.0,11.0.0
HuggingFaceTB/SmolLM2-135M-Instruct (few-shot),4.51,4.29,135.0,49.0,8192,25602.11,True,False,2.78,26.17,20.89,22.28,19.62,21.82,-0.98,40.63,0.93,40.91,2.19,0.15,53.93,6.6,-0.48,25.53,-0.53,24.68,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
AI-Sweden-Models/gpt-sw3-126m (few-shot),4.52,4.35,186.0,64.0,2048,8957.78,True,False,7.78,21.7,13.55,15.9,9.38,11.18,-1.46,43.3,-2.97,44.41,6.65,2.32,51.68,7.39,0.39,23.22,-0.8,24.77,9.2.0,9.2.0,9.2.0,9.2.0,9.2.0,12.5.1,11.0.0,9.2.0,9.2.0,9.2.0
ai-forever/mGPT (few-shot),4.68,5.3,,100.0,2046,11734.33,True,False,4.76,16.95,0.08,0.07,0.0,0.0,0.67,40.42,-0.88,40.7,0.74,0.0,31.66,0.93,0.72,22.86,-0.2,24.94,10.0.1,9.3.1,9.3.1,11.0.0,11.0.0,12.5.1,12.0.0,11.0.0,11.0.0,12.10.0
NorGLM/NorGPT-369M (few-shot),4.69,4.7,,64.0,1024,19895.92,True,False,3.41,14.87,3.14,2.91,3.0,2.65,0.22,33.42,0.27,38.2,2.27,0.0,45.57,4.96,-0.45,24.16,-0.27,24.77,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2
Sigurdur/qa-icebreaker (few-shot),4.79,999.0,110.0,32.0,1024,44888.92,False,False,1.0,13.84,0.0,0.0,0.0,0.0,0.0,33.25,0.0,32.79,0.53,0.0,,,,,,,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,0.0.0,0.0.0,0.0.0,12.5.2
peter-sk/gpt-neox-da (few-shot),4.8,4.83,1515.0,50.0,1024,6025.33,True,False,-1.43,20.9,0.29,0.29,0.25,0.27,-0.42,35.77,1.11,39.28,3.15,0.0,41.89,3.46,0.69,24.93,0.55,25.11,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,11.0.0,10.0.1,10.0.1,10.0.1
Sigurdur/icebreaker (few-shot),4.81,4.97,110.0,32.0,1024,48618.98,False,False,0.0,9.59,0.0,0.0,0.0,0.0,0.0,33.25,0.0,32.79,0.47,0.0,39.58,0.78,0.18,22.92,-0.09,24.7,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.5.2
ssmits/Falcon2-5.5B-multilingual (few-shot),4.81,4.83,5465.0,65.0,8192,7691.9,True,False,0.0,9.59,0.0,0.0,0.0,0.0,0.0,33.25,0.0,32.79,0.09,0.0,41.98,0.21,1.14,24.51,0.64,24.68,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
norallm/normistral-7b-scratch (few-shot),999.0,3.98,7248.0,33.0,2048,3191.78,True,False,,,,,,,,,,,,,60.36,12.69,0.99,24.0,-0.16,24.84,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,11.0.0,10.0.1,10.0.1,10.0.1
01-ai/Yi-6B (few-shot),999.0,3.25,6061.0,64.0,4094,6435.34,True,False,,,43.44,33.41,46.33,34.05,,,,,62.78,40.28,61.98,14.38,23.14,41.88,16.5,36.98,0.0.0,9.3.2,9.3.2,0.0.0,0.0.0,12.5.1,12.0.0,10.0.1,10.0.1,12.10.0
01-ai/Yi-6B-Chat (few-shot),999.0,3.19,6061.0,64.0,4096,2278.2,False,False,34.7,53.91,,,,,1.07,33.77,4.15,35.39,66.09,42.46,62.58,14.83,23.57,42.56,19.8,39.4,11.0.0,0.0.0,0.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0
