model,generative_type,rank,french,italian,spanish,parameters,vocabulary_size,context,commercial,merge,allocine,eltec,scala_fr,fquad,orange_sum,mmlu_fr,hellaswag_fr,sentipolc16,multinerd_it,scala_it,squad_it,ilpost_sum,mmlu_it,hellaswag_it,sentiment_headlines_es,conll_es,scala_es,mlqa_es,mlsum_es,mmlu_es,hellaswag_es,allocine_version,eltec_version,scala_fr_version,fquad_version,orange_sum_version,mmlu_fr_version,hellaswag_fr_version,sentipolc16_version,multinerd_it_version,scala_it_version,squad_it_version,ilpost_sum_version,mmlu_it_version,hellaswag_it_version,sentiment_headlines_es_version,conll_es_version,scala_es_version,mlqa_es_version,mlsum_es_version,mmlu_es_version,hellaswag_es_version
<a href='https://huggingface.co/Qwen/Qwen2.5-Math-1.5B'>Qwen/Qwen2.5-Math-1.5B (few-shot)</a>,📝,3.66@@3.66,3.51@@3.51,4.00@@4.00,3.47@@3.47,1543714304.0,151936.0,4096.0,✓,✗,54.36 ± 8.27 / 73.28 ± 7.01@@54.36278063186235,25.83 ± 4.46 / 23.06 ± 4.53@@25.82946770409426,2.12 ± 1.53 / 34.35 ± 1.32@@2.1203793190786633,13.01 ± 0.56 / 0.02 ± 0.02@@13.012425576494795,56.74 ± 2.53 / 10.07 ± 1.18@@56.74076318071457,10.52 ± 0.78 / 32.02 ± 0.62@@10.523452449356284,3.63 ± 1.17 / 27.92 ± 0.79@@3.626788665851045,0.00 ± 0.00 / 16.92 ± 0.39@@0.0,28.17 ± 4.33 / 26.93 ± 2.76@@28.171333609157568,5.26 ± 1.08 / 46.53 ± 3.15@@5.256004463853322,10.58 ± 1.14 / 0.01 ± 0.02@@10.581923854906709,55.85 ± 2.42 / 9.57 ± 1.09@@55.8530238250387,9.72 ± 0.84 / 31.92 ± 0.79@@9.720782582603254,2.69 ± 1.22 / 26.34 ± 0.91@@2.69007872516136,18.35 ± 2.76 / 33.53 ± 3.16@@18.354398390263192,36.50 ± 3.11 / 34.83 ± 3.16@@36.503553677901806,0.48 ± 0.63 / 33.64 ± 0.61@@0.4813140174716129,14.29 ± 1.01 / 0.01 ± 0.02@@14.28979298781949,52.10 ± 2.00 / 8.00 ± 1.04@@52.09574492851971,11.94 ± 0.77 / 32.50 ± 0.54@@11.943780343187028,1.99 ± 0.93 / 26.48 ± 0.60@@1.9933016772300631,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.6.1@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-360M-Instruct'>HuggingFaceTB/SmolLM2-360M-Instruct (few-shot)</a>,📝,3.73@@3.73,3.67@@3.67,3.94@@3.94,3.57@@3.57,361821120.0,49152.0,8192.0,✓,✗,16.96 ± 10.24 / 44.72 ± 7.01@@16.95663846360439,25.75 ± 2.83 / 25.29 ± 2.70@@25.74558931432992,0.00 ± 0.00 / 33.30 ± 0.27@@0.0,27.58 ± 2.16 / 14.44 ± 1.77@@27.58076425577398,59.25 ± 0.97 / 12.32 ± 0.73@@59.25143276253948,-1.41 ± 0.97 / 24.11 ± 0.55@@-1.4078233473284543,-0.15 ± 1.03 / 25.58 ± 0.73@@-0.15336224722014133,2.08 ± 3.22 / 18.68 ± 3.43@@2.0809949912715524,27.40 ± 2.16 / 25.95 ± 2.23@@27.399938491343978,0.33 ± 1.47 / 42.10 ± 2.96@@0.3285660200186182,23.08 ± 2.07 / 13.95 ± 2.36@@23.079615387606076,58.74 ± 0.86 / 10.29 ± 0.54@@58.74098534681252,1.06 ± 1.21 / 26.07 ± 1.09@@1.0644922652181015,-0.66 ± 1.70 / 23.54 ± 1.08@@-0.6568065808649262,3.87 ± 3.31 / 24.12 ± 4.16@@3.8670937630623694,23.52 ± 5.56 / 23.21 ± 5.15@@23.52452353519266,2.12 ± 1.56 / 42.74 ± 4.88@@2.1237436213000804,28.48 ± 2.93 / 13.71 ± 2.54@@28.475058314598677,57.28 ± 0.45 / 10.56 ± 0.19@@57.282192705897614,0.44 ± 1.21 / 25.89 ± 0.94@@0.4370385550823658,-0.49 ± 1.12 / 24.05 ± 0.71@@-0.4924316646646065,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
<a href='https://huggingface.co/PleIAs/Pleias-350m-Preview'>PleIAs/Pleias-350m-Preview (few-shot)</a>,🧠,3.79@@3.79,3.73@@3.73,3.87@@3.87,3.77@@3.77,353424384.0,65536.0,2048.0,✓,✗,14.11 ± 9.43 / 47.34 ± 6.34@@14.108851939034642,34.07 ± 3.25 / 32.71 ± 3.59@@34.07456038394495,-1.82 ± 1.14 / 38.02 ± 3.12@@-1.8230880567642427,23.31 ± 1.70 / 10.98 ± 1.57@@23.310815545918565,54.83 ± 1.52 / 11.23 ± 0.67@@54.83482793715666,-2.86 ± 1.11 / 22.51 ± 0.70@@-2.862164528882877,-1.12 ± 1.06 / 24.04 ± 0.62@@-1.117087444393677,9.42 ± 4.74 / 30.85 ± 4.55@@9.423465884163589,33.03 ± 4.10 / 30.99 ± 3.59@@33.0339324504975,0.55 ± 1.81 / 40.89 ± 3.68@@0.5470662609651962,24.96 ± 1.43 / 16.01 ± 1.80@@24.96254037730297,59.55 ± 0.98 / 10.39 ± 1.10@@59.54571006972401,-1.28 ± 0.85 / 23.96 ± 0.80@@-1.2800663452271508,-0.39 ± 0.65 / 23.88 ± 0.82@@-0.38579653410190295,2.94 ± 3.60 / 25.39 ± 3.53@@2.9383574975699314,40.23 ± 3.10 / 39.46 ± 2.99@@40.22803754070098,0.28 ± 1.90 / 37.40 ± 3.73@@0.2764247356216916,24.61 ± 1.59 / 10.24 ± 1.58@@24.606796460912594,37.18 ± 7.94 / 6.83 ± 1.45@@37.18188974657096,-0.46 ± 1.00 / 23.04 ± 0.66@@-0.4572257830031527,-1.59 ± 0.95 / 24.06 ± 0.95@@-1.5932839834462358,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-135M'>HuggingFaceTB/SmolLM2-135M (few-shot)</a>,🧠,3.85@@3.85,3.75@@3.75,4.14@@4.14,3.67@@3.67,134515008.0,49152.0,8192.0,✓,✗,15.51 ± 9.09 / 49.00 ± 8.37@@15.507266137871802,30.79 ± 3.88 / 30.79 ± 3.74@@30.78648546464312,-0.20 ± 1.10 / 35.86 ± 2.53@@-0.2017172559208929,14.39 ± 1.09 / 7.55 ± 0.97@@14.38592325739308,55.90 ± 1.95 / 12.13 ± 0.77@@55.89964983955724,-1.72 ± 1.06 / 23.28 ± 0.55@@-1.723794324292987,-0.69 ± 1.41 / 26.02 ± 0.86@@-0.6900640649900128,3.51 ± 3.34 / 23.45 ± 4.92@@3.5058499590496672,24.86 ± 1.30 / 22.85 ± 1.33@@24.862773508804377,0.37 ± 2.02 / 42.65 ± 2.74@@0.3686206325180161,9.67 ± 1.83 / 5.88 ± 1.97@@9.672897792988682,57.18 ± 2.23 / 12.25 ± 1.28@@57.176741850562394,0.22 ± 1.34 / 25.00 ± 0.79@@0.2170755394502488,-0.61 ± 0.85 / 24.10 ± 0.99@@-0.6134358937076667,4.50 ± 1.30 / 24.80 ± 2.94@@4.500190480866184,32.27 ± 2.81 / 31.23 ± 2.83@@32.27420353291024,-0.83 ± 0.71 / 33.65 ± 0.46@@-0.8311361507718459,14.70 ± 1.77 / 6.96 ± 1.54@@14.70179829525839,54.76 ± 1.68 / 10.37 ± 0.70@@54.75950142186775,-1.23 ± 1.05 / 23.04 ± 0.49@@-1.2330568712370034,-0.26 ± 1.07 / 25.17 ± 0.71@@-0.26315124594788636,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/PleIAs/Pleias-Pico'>PleIAs/Pleias-Pico (few-shot)</a>,🧠,3.86@@3.86,3.85@@3.85,3.90@@3.90,3.82@@3.82,353424384.0,65536.0,2048.0,✓,✗,10.56 ± 8.59 / 46.89 ± 7.21@@10.563439075625816,28.21 ± 3.31 / 27.73 ± 3.27@@28.214063851378572,-0.06 ± 1.47 / 41.04 ± 3.81@@-0.058162901614069486,22.60 ± 1.34 / 9.06 ± 1.66@@22.59869925360749,52.04 ± 0.86 / 9.12 ± 0.32@@52.0366446438129,-1.82 ± 1.26 / 23.05 ± 0.71@@-1.815130748319668,0.66 ± 0.92 / 25.04 ± 0.58@@0.6586919225257133,5.91 ± 4.97 / 25.49 ± 4.69@@5.914782205886643,27.00 ± 4.79 / 26.27 ± 4.40@@26.99883331207598,1.81 ± 1.92 / 42.82 ± 3.94@@1.814860131895106,17.73 ± 1.47 / 10.96 ± 1.57@@17.72683233997605,58.24 ± 1.19 / 9.59 ± 0.90@@58.240401393632055,-0.53 ± 0.89 / 23.96 ± 0.82@@-0.5266873738526084,0.20 ± 1.61 / 24.73 ± 1.13@@0.20467596125897108,3.87 ± 2.96 / 24.63 ± 3.34@@3.8744771397353848,32.21 ± 4.95 / 32.70 ± 4.23@@32.21054882529557,0.10 ± 1.98 / 37.86 ± 3.49@@0.09540664906127094,21.46 ± 1.55 / 5.87 ± 2.01@@21.462640064774092,37.41 ± 8.20 / 6.33 ± 1.66@@37.41405817127088,-0.32 ± 0.84 / 22.82 ± 0.58@@-0.3153434873910448,-0.73 ± 1.07 / 24.74 ± 0.93@@-0.7298348737381194,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-135M-Instruct'>HuggingFaceTB/SmolLM2-135M-Instruct (few-shot)</a>,📝,3.94@@3.94,3.88@@3.88,4.14@@4.14,3.81@@3.81,134515008.0,49152.0,8192.0,✓,✗,9.97 ± 3.91 / 46.31 ± 5.49@@9.965712822316572,25.57 ± 2.15 / 26.26 ± 2.28@@25.574017677444523,-0.06 ± 1.26 / 33.94 ± 0.98@@-0.06424785504692938,11.47 ± 0.71 / 2.57 ± 0.56@@11.467572371287284,56.33 ± 1.32 / 11.30 ± 0.37@@56.33073702920228,-1.37 ± 1.14 / 24.33 ± 0.98@@-1.3684899828156616,-1.67 ± 1.11 / 24.59 ± 0.94@@-1.6728660680653362,0.38 ± 1.01 / 19.34 ± 1.81@@0.3790379318723095,17.65 ± 4.75 / 17.75 ± 3.16@@17.652429430177815,-0.50 ± 1.00 / 36.65 ± 3.00@@-0.4981638161470338,9.90 ± 1.35 / 4.06 ± 1.50@@9.895265151132739,58.61 ± 1.12 / 10.70 ± 1.17@@58.60881044631242,-0.42 ± 0.81 / 25.20 ± 0.62@@-0.4220465586487943,-0.11 ± 0.71 / 25.15 ± 0.83@@-0.11150219065384202,0.44 ± 1.12 / 19.90 ± 1.56@@0.43661945307324573,21.31 ± 4.02 / 21.69 ± 3.77@@21.311317917779572,0.22 ± 0.43 / 34.51 ± 2.35@@0.21820693906359567,13.02 ± 1.60 / 3.28 ± 1.40@@13.015833153966886,54.57 ± 0.96 / 8.69 ± 0.95@@54.56688537233276,-1.42 ± 0.92 / 24.62 ± 0.54@@-1.4155264985258902,-1.57 ± 1.01 / 24.42 ± 0.79@@-1.5686961317680457,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/AI-Sweden-Models/gpt-sw3-356m-instruct'>AI-Sweden-Models/gpt-sw3-356m-instruct (few-shot)</a>,📝,4.13@@4.13,4.10@@4.10,4.07@@4.07,4.23@@4.23,470607872.0,64000.0,2048.0,✓,✗,0.00 ± 0.00 / 34.41 ± 0.31@@0.0,16.89 ± 3.31 / 16.92 ± 3.37@@16.894741841385816,0.49 ± 0.93 / 39.75 ± 3.76@@0.48704227904432784,7.34 ± 0.57 / 0.00 ± 0.00@@7.337645110501931,50.07 ± 3.17 / 9.35 ± 0.79@@50.07425776857417,-0.32 ± 0.74 / 25.90 ± 0.68@@-0.32367254889230984,0.55 ± 0.70 / 24.46 ± 0.78@@0.5540974231324136,6.35 ± 2.74 / 19.00 ± 1.53@@6.345896100037968,19.04 ± 2.61 / 19.48 ± 2.60@@19.043240411843986,-0.19 ± 1.38 / 36.03 ± 2.95@@-0.187259986988799,5.35 ± 0.48 / 0.00 ± 0.00@@5.351391810750047,58.06 ± 1.41 / 10.44 ± 0.77@@58.055488847821834,0.36 ± 0.70 / 23.98 ± 0.79@@0.3578821090611274,-0.43 ± 0.58 / 25.30 ± 0.64@@-0.4343556006571015,2.48 ± 2.61 / 24.24 ± 2.70@@2.4791775695592215,15.84 ± 6.55 / 15.82 ± 6.74@@15.84190296435351,-0.84 ± 0.85 / 33.35 ± 0.27@@-0.8421911867887188,9.49 ± 0.80 / 0.00 ± 0.00@@9.487117996503633,18.79 ± 7.83 / 3.80 ± 1.55@@18.786540098371916,0.81 ± 0.78 / 24.81 ± 1.22@@0.8084129832338033,-0.12 ± 0.92 / 25.11 ± 0.68@@-0.11989177228060491,15.4.1@@150401,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.1@@150401,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.1@@150401,15.6.1.dev0@@150601,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402
<a href='https://huggingface.co/AI-Sweden-Models/gpt-sw3-356m'>AI-Sweden-Models/gpt-sw3-356m (few-shot)</a>,🧠,4.17@@4.17,4.09@@4.09,4.31@@4.31,4.11@@4.11,470607872.0,64000.0,2048.0,✓,✗,0.39 ± 0.77 / 34.44 ± 0.30@@0.3932491114883971,19.59 ± 6.26 / 19.70 ± 6.36@@19.591343457869552,0.00 ± 0.00 / 33.36 ± 0.27@@0.0,10.20 ± 1.19 / 5.43 ± 0.93@@10.199457072655525,50.33 ± 2.84 / 10.04 ± 0.62@@50.334044527844526,0.24 ± 1.24 / 24.62 ± 0.71@@0.24080926724750437,-0.57 ± 0.82 / 25.24 ± 0.56@@-0.570849724310451,17.51 ± 2.99 / 32.29 ± 2.46@@17.5060010244002,11.98 ± 9.41 / 12.22 ± 8.36@@11.981222865291112,0.36 ± 1.45 / 38.67 ± 4.22@@0.3553424143914899,6.76 ± 1.27 / 3.96 ± 1.44@@6.755930404463629,51.86 ± 3.96 / 7.01 ± 0.68@@51.85533399540873,-0.17 ± 0.67 / 23.85 ± 0.62@@-0.17074147987715615,0.08 ± 0.79 / 26.05 ± 0.60@@0.07785828438735411,6.01 ± 2.62 / 24.43 ± 2.96@@6.010234816300343,30.94 ± 4.32 / 30.32 ± 3.68@@30.93876394068678,0.00 ± 0.00 / 33.36 ± 0.27@@0.0,9.00 ± 1.42 / 4.30 ± 1.29@@9.004601449373979,18.87 ± 7.66 / 3.46 ± 1.46@@18.865321496050456,0.75 ± 1.22 / 23.39 ± 1.16@@0.753640233996789,0.26 ± 0.51 / 25.19 ± 0.55@@0.25834304413211767,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/AI-Sweden-Models/gpt-sw3-126m-instruct'>AI-Sweden-Models/gpt-sw3-126m-instruct (few-shot)</a>,📝,4.18@@4.18,4.04@@4.04,4.17@@4.17,4.33@@4.33,186112512.0,64000.0,2048.0,✓,✗,0.00 ± 0.00 / 34.41 ± 0.31@@0.0,19.48 ± 4.09 / 20.00 ± 4.03@@19.481546362769162,0.25 ± 1.10 / 33.67 ± 0.35@@0.25446733938054483,6.20 ± 0.53 / 0.01 ± 0.01@@6.201293363543941,52.58 ± 3.13 / 10.00 ± 0.75@@52.580778848641785,-0.10 ± 1.14 / 23.99 ± 0.62@@-0.09774938929817034,0.13 ± 0.67 / 24.85 ± 0.44@@0.13395582145261883,-0.69 ± 0.92 / 17.68 ± 2.19@@-0.6869144045043856,19.27 ± 2.36 / 19.86 ± 2.31@@19.270090195842954,-0.60 ± 1.35 / 36.49 ± 3.38@@-0.6030833533220468,3.87 ± 0.35 / 0.00 ± 0.00@@3.8749603298671196,58.26 ± 3.48 / 10.88 ± 1.66@@58.25910440500592,0.59 ± 1.25 / 24.55 ± 0.77@@0.5858224909690433,0.04 ± 0.57 / 25.93 ± 0.73@@0.04045680715787876,0.35 ± 2.27 / 22.00 ± 3.17@@0.3507661710506149,13.68 ± 5.02 / 13.92 ± 5.12@@13.684056830018879,-0.05 ± 0.46 / 33.54 ± 0.44@@-0.04668932329657281,6.30 ± 0.71 / 0.00 ± 0.00@@6.304846451256942,18.78 ± 7.63 / 3.47 ± 1.36@@18.777395397046348,0.07 ± 1.72 / 24.61 ± 0.76@@0.0736188069588922,0.22 ± 0.44 / 25.36 ± 0.38@@0.22289492129846794,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/AI-Sweden-Models/gpt-sw3-126m'>AI-Sweden-Models/gpt-sw3-126m (few-shot)</a>,🧠,4.30@@4.30,4.23@@4.23,4.31@@4.31,4.37@@4.37,186112512.0,64000.0,2048.0,✓,✗,-0.03 ± 1.26 / 36.66 ± 3.24@@-0.026066328055747434,7.41 ± 6.94 / 8.25 ± 6.75@@7.411645139959651,0.00 ± 0.00 / 33.36 ± 0.27@@0.0,3.58 ± 0.58 / 0.99 ± 0.41@@3.5807835907779824,50.37 ± 3.07 / 9.91 ± 0.51@@50.371107478713384,0.11 ± 1.28 / 24.66 ± 0.89@@0.11204181368323948,-0.51 ± 0.62 / 25.35 ± 0.50@@-0.5088817095918722,6.56 ± 2.90 / 24.89 ± 2.96@@6.560666292384311,2.55 ± 3.79 / 3.80 ± 3.48@@2.5516162364475625,-1.02 ± 2.17 / 39.94 ± 3.37@@-1.0241877569058835,2.20 ± 1.06 / 1.05 ± 0.75@@2.1950184366714893,55.10 ± 3.44 / 7.21 ± 0.87@@55.097890654578805,-0.59 ± 1.53 / 24.77 ± 1.07@@-0.5858424019649797,0.33 ± 0.40 / 26.17 ± 0.71@@0.3259434042523456,3.07 ± 1.57 / 22.86 ± 3.67@@3.0682305689268485,7.67 ± 3.94 / 8.47 ± 3.46@@7.670276092129144,0.41 ± 2.05 / 41.63 ± 4.30@@0.4109727894700019,2.97 ± 1.18 / 1.04 ± 0.69@@2.970382447257644,18.87 ± 7.64 / 3.25 ± 1.40@@18.867459590401268,0.00 ± 0.57 / 24.18 ± 0.88@@0.0026048627670412867,0.08 ± 0.37 / 25.21 ± 0.55@@0.07771365923781484,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/openai-community/gpt2-medium'>openai-community/gpt2-medium (few-shot)</a>,🧠,4.66@@4.66,4.98@@4.98,4.45@@4.45,4.56@@4.56,379988992.0,50257.0,1024.0,✓,✗,0.00 ± 0.00 / 34.41 ± 0.31@@0.0,5.90 ± 4.13 / 6.11 ± 4.14@@5.897661357408822,0.00 ± 0.00 / 33.36 ± 0.27@@0.0,1.37 ± 0.70 / 0.69 ± 0.51@@1.3738969053678274,4.93 ± 6.22 / 1.00 ± 1.21@@4.92778917963733,-0.38 ± 0.54 / 23.64 ± 0.53@@-0.38296022910018146,0.00 ± 0.00 / 25.41 ± 0.48@@0.0,0.80 ± 2.74 / 22.56 ± 2.78@@0.7973163271179875,13.14 ± 6.42 / 16.88 ± 4.54@@13.142005237468146,0.34 ± 2.09 / 40.00 ± 4.67@@0.33812625225161375,1.62 ± 0.62 / 0.64 ± 0.39@@1.6174129400494301,44.03 ± 8.48 / 7.20 ± 1.58@@44.026886059946264,-0.39 ± 0.52 / 23.19 ± 0.50@@-0.3866396313051058,0.00 ± 0.00 / 26.00 ± 0.69@@0.0,1.86 ± 3.13 / 17.32 ± 2.33@@1.8612421423232721,2.88 ± 3.93 / 2.75 ± 3.74@@2.884709619194675,0.73 ± 1.59 / 37.25 ± 3.67@@0.7296759978770532,4.79 ± 0.99 / 1.63 ± 0.82@@4.786223116036354,1.19 ± 0.86 / 0.17 ± 0.13@@1.185726204130333,0.60 ± 1.28 / 23.18 ± 1.61@@0.5965626147053437,0.00 ± 0.00 / 25.18 ± 0.55@@0.0,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/openai-community/gpt2-large'>openai-community/gpt2-large (few-shot)</a>,🧠,4.67@@4.67,4.98@@4.98,4.43@@4.43,4.60@@4.60,811778816.0,50257.0,1024.0,✓,✗,0.00 ± 0.00 / 34.41 ± 0.31@@0.0,3.40 ± 2.32 / 4.51 ± 3.11@@3.3971490916993856,-0.64 ± 1.01 / 34.50 ± 2.35@@-0.6371217562227217,1.89 ± 0.86 / 1.01 ± 0.61@@1.8904899154579617,4.92 ± 6.38 / 1.10 ± 1.48@@4.918220600884524,0.41 ± 0.81 / 24.12 ± 0.83@@0.41010826325095845,0.00 ± 0.00 / 25.41 ± 0.48@@0.0,-1.14 ± 3.08 / 21.26 ± 2.54@@-1.1357598479955389,17.87 ± 4.73 / 17.20 ± 3.53@@17.866660451693186,0.24 ± 2.02 / 44.19 ± 3.02@@0.23672967088538172,1.98 ± 0.59 / 0.63 ± 0.29@@1.9758978608903053,45.52 ± 8.98 / 8.74 ± 1.92@@45.51759864210908,0.05 ± 1.06 / 23.87 ± 1.12@@0.049534518172748496,0.00 ± 0.00 / 26.00 ± 0.69@@0.0,1.36 ± 3.49 / 20.76 ± 3.11@@1.3559506039403268,2.04 ± 2.80 / 2.69 ± 3.62@@2.0369675011401327,-0.08 ± 0.85 / 34.32 ± 1.75@@-0.08178613198577697,5.20 ± 1.13 / 1.57 ± 0.95@@5.199694311676343,1.18 ± 0.86 / 0.17 ± 0.12@@1.177654616185464,0.34 ± 0.91 / 22.87 ± 1.40@@0.33793372602457583,0.00 ± 0.00 / 25.18 ± 0.55@@0.0,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
