model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,sst5,conll_en,scala_en,squad,cnn_dailymail,mmlu,hellaswag,sst5_version,conll_en_version,scala_en_version,squad_version,cnn_dailymail_version,mmlu_version,hellaswag_version
<a href='https://huggingface.co/google/gemma-3-1b-pt'>google/gemma-3-1b-pt (few-shot)</a>,🧠,3.40@@3.40,999885952.0,262144.0,32768.0,✓,✗,60.67 ± 1.91 / 61.03 ± 1.68@@60.67264523085012,34.43 ± 3.13 / 33.78 ± 2.81@@34.43253793488857,0.82 ± 1.76 / 41.93 ± 3.91@@0.8162040725224787,65.10 ± 1.78 / 51.79 ± 1.68@@65.0996619337201,56.37 ± 2.06 / 12.35 ± 1.09@@56.36530616968229,0.85 ± 0.96 / 23.25 ± 0.46@@0.8543155178880952,1.01 ± 1.00 / 25.27 ± 0.59@@1.0074554654487127,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/state-spaces/mamba-2.8b-hf'>state-spaces/mamba-2.8b-hf (few-shot)</a>,🧠,3.40@@3.40,2768345600.0,50280.0,32769.0,✓,✗,66.55 ± 0.72 / 58.18 ± 0.62@@66.54994534489973,28.63 ± 4.74 / 27.07 ± 4.13@@28.625101419451997,1.47 ± 1.57 / 45.89 ± 2.92@@1.4738088936373253,47.83 ± 2.25 / 35.00 ± 2.01@@47.83358501955324,62.05 ± 1.63 / 16.80 ± 1.01@@62.05199609736155,-0.41 ± 1.21 / 23.76 ± 0.63@@-0.40637692359962946,-0.04 ± 0.77 / 25.03 ± 0.52@@-0.03606996629599609,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-360M'>HuggingFaceTB/SmolLM2-360M (few-shot)</a>,🧠,3.43@@3.43,361821120.0,49152.0,8192.0,✓,✗,43.97 ± 5.28 / 55.08 ± 4.26@@43.96869312582868,31.14 ± 1.79 / 28.54 ± 0.86@@31.140505484176845,3.49 ± 2.49 / 46.52 ± 4.13@@3.485052348712353,60.41 ± 3.91 / 47.91 ± 4.97@@60.40882051965055,62.20 ± 1.04 / 17.61 ± 0.50@@62.20110220521746,0.12 ± 1.55 / 23.00 ± 0.82@@0.12337607407874719,0.13 ± 1.34 / 24.53 ± 0.49@@0.1262008092689892,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100
<a href='https://huggingface.co/google/gemma-2b-it'>google/gemma-2b-it (few-shot)</a>,📝,3.44@@3.44,2506172416.0,256000.0,8192.0,✗,✗,41.81 ± 3.61 / 53.92 ± 2.59@@41.81114203054439,37.76 ± 3.22 / 32.11 ± 2.12@@37.761273120934355,2.70 ± 0.86 / 49.25 ± 1.73@@2.698049635761329,48.29 ± 3.89 / 27.65 ± 4.64@@48.291165379343155,61.82 ± 1.02 / 14.09 ± 1.31@@61.81998114698217,7.09 ± 1.24 / 29.15 ± 0.78@@7.091841028448717,4.55 ± 1.03 / 27.62 ± 0.78@@4.5516119823332994,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/BSC-LT/salamandra-2b'>BSC-LT/salamandra-2b (few-shot)</a>,🧠,3.48@@3.48,2253490176.0,256000.0,8192.0,✓,✗,42.48 ± 5.07 / 46.33 ± 3.85@@42.48318723918353,40.16 ± 2.97 / 39.39 ± 3.07@@40.16366978753144,2.14 ± 1.92 / 43.46 ± 4.27@@2.142466000290567,66.18 ± 1.81 / 55.04 ± 1.75@@66.18268874256218,53.22 ± 3.78 / 15.23 ± 1.35@@53.2183212434029,0.30 ± 1.12 / 23.40 ± 0.80@@0.302739667076344,-0.38 ± 1.43 / 24.89 ± 0.92@@-0.38061117846989007,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/allenai/OLMo-7B-Twin-2T'>allenai/OLMo-7B-Twin-2T (few-shot)</a>,🧠,3.54@@3.54,6888095744.0,50280.0,2051.0,✓,✗,56.91 ± 2.41 / 66.15 ± 1.54@@56.908353984412194,25.36 ± 8.05 / 24.05 ± 7.34@@25.364718570398825,7.10 ± 2.89 / 49.36 ± 4.03@@7.1023805478002755,70.37 ± 4.71 / 58.60 ± 5.37@@70.37494246642291,46.16 ± 1.28 / 11.33 ± 0.70@@46.15775391692296,0.71 ± 0.85 / 24.97 ± 0.62@@0.7078791983462588,0.82 ± 1.01 / 25.62 ± 0.74@@0.8186302661076922,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502
<a href='https://huggingface.co/PleIAs/Pleias-1.2b-Preview'>PleIAs/Pleias-1.2b-Preview (few-shot)</a>,🧠,3.58@@3.58,1195468800.0,65536.0,2048.0,✓,✗,47.89 ± 3.76 / 56.99 ± 2.11@@47.8939844228717,40.45 ± 3.27 / 37.90 ± 2.99@@40.45454748535167,0.28 ± 1.01 / 44.40 ± 3.07@@0.2775992598346737,53.01 ± 2.47 / 42.22 ± 2.16@@53.0144290268021,50.31 ± 7.81 / 13.58 ± 2.12@@50.31191933325317,1.03 ± 0.82 / 26.95 ± 0.56@@1.0252487602180924,-0.30 ± 1.30 / 24.99 ± 1.10@@-0.2993828840925152,14.1.2@@140102,14.0.4@@140004,14.1.2@@140102,14.3.0@@140300,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
<a href='https://huggingface.co/Qwen/Qwen2.5-Math-1.5B'>Qwen/Qwen2.5-Math-1.5B (few-shot)</a>,📝,3.59@@3.59,1543714304.0,151936.0,4096.0,✓,✗,38.73 ± 5.82 / 46.52 ± 4.29@@38.73098253203376,40.45 ± 3.95 / 33.36 ± 2.63@@40.445257387377744,5.42 ± 2.27 / 46.64 ± 4.26@@5.4235303847538665,14.67 ± 0.84 / 0.01 ± 0.01@@14.668922917725562,62.61 ± 1.21 / 15.71 ± 0.46@@62.607700047956314,18.45 ± 1.51 / 36.69 ± 1.13@@18.452769982522426,4.77 ± 0.96 / 27.19 ± 0.73@@4.769046908753778,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/AI-Sweden-Models/gpt-sw3-356m'>AI-Sweden-Models/gpt-sw3-356m (few-shot)</a>,🧠,3.64@@3.64,470607872.0,64000.0,2048.0,✓,✗,53.65 ± 3.35 / 51.50 ± 2.03@@53.64729537907391,34.28 ± 4.38 / 33.11 ± 4.30@@34.28187669497235,2.32 ± 1.77 / 48.55 ± 2.60@@2.323138390508268,51.18 ± 2.01 / 40.88 ± 1.56@@51.18109147268993,47.72 ± 8.36 / 12.71 ± 2.77@@47.71897174527112,-0.85 ± 1.10 / 23.54 ± 0.82@@-0.8475078742093319,-1.72 ± 0.67 / 24.94 ± 0.47@@-1.7195901431980873,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/infly/OpenCoder-1.5B-Instruct'>infly/OpenCoder-1.5B-Instruct (few-shot)</a>,📝,3.65@@3.65,1905650880.0,96640.0,4096.0,✗,✗,19.57 ± 4.60 / 34.55 ± 5.37@@19.571051442040634,50.72 ± 1.94 / 42.84 ± 1.95@@50.72160650620212,2.52 ± 1.89 / 40.62 ± 4.91@@2.5172807471102443,45.84 ± 1.33 / 29.61 ± 1.61@@45.844256391093765,61.36 ± 0.48 / 14.14 ± 0.46@@61.35578625486232,2.37 ± 0.72 / 24.66 ± 0.69@@2.373743990350575,1.41 ± 1.43 / 25.81 ± 1.00@@1.4053090671171946,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/allenai/OLMo-1B'>allenai/OLMo-1B (few-shot)</a>,🧠,3.68@@3.68,1176764416.0,50280.0,2051.0,✓,✗,60.05 ± 3.94 / 56.18 ± 1.90@@60.04671819689933,26.47 ± 6.25 / 28.27 ± 5.35@@26.4725153315839,0.72 ± 1.90 / 42.84 ± 3.50@@0.7217744360123941,55.59 ± 2.44 / 43.87 ± 2.49@@55.592801243414065,46.18 ± 1.20 / 10.06 ± 0.67@@46.17989755628514,-0.87 ± 0.99 / 23.08 ± 0.63@@-0.8745084985486623,0.20 ± 1.12 / 24.94 ± 0.86@@0.19623153424730733,12.1.0@@120100,12.5.2@@120502,12.1.0@@120100,12.1.0@@120100,12.1.0@@120100,12.1.0@@120100,12.1.0@@120100
<a href='https://huggingface.co/PleIAs/Pleias-3b-Preview'>PleIAs/Pleias-3b-Preview (few-shot)</a>,🧠,3.73@@3.73,3211926528.0,65536.0,4096.0,✓,✗,36.35 ± 7.92 / 45.58 ± 8.18@@36.34945602300244,27.37 ± 4.57 / 26.50 ± 4.52@@27.373181752994956,-0.37 ± 1.89 / 44.67 ± 2.86@@-0.37041641613721726,43.59 ± 2.86 / 35.07 ± 2.78@@43.59435573148612,60.89 ± 0.87 / 17.36 ± 0.62@@60.890797236788785,2.21 ± 1.17 / 26.40 ± 1.12@@2.208508336743516,-0.90 ± 0.79 / 24.52 ± 0.70@@-0.9014396468882685,14.1.2@@140102,14.0.4@@140004,14.1.2@@140102,14.3.0@@140300,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
<a href='https://huggingface.co/RuterNorway/Llama-2-7b-chat-norwegian'>RuterNorway/Llama-2-7b-chat-norwegian (few-shot)</a>,📝,3.78@@3.78,,32000.0,4096.0,✗,✗,21.95 ± 6.30 / 33.38 ± 4.79@@21.952912036649085,18.69 ± 7.23 / 18.50 ± 6.51@@18.686631281260212,0.01 ± 1.91 / 39.40 ± 3.94@@0.008971964057179725,50.66 ± 1.90 / 36.51 ± 2.07@@50.65806411561057,60.11 ± 1.39 / 16.29 ± 0.69@@60.114919241314055,3.71 ± 0.75 / 28.35 ± 0.99@@3.714546904195652,0.62 ± 0.99 / 24.68 ± 0.55@@0.6185274328705097,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,12.5.2@@120502,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301
<a href='https://huggingface.co/PleIAs/Pleias-Nano'>PleIAs/Pleias-Nano (few-shot)</a>,🧠,3.81@@3.81,1195468800.0,65536.0,2048.0,✓,✗,45.04 ± 5.19 / 50.60 ± 4.14@@45.04197612061667,21.60 ± 4.23 / 23.22 ± 3.33@@21.59988086350722,-0.46 ± 1.47 / 44.56 ± 3.38@@-0.4631545071564046,51.64 ± 2.30 / 39.37 ± 2.21@@51.64120056815917,49.12 ± 7.39 / 12.74 ± 2.01@@49.12307020451408,2.37 ± 0.75 / 27.67 ± 0.77@@2.3665002039299154,-0.33 ± 1.21 / 25.00 ± 1.15@@-0.3324580045294152,14.1.2@@140102,14.0.4@@140004,14.1.2@@140102,14.3.0@@140300,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
<a href='https://huggingface.co/DiscoResearch/DiscoLM-70b'>DiscoResearch/DiscoLM-70b (few-shot)</a>,🧠,3.82@@3.82,68977172480.0,32032.0,8192.0,✗,✗,17.96 ± 9.09 / 27.85 ± 6.24@@17.955472813336865,73.76 ± 1.33 / 67.74 ± 1.18@@73.75546149174079,-0.63 ± 1.29 / 33.81 ± 0.68@@-0.6336201567085892,0.01 ± 0.00 / 0.00 ± 0.00@@0.008589662521221524,50.15 ± 0.26 / 1.45 ± 0.04@@50.146394317707745,8.58 ± 2.08 / 31.36 ± 1.09@@8.576426695818828,21.86 ± 7.01 / 33.53 ± 4.84@@21.86123468336529,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-135M'>HuggingFaceTB/SmolLM2-135M (few-shot)</a>,🧠,3.93@@3.93,134515008.0,49152.0,8192.0,✓,✗,26.82 ± 11.50 / 34.06 ± 8.13@@26.821401415966477,31.96 ± 2.51 / 31.10 ± 2.15@@31.96345115453143,1.89 ± 1.56 / 43.59 ± 3.52@@1.8929455300715818,38.76 ± 2.20 / 27.54 ± 2.03@@38.7601325788597,50.98 ± 2.94 / 11.64 ± 1.93@@50.98318261880195,0.51 ± 0.93 / 26.16 ± 0.53@@0.5090301933450361,0.69 ± 0.61 / 24.90 ± 0.44@@0.685231750303717,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/infly/OpenCoder-1.5B-Base'>infly/OpenCoder-1.5B-Base (few-shot)</a>,📝,4.04@@4.04,1905650960.0,96640.0,4096.0,✓,✗,5.48 ± 4.17 / 19.18 ± 5.58@@5.4765848647802855,45.38 ± 5.71 / 38.89 ± 4.70@@45.38098280664492,2.35 ± 2.49 / 40.02 ± 3.71@@2.3477648405117084,18.91 ± 0.99 / 0.14 ± 0.12@@18.91210458035981,54.33 ± 1.19 / 9.86 ± 0.71@@54.3280002866959,0.73 ± 0.89 / 25.08 ± 1.19@@0.729547175257079,0.13 ± 1.02 / 25.08 ± 0.61@@0.12824544247302966,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-135M-Instruct'>HuggingFaceTB/SmolLM2-135M-Instruct (few-shot)</a>,📝,4.05@@4.05,134515008.0,49152.0,8192.0,✓,✗,8.76 ± 2.73 / 29.64 ± 4.21@@8.756693199705454,26.65 ± 2.95 / 27.01 ± 1.94@@26.649217852022964,-0.77 ± 1.62 / 38.82 ± 3.26@@-0.7715015264229397,23.29 ± 1.69 / 12.52 ± 1.45@@23.29370880834015,63.84 ± 0.23 / 16.39 ± 0.26@@63.841723267396446,-0.48 ± 0.89 / 26.39 ± 0.92@@-0.48128329456739793,-1.05 ± 0.84 / 24.04 ± 0.61@@-1.053914222140837,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/PleIAs/Pleias-Pico'>PleIAs/Pleias-Pico (few-shot)</a>,🧠,4.14@@4.14,353424384.0,65536.0,2048.0,✓,✗,27.39 ± 8.29 / 39.38 ± 6.65@@27.392836433664534,27.45 ± 4.13 / 27.11 ± 3.47@@27.453507830823774,0.31 ± 1.47 / 39.37 ± 3.75@@0.30981730892333814,29.50 ± 1.92 / 17.27 ± 2.84@@29.504144895900577,43.83 ± 6.89 / 8.96 ± 1.14@@43.82908372208476,0.65 ± 0.70 / 24.30 ± 0.79@@0.6516307264923806,-0.44 ± 1.22 / 24.71 ± 0.98@@-0.4428572069487098,14.1.2@@140102,14.0.4@@140004,14.1.2@@140102,14.3.0@@140300,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
<a href='https://huggingface.co/PleIAs/Pleias-350m-Preview'>PleIAs/Pleias-350m-Preview (few-shot)</a>,🧠,4.14@@4.14,353424384.0,65536.0,2048.0,✓,✗,19.13 ± 9.92 / 33.51 ± 6.97@@19.12745083834273,31.79 ± 3.88 / 31.32 ± 2.81@@31.785272893556275,-0.03 ± 1.07 / 36.37 ± 2.34@@-0.03292171084457006,30.94 ± 2.41 / 21.20 ± 2.58@@30.942815109141314,46.13 ± 6.88 / 11.20 ± 1.59@@46.12879432941554,-1.20 ± 0.68 / 23.43 ± 0.94@@-1.2042816525016764,0.47 ± 1.47 / 25.42 ± 1.15@@0.47362026716412636,14.1.2@@140102,14.0.4@@140004,14.1.2@@140102,14.3.0@@140300,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
<a href='https://huggingface.co/AI-Sweden-Models/gpt-sw3-126m-instruct'>AI-Sweden-Models/gpt-sw3-126m-instruct (few-shot)</a>,📝,4.31@@4.31,186112512.0,64000.0,2048.0,✓,✗,10.96 ± 5.10 / 23.17 ± 2.75@@10.955267004811027,24.85 ± 1.23 / 24.50 ± 1.16@@24.851061621822467,-1.57 ± 1.62 / 42.13 ± 2.09@@-1.5717287682404133,12.06 ± 0.59 / 0.00 ± 0.00@@12.058604929757504,48.95 ± 8.19 / 13.85 ± 1.97@@48.945442395997816,1.31 ± 0.99 / 23.29 ± 0.60@@1.3128379751340347,0.00 ± 0.00 / 24.98 ± 0.50@@0.0,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/AI-Sweden-Models/gpt-sw3-126m'>AI-Sweden-Models/gpt-sw3-126m (few-shot)</a>,🧠,4.34@@4.34,186112512.0,64000.0,2048.0,✓,✗,11.62 ± 2.52 / 30.91 ± 3.48@@11.620112446304791,13.87 ± 5.46 / 13.88 ± 4.97@@13.870778287466418,-2.63 ± 1.88 / 46.44 ± 2.39@@-2.6310293589369502,26.58 ± 1.26 / 18.89 ± 1.23@@26.575289678999592,47.07 ± 7.40 / 14.00 ± 2.13@@47.071830852655694,1.12 ± 0.69 / 24.12 ± 0.58@@1.118750105555931,0.88 ± 0.90 / 25.08 ± 0.60@@0.8823767053066484,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/AI-Sweden-Models/gpt-sw3-356m-instruct'>AI-Sweden-Models/gpt-sw3-356m-instruct (few-shot)</a>,📝,4.34@@4.34,470607872.0,64000.0,2048.0,✓,✗,0.19 ± 0.38 / 19.47 ± 0.19@@0.19251560023176562,24.05 ± 0.99 / 24.41 ± 0.94@@24.04829759636082,1.01 ± 0.95 / 34.54 ± 1.79@@1.0058103561158505,20.03 ± 0.75 / 0.00 ± 0.00@@20.027772137457468,50.07 ± 8.64 / 15.70 ± 2.74@@50.06555395200849,-0.48 ± 0.70 / 27.01 ± 1.10@@-0.4783058974218464,0.37 ± 0.52 / 24.62 ± 0.66@@0.3715786346188113,15.4.1@@150401,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402
<a href='https://huggingface.co/RJuro/kanelsnegl-v0.1'>RJuro/kanelsnegl-v0.1 (few-shot)</a>,📝,4.47@@4.47,7241732096.0,32000.0,512.0,✓,✗,0.00 ± 0.00 / 19.61 ± 0.22@@0.0,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.41 ± 0.55 / 33.46 ± 0.37@@0.40978561733793245,3.68 ± 0.43 / 0.00 ± 0.00@@3.6750260786002906,61.26 ± 0.09 / 6.73 ± 0.06@@61.258706530788906,0.00 ± 0.00 / 22.69 ± 0.63@@0.0,0.36 ± 0.47 / 24.60 ± 0.43@@0.35930660456486563,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,12.5.1@@120501,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301
<a href='https://huggingface.co/NorwAI/NorwAI-Mistral-7B-pretrain'>NorwAI/NorwAI-Mistral-7B-pretrain (few-shot)</a>,🧠,4.57@@4.57,7536586752.0,67993.0,4096.0,✓,✗,-1.48 ± 3.09 / 21.17 ± 2.22@@-1.479423710706233,12.34 ± 2.70 / 12.41 ± 2.54@@12.335255785504293,-0.48 ± 1.52 / 42.45 ± 3.99@@-0.4805769917754785,6.31 ± 0.51 / 0.72 ± 0.25@@6.314475006140961,49.61 ± 1.17 / 9.59 ± 0.65@@49.609434161829995,-0.12 ± 0.65 / 22.69 ± 0.62@@-0.11876304175391973,-0.01 ± 0.01 / 24.59 ± 0.43@@-0.00595622086585782,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004
<a href='https://huggingface.co/openai-community/gpt2-large'>openai-community/gpt2-large (few-shot)</a>,🧠,4.64@@4.64,811778816.0,50257.0,1024.0,✓,✗,30.68 ± 6.87 / 37.09 ± 7.13@@30.682428049156186,24.99 ± 2.26 / 30.95 ± 1.84@@24.991281639416542,-0.70 ± 1.74 / 38.24 ± 2.48@@-0.7005226600560309,45.93 ± 1.22 / 34.05 ± 1.16@@45.92686260616646,3.04 ± 3.12 / 0.71 ± 0.76@@3.0416576922289096,-0.16 ± 0.94 / 23.31 ± 0.61@@-0.16086495595197978,-0.07 ± 0.57 / 25.03 ± 0.52@@-0.07096942528791658,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/ssmits/Falcon2-5.5B-multilingual'>ssmits/Falcon2-5.5B-multilingual (few-shot)</a>,🧠,4.70@@4.70,5465415680.0,65024.0,8192.0,✓,✓,0.00 ± 0.00 / 19.61 ± 0.22@@0.0,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,2.48 ± 1.94 / 34.52 ± 0.85@@2.483868271637334,0.03 ± 0.02 / 0.01 ± 0.02@@0.032278580382779726,44.80 ± 0.36 / 0.32 ± 0.04@@44.80420628373395,-0.69 ± 0.77 / 22.76 ± 0.40@@-0.6912676906864953,0.37 ± 0.95 / 24.71 ± 0.44@@0.36556308735145954,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
<a href='https://huggingface.co/ai-forever/mGPT'>ai-forever/mGPT (few-shot)</a>,🧠,4.76@@4.76,,100000.0,1024.0,✓,✗,3.71 ± 3.16 / 22.09 ± 2.08@@3.7093229939406878,1.55 ± 1.98 / 1.45 ± 1.82@@1.554218337689779,-0.42 ± 1.56 / 40.58 ± 3.74@@-0.42237844882994124,11.12 ± 4.66 / 5.58 ± 3.10@@11.124551636632756,34.62 ± 0.17 / 2.18 ± 0.04@@34.61765899861348,0.37 ± 0.93 / 24.18 ± 0.90@@0.3671486659549114,-0.17 ± 0.50 / 24.82 ± 0.41@@-0.16976797763390652,10.0.1@@100001,9.3.1@@90301,11.0.0@@110000,12.5.1@@120501,12.0.0@@120000,11.0.0@@110000,11.0.0@@110000
<a href='https://huggingface.co/alea-institute/kl3m-003-3.7b'>alea-institute/kl3m-003-3.7b (few-shot)</a>,🧠,4.80@@4.80,3691382784.0,32768.0,4096.0,✓,✗,0.00 ± 0.00 / 19.65 ± 0.22@@0.0,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,1.13 ± 0.87 / 38.79 ± 4.58@@1.1268377098443858,8.48 ± 1.03 / 1.34 ± 0.40@@8.484977786826994,36.25 ± 6.40 / 8.10 ± 1.50@@36.249693515273975,0.87 ± 0.45 / 26.11 ± 1.14@@0.8666712893430042,0.53 ± 0.78 / 24.68 ± 0.49@@0.5335361695429455,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/openai-community/gpt2-medium'>openai-community/gpt2-medium (few-shot)</a>,🧠,4.87@@4.87,379988992.0,50257.0,1024.0,✓,✗,6.77 ± 4.64 / 23.10 ± 5.24@@6.774787302664845,31.05 ± 3.76 / 32.12 ± 3.21@@31.053928524234,-0.54 ± 2.16 / 43.36 ± 3.16@@-0.5407315144199588,38.64 ± 1.16 / 26.95 ± 0.95@@38.63818145510863,3.02 ± 3.05 / 0.78 ± 0.78@@3.01789237128105,-0.40 ± 1.08 / 23.17 ± 0.73@@-0.4004596830675963,-0.17 ± 0.33 / 24.88 ± 0.47@@-0.16585199579414234,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/openai-community/gpt2'>openai-community/gpt2 (few-shot)</a>,🧠,5.12@@5.12,137022720.0,50257.0,1024.0,✓,✗,1.94 ± 2.10 / 15.67 ± 4.10@@1.9441909777215844,17.09 ± 3.65 / 20.92 ± 3.23@@17.085234804149206,0.62 ± 1.67 / 40.73 ± 4.12@@0.6214812971122093,15.31 ± 1.66 / 8.34 ± 1.00@@15.314324051847958,3.01 ± 3.03 / 0.79 ± 0.76@@3.00556215326651,-0.37 ± 1.07 / 23.72 ± 0.97@@-0.36509522305311626,-0.29 ± 1.13 / 24.72 ± 0.35@@-0.2946977931094179,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/Twitter/twhin-bert-base'>Twitter/twhin-bert-base</a>,🔍,-@@100,279080594.0,250002.0,512.0,✓,✗,41.09 ± 4.38 / 48.17 ± 3.16@@41.08862468750763,87.77 ± 0.51 / 87.83 ± 0.47@@87.77064286143806,32.26 ± 10.79 / 61.20 ± 5.53@@32.260797496597874,44.98 ± 1.93 / 35.15 ± 1.89@@44.97670645446324,-@@-1,-@@-1,-@@-1,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,-@@0,-@@0,-@@0
<a href='https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2'>sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2</a>,🔍,-@@100,117654272.0,250037.0,512.0,✓,✗,53.10 ± 1.18 / 51.88 ± 0.50@@53.096672156731195,77.50 ± 0.54 / 78.82 ± 0.48@@77.49768103992038,-0.35 ± 1.84 / 48.74 ± 1.43@@-0.34653047116470553,9.98 ± 0.25 / 3.13 ± 0.27@@9.979287871031588,-@@-1,-@@-1,-@@-1,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,-@@0,-@@0,-@@0
<a href='https://huggingface.co/sentence-transformers/distiluse-base-multilingual-cased-v1'>sentence-transformers/distiluse-base-multilingual-cased-v1</a>,🔍,-@@100,134734080.0,119547.0,512.0,✓,✗,36.75 ± 1.28 / 47.80 ± 1.46@@36.74609352293702,71.33 ± 0.75 / 73.43 ± 0.61@@71.33224311171442,0.24 ± 1.44 / 47.55 ± 1.59@@0.23791428224014935,9.37 ± 0.28 / 1.30 ± 0.31@@9.372632076078567,-@@-1,-@@-1,-@@-1,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,-@@0,-@@0,-@@0
<a href='https://huggingface.co/sentence-transformers/distiluse-base-multilingual-cased-v2'>sentence-transformers/distiluse-base-multilingual-cased-v2</a>,🔍,-@@100,134734080.0,119547.0,512.0,✓,✗,36.22 ± 1.39 / 45.80 ± 1.20@@36.222560760465605,71.90 ± 1.49 / 74.21 ± 1.10@@71.901413547309,0.47 ± 1.65 / 48.67 ± 1.71@@0.47032049325086056,8.51 ± 0.21 / 2.40 ± 0.23@@8.510248945630597,-@@-1,-@@-1,-@@-1,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,-@@0,-@@0,-@@0
