model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,dbrd,conll_nl,scala_nl,squad_nl,wiki_lingua_nl,mmlu_nl,hellaswag_nl,dbrd_version,conll_nl_version,scala_nl_version,squad_nl_version,wiki_lingua_nl_version,mmlu_nl_version,hellaswag_nl_version
<a href='https://huggingface.co/ibm-granite/granite-3.0-2b-base'>ibm-granite/granite-3.0-2b-base (few-shot)</a>,🧠,2.53@@2.53,2533525504.0,49152.0,4352.0,✓,✗,89.13 ± 1.14 / 94.52 ± 0.60@@89.13151204383955,47.28 ± 1.57 / 36.12 ± 1.72@@47.282205385967096,12.74 ± 2.68 / 52.69 ± 2.88@@12.737062353930305,75.48 ± 1.00 / 61.60 ± 1.42@@75.47672967901873,64.26 ± 0.75 / 16.55 ± 0.76@@64.25674705780693,26.88 ± 0.86 / 44.76 ± 0.70@@26.883332349063032,34.05 ± 1.57 / 50.08 ± 1.18@@34.048036144729586,15.7.0.dev0@@150700,13.0.0@@130000,13.0.0@@130000,14.3.0@@140300,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
<a href='https://huggingface.co/meta-llama/Llama-2-13b-hf'>meta-llama/Llama-2-13b-hf (few-shot)</a>,🧠,2.53@@2.53,13015866880.0,32000.0,4096.0,✓,✗,90.19 ± 1.53 / 94.93 ± 0.86@@90.19275691027298,57.98 ± 3.58 / 48.20 ± 2.59@@57.980916203789555,24.89 ± 3.12 / 56.05 ± 4.84@@24.886526218916085,76.55 ± 1.46 / 62.47 ± 1.09@@76.54679219421989,64.08 ± 0.81 / 17.37 ± 1.30@@64.07811109369504,21.80 ± 1.22 / 40.94 ± 0.92@@21.80104963090832,8.51 ± 0.91 / 30.80 ± 0.78@@8.509951192152556,15.7.0.dev0@@150700,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/meta-llama/Llama-3.2-3B-Instruct'>meta-llama/Llama-3.2-3B-Instruct (few-shot)</a>,📝,2.55@@2.55,3212749824.0,128256.0,131072.0,✓,✗,87.06 ± 0.76 / 93.49 ± 0.38@@87.05839075649288,50.00 ± 2.02 / 44.00 ± 1.69@@50.004607729183206,23.52 ± 2.52 / 60.73 ± 1.48@@23.522585239744362,64.18 ± 1.40 / 48.19 ± 1.19@@64.18123399931902,66.74 ± 0.23 / 17.66 ± 0.36@@66.73733441653894,27.49 ± 1.08 / 45.11 ± 0.74@@27.4863313688585,21.28 ± 1.15 / 40.50 ± 0.93@@21.2778496060466,15.7.0.dev0@@150700,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/NorwAI/NorwAI-Mixtral-8x7B'>NorwAI/NorwAI-Mixtral-8x7B (few-shot)</a>,🧠,2.55@@2.55,46997647360.0,67993.0,32768.0,✓,✗,44.85 ± 16.21 / 63.76 ± 11.68@@44.84579819337547,62.76 ± 3.54 / 40.29 ± 1.82@@62.760161169851735,24.44 ± 2.86 / 58.02 ± 2.28@@24.44237863019118,76.52 ± 0.95 / 60.97 ± 1.18@@76.52087415753083,63.34 ± 0.59 / 18.36 ± 0.69@@63.34473979273753,38.50 ± 0.76 / 52.93 ± 0.49@@38.49519528747159,20.26 ± 3.39 / 38.63 ± 3.03@@20.25981418418425,15.7.0.dev0@@150700,14.0.4@@140004,14.0.4@@140004,14.3.0@@140300,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
<a href='https://huggingface.co/google/gemma-3-4b-pt'>google/gemma-3-4b-pt (few-shot)</a>,🧠,2.55@@2.55,4300079472.0,262144.0,,✓,✗,85.69 ± 1.76 / 92.36 ± 1.03@@85.69119363515318,47.17 ± 1.43 / 39.39 ± 1.47@@47.17107689788425,18.50 ± 3.58 / 52.12 ± 4.32@@18.495059780419894,76.97 ± 1.21 / 61.49 ± 1.24@@76.97373590873573,63.27 ± 0.95 / 17.89 ± 1.75@@63.2728778195451,36.11 ± 1.21 / 51.93 ± 0.90@@36.10914345429769,19.23 ± 1.83 / 38.27 ± 1.32@@19.2297166673442,15.7.1.dev0@@150701,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/ibm-granite/granite-3.0-2b-instruct'>ibm-granite/granite-3.0-2b-instruct (few-shot)</a>,📝,2.58@@2.58,2634201088.0,49155.0,4352.0,✓,✗,86.12 ± 0.65 / 93.01 ± 0.35@@86.11768695902452,52.52 ± 1.62 / 44.69 ± 2.23@@52.51880012002863,17.72 ± 1.86 / 57.31 ± 1.52@@17.71705218359952,69.72 ± 1.28 / 56.69 ± 0.94@@69.71850714912696,66.23 ± 0.48 / 18.18 ± 0.68@@66.2330297200242,24.62 ± 0.65 / 43.32 ± 0.48@@24.6237933586362,15.79 ± 1.37 / 35.56 ± 1.11@@15.79000309555066,15.7.0.dev0@@150700,13.0.0@@130000,13.0.0@@130000,14.2.0.dev0@@140200,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
<a href='https://huggingface.co/BramVanroy/GEITje-7B-ultra'>BramVanroy/GEITje-7B-ultra (few-shot)</a>,🧠,2.60@@2.60,7241732096.0,32000.0,8192.0,✗,✗,88.48 ± 1.23 / 94.12 ± 0.68@@88.47794417885636,42.20 ± 2.20 / 27.85 ± 1.11@@42.19894777506249,18.23 ± 1.91 / 50.04 ± 2.54@@18.232232018041536,63.73 ± 0.74 / 44.83 ± 1.77@@63.73357186847553,68.30 ± 0.40 / 20.79 ± 0.63@@68.30129377762205,26.92 ± 1.09 / 44.44 ± 0.85@@26.922267632880036,25.72 ± 1.01 / 43.74 ± 0.69@@25.72139780802718,15.7.1.dev0@@150701,10.0.1@@100001,10.0.1@@100001,14.2.0.dev0@@140200,12.4.0@@120400,10.0.1@@100001,10.0.1@@100001
<a href='https://huggingface.co/neuralmagic/Sparse-Llama-3.1-8B-2of4'>neuralmagic/Sparse-Llama-3.1-8B-2of4 (few-shot)</a>,🧠,2.61@@2.61,8030261248.0,128256.0,131072.0,✓,✗,88.00 ± 0.49 / 93.73 ± 0.28@@87.99840356534773,34.21 ± 3.16 / 33.46 ± 2.25@@34.21451416388018,6.18 ± 3.30 / 37.82 ± 4.01@@6.180777640496338,75.06 ± 1.03 / 62.05 ± 0.60@@75.05518776638137,64.48 ± 0.77 / 20.21 ± 0.93@@64.47806076343113,29.76 ± 0.98 / 46.99 ± 0.77@@29.760353299451975,38.79 ± 3.59 / 51.86 ± 3.32@@38.78958286942521,15.7.0.dev0@@150700,13.2.0@@130200,13.2.0@@130200,14.3.0@@140300,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200
<a href='https://huggingface.co/google/gemma-2-2b-it'>google/gemma-2-2b-it (few-shot)</a>,📝,2.62@@2.62,2614341888.0,256000.0,8192.0,✓,✗,84.87 ± 1.60 / 92.14 ± 0.91@@84.87421834382249,45.92 ± 2.07 / 35.30 ± 1.89@@45.924270191103304,21.69 ± 2.19 / 58.59 ± 1.87@@21.69473529471546,68.97 ± 0.70 / 51.91 ± 0.84@@68.96899904375094,63.53 ± 0.52 / 9.73 ± 2.01@@63.52621937650837,24.55 ± 1.11 / 43.33 ± 0.85@@24.546168782627333,27.14 ± 1.07 / 44.93 ± 0.95@@27.143022343821734,15.7.2@@150702,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1@@150401
<a href='https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.2'>mistralai/Mistral-7B-Instruct-v0.2 (few-shot)</a>,📝,2.65@@2.65,7241732096.0,32000.0,32768.0,✗,✗,86.48 ± 1.09 / 93.07 ± 0.61@@86.47928140232001,47.91 ± 2.25 / 32.67 ± 0.56@@47.90964138732884,25.87 ± 2.05 / 61.68 ± 1.64@@25.87387466623416,52.69 ± 1.59 / 27.94 ± 2.47@@52.69368663926757,64.35 ± 0.36 / 9.73 ± 1.92@@64.34512718115002,26.63 ± 0.78 / 43.59 ± 0.62@@26.631214255909008,20.14 ± 1.21 / 38.13 ± 1.14@@20.13706374514585,15.7.1.dev0@@150701,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.1'>mistralai/Mistral-7B-Instruct-v0.1 (few-shot)</a>,📝,2.66@@2.66,7241732096.0,32000.0,4096.0,✓,✗,83.65 ± 1.70 / 91.41 ± 1.04@@83.64863546112126,49.98 ± 1.77 / 29.34 ± 1.57@@49.97510869632552,23.98 ± 1.71 / 60.15 ± 1.98@@23.98320428522624,70.19 ± 1.32 / 54.65 ± 0.81@@70.1856258001489,63.60 ± 0.27 / 14.04 ± 0.25@@63.60052436153637,20.40 ± 0.79 / 39.69 ± 0.62@@20.398793763870398,13.19 ± 0.90 / 32.82 ± 0.84@@13.185662311093417,15.7.0.dev0@@150700,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/BramVanroy/GEITje-7B-ultra-sft'>BramVanroy/GEITje-7B-ultra-sft (few-shot)</a>,📝,2.67@@2.67,7241732096.0,32000.0,8192.0,✗,✗,87.78 ± 1.41 / 93.64 ± 0.82@@87.78406286919032,39.41 ± 2.93 / 30.59 ± 1.59@@39.41312724619716,16.10 ± 2.34 / 52.05 ± 3.60@@16.09870114254153,66.88 ± 1.12 / 51.66 ± 1.62@@66.87583422387479,67.74 ± 0.43 / 20.32 ± 0.57@@67.73751230954076,25.80 ± 0.75 / 42.85 ± 0.76@@25.802596287206853,12.49 ± 2.15 / 33.04 ± 2.08@@12.48758713437034,15.7.1.dev0@@150701,12.5.2@@120502,12.5.2@@120502,14.2.0.dev0@@140200,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502
<a href='https://huggingface.co/tiiuae/Falcon3-7B-Base'>tiiuae/Falcon3-7B-Base (few-shot)</a>,🧠,2.68@@2.68,7455550464.0,131072.0,32768.0,✓,✗,86.89 ± 0.66 / 93.29 ± 0.40@@86.88790161857277,55.78 ± 2.65 / 40.37 ± 3.26@@55.77828712961125,11.83 ± 2.54 / 47.95 ± 3.53@@11.834116418254785,72.45 ± 1.21 / 58.18 ± 1.30@@72.44820786762939,59.81 ± 2.31 / 15.14 ± 1.21@@59.81434930312389,24.88 ± 1.55 / 43.00 ± 1.22@@24.876813425603572,12.27 ± 1.23 / 33.26 ± 1.13@@12.26825243509088,15.7.2.dev0@@150702,14.3.0@@140300,14.3.0@@140300,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/occiglot/occiglot-7b-eu5'>occiglot/occiglot-7b-eu5 (few-shot)</a>,🧠,2.68@@2.68,7241732096.0,32000.0,4096.0,✓,✗,89.92 ± 1.36 / 94.79 ± 0.77@@89.91694940288217,51.78 ± 2.16 / 43.50 ± 1.95@@51.78229200007465,13.12 ± 1.40 / 53.71 ± 3.01@@13.123752004467137,73.85 ± 1.40 / 59.56 ± 1.44@@73.8464805774947,64.89 ± 0.63 / 18.34 ± 1.10@@64.88511399911658,17.56 ± 0.99 / 37.11 ± 0.87@@17.555091862290084,7.29 ± 1.52 / 29.19 ± 1.29@@7.293932637704621,15.7.1.dev0@@150701,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/BSC-LT/salamandra-7b'>BSC-LT/salamandra-7b (few-shot)</a>,🧠,2.69@@2.69,7768117248.0,256000.0,8192.0,✓,✗,87.36 ± 1.70 / 93.32 ± 0.98@@87.35973308546251,52.96 ± 3.38 / 43.41 ± 2.53@@52.96296396080672,19.74 ± 3.53 / 47.07 ± 4.15@@19.739779179121577,72.35 ± 1.42 / 59.22 ± 1.29@@72.34884476074464,62.28 ± 5.15 / 24.22 ± 2.42@@62.27587900175422,17.89 ± 0.89 / 37.59 ± 0.66@@17.888708320970316,6.49 ± 0.99 / 26.73 ± 0.65@@6.487329485662144,15.7.1.dev0@@150701,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/robinsmits/Schaapje-2B-Chat-V1.0'>robinsmits/Schaapje-2B-Chat-V1.0 (few-shot)</a>,📝,2.70@@2.70,2533531648.0,49155.0,4096.0,✗,✗,87.35 ± 1.27 / 93.58 ± 0.69@@87.3544586549228,54.33 ± 2.50 / 34.12 ± 1.85@@54.329627492453604,10.72 ± 1.00 / 42.54 ± 1.96@@10.717578195867587,69.26 ± 0.99 / 50.64 ± 1.64@@69.25769260421916,65.03 ± 0.16 / 14.56 ± 0.19@@65.03427603543969,19.82 ± 1.26 / 39.41 ± 0.94@@19.821175782763483,8.31 ± 1.22 / 29.59 ± 0.89@@8.309182765862474,15.7.0.dev0@@150700,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
<a href='https://huggingface.co/01-ai/Yi-1.5-6B'>01-ai/Yi-1.5-6B (few-shot)</a>,🧠,2.71@@2.71,6061035520.0,64000.0,4352.0,✓,✗,87.76 ± 1.44 / 93.84 ± 0.76@@87.76324422787833,51.18 ± 1.62 / 35.45 ± 1.88@@51.18142191452721,1.99 ± 2.56 / 34.69 ± 1.59@@1.9851076029833714,68.29 ± 1.59 / 55.91 ± 1.90@@68.28793385687683,60.81 ± 1.16 / 15.41 ± 0.63@@60.811265047523186,28.03 ± 1.02 / 45.90 ± 0.79@@28.034654434662386,23.64 ± 1.21 / 42.59 ± 0.96@@23.642507986410806,15.7.0.dev0@@150700,13.0.0@@130000,13.0.0@@130000,14.3.0@@140300,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
<a href='https://huggingface.co/microsoft/Phi-3-mini-128k-instruct'>microsoft/Phi-3-mini-128k-instruct (few-shot)</a>,📝,2.72@@2.72,3821079552.0,32064.0,131072.0,✓,✗,79.40 ± 1.25 / 89.56 ± 0.72@@79.40293587239422,44.27 ± 2.14 / 34.47 ± 2.48@@44.270588103631795,10.44 ± 1.58 / 48.93 ± 3.41@@10.444989615608065,67.21 ± 0.77 / 48.38 ± 1.08@@67.21246910096338,62.60 ± 0.62 / 15.63 ± 0.45@@62.59996038344979,28.63 ± 0.84 / 46.39 ± 0.61@@28.62595214849118,22.58 ± 0.97 / 41.78 ± 0.71@@22.575556072692113,15.7.0.dev0@@150700,12.9.1@@120901,12.9.1@@120901,14.2.0.dev0@@140200,12.10.0@@121000,12.10.0@@121000,12.10.0@@121000
<a href='https://huggingface.co/meta-llama/Llama-3.2-3B'>meta-llama/Llama-3.2-3B (few-shot)</a>,🧠,2.73@@2.73,3212749824.0,128256.0,131328.0,✓,✗,88.79 ± 0.83 / 94.14 ± 0.46@@88.78807504563973,47.40 ± 3.29 / 33.11 ± 2.04@@47.40055139152853,3.10 ± 1.93 / 34.24 ± 0.73@@3.101984228749315,72.70 ± 1.32 / 57.26 ± 1.51@@72.69589658394172,62.27 ± 2.04 / 16.54 ± 1.58@@62.27119887436856,29.18 ± 0.87 / 46.04 ± 0.54@@29.181916122001418,10.34 ± 1.08 / 32.08 ± 1.06@@10.343676296410912,15.7.1.dev0@@150701,13.0.0@@130000,13.0.0@@130000,14.3.0@@140300,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
<a href='https://huggingface.co/ReBatch/Reynaerde-7B-Chat'>ReBatch/Reynaerde-7B-Chat (few-shot)</a>,📝,2.75@@2.75,7248023552.0,32768.0,32768.0,✗,✗,3.07 ± 2.02 / 34.20 ± 0.44@@3.0715696312175353,56.22 ± 2.46 / 38.04 ± 1.69@@56.22025776881495,20.04 ± 1.67 / 55.38 ± 3.62@@20.037931730372588,71.46 ± 0.83 / 55.50 ± 1.19@@71.4612082211284,68.28 ± 0.61 / 20.97 ± 0.82@@68.28498341215891,32.44 ± 0.61 / 49.05 ± 0.48@@32.44205152828423,31.24 ± 1.92 / 47.72 ± 1.69@@31.24065559782789,15.7.0.dev0@@150700,13.0.0@@130000,13.0.0@@130000,14.2.0.dev0@@140200,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
<a href='https://huggingface.co/ReBatch/Reynaerde-7B-Instruct'>ReBatch/Reynaerde-7B-Instruct (few-shot)</a>,📝,2.75@@2.75,7248023552.0,32768.0,32768.0,✗,✗,2.10 ± 0.98 / 33.89 ± 0.26@@2.096982107491423,59.16 ± 2.29 / 42.33 ± 2.15@@59.156884015865295,19.50 ± 1.96 / 55.52 ± 3.92@@19.49986201342134,71.70 ± 0.87 / 55.86 ± 1.58@@71.70143995668136,68.19 ± 0.63 / 20.85 ± 0.78@@68.18520556989824,32.93 ± 0.63 / 49.37 ± 0.55@@32.93341972519194,28.04 ± 1.54 / 45.48 ± 1.35@@28.03819818505044,15.7.0.dev0@@150700,13.0.0@@130000,13.0.0@@130000,14.2.0.dev0@@140200,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
<a href='https://huggingface.co/ibm-granite/granite-8b-code-base-4k'>ibm-granite/granite-8b-code-base-4k (few-shot)</a>,🧠,2.76@@2.76,8054910976.0,49152.0,4096.0,✓,✗,80.12 ± 1.25 / 89.78 ± 0.69@@80.12222937144938,63.93 ± 1.82 / 54.57 ± 1.10@@63.9266115160833,7.64 ± 2.72 / 45.74 ± 4.22@@7.6369044108931385,71.22 ± 1.23 / 58.76 ± 1.17@@71.22306388627,63.26 ± 0.68 / 16.00 ± 0.74@@63.25715593382484,9.94 ± 0.93 / 32.22 ± 0.73@@9.939853219732411,3.58 ± 1.13 / 26.24 ± 0.96@@3.5754819700833234,15.7.0.dev0@@150700,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/meta-llama/Llama-2-70b-chat-hf'>meta-llama/Llama-2-70b-chat-hf (few-shot)</a>,📝,2.76@@2.76,68976653312.0,32000.0,4096.0,✓,✗,84.22 ± 4.39 / 91.69 ± 2.66@@84.22253899072362,50.76 ± 1.22 / 31.20 ± 1.02@@50.76376691105794,17.27 ± 2.09 / 44.04 ± 2.30@@17.272236235030967,69.94 ± 0.57 / 48.81 ± 1.06@@69.94323926857614,65.01 ± 0.10 / 14.70 ± 0.14@@65.01013599743601,15.76 ± 2.16 / 32.97 ± 2.19@@15.75902382273718,1.32 ± 1.21 / 24.97 ± 0.83@@1.318635693578731,15.7.0.dev0@@150700,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://huggingface.co/ibm-granite/granite-3.0-3b-a800m-instruct'>ibm-granite/granite-3.0-3b-a800m-instruct (few-shot)</a>,📝,2.77@@2.77,3374295552.0,49155.0,4096.0,✓,✗,88.43 ± 0.68 / 94.13 ± 0.38@@88.42573587999635,45.54 ± 2.41 / 34.15 ± 1.98@@45.53575014965811,13.08 ± 1.40 / 54.54 ± 1.86@@13.079299828503762,70.98 ± 0.56 / 55.79 ± 0.75@@70.98356755217195,63.53 ± 0.43 / 14.57 ± 0.50@@63.53428648057161,15.56 ± 0.83 / 36.10 ± 0.74@@15.559850917605678,12.53 ± 0.72 / 30.98 ± 0.81@@12.525223412963427,15.7.1.dev0@@150701,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/meta-llama/Llama-2-7b-hf'>meta-llama/Llama-2-7b-hf (few-shot)</a>,📝,2.78@@2.78,6738417664.0,32000.0,4096.0,✓,✗,88.93 ± 1.61 / 94.22 ± 0.92@@88.93456046692985,40.49 ± 4.32 / 30.86 ± 2.27@@40.4899636406647,18.66 ± 2.39 / 55.25 ± 3.77@@18.655580211380958,72.80 ± 1.23 / 59.81 ± 0.85@@72.79621131185885,62.58 ± 1.13 / 16.33 ± 0.81@@62.583031716785634,17.36 ± 1.12 / 37.44 ± 0.99@@17.358786742287105,6.68 ± 1.82 / 29.30 ± 1.02@@6.682474387156229,15.7.1.dev0@@150701,9.2.0@@90200,9.2.0@@90200,14.3.0@@140300,11.0.0@@110000,9.2.0@@90200,9.2.0@@90200
<a href='https://huggingface.co/ibm-granite/granite-8b-code-instruct-4k'>ibm-granite/granite-8b-code-instruct-4k (few-shot)</a>,📝,2.79@@2.79,8054910976.0,49152.0,4096.0,✓,✗,79.47 ± 2.35 / 89.11 ± 1.49@@79.46675620576461,60.46 ± 2.38 / 48.26 ± 3.13@@60.45824723495874,11.72 ± 2.21 / 50.30 ± 4.02@@11.717646370558429,65.94 ± 1.36 / 53.16 ± 0.99@@65.93651494806959,63.94 ± 0.34 / 15.37 ± 0.31@@63.93856497597881,10.03 ± 1.52 / 32.00 ± 1.09@@10.03426109752773,4.66 ± 0.89 / 27.33 ± 0.61@@4.656460948666578,15.7.1.dev0@@150701,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/TrustLLMeu/baseline-7-8b_2-3t-tokens_llama'>TrustLLMeu/baseline-7-8b_2-3t-tokens_llama (few-shot)</a>,🧠,2.79@@2.79,7799574528.0,100096.0,4096.0,✓,✗,86.23 ± 2.20 / 92.72 ± 1.31@@86.23071970221991,50.76 ± 1.71 / 41.71 ± 2.37@@50.75580375466606,15.08 ± 1.63 / 53.14 ± 3.32@@15.081790968169056,72.47 ± 1.39 / 59.07 ± 1.14@@72.46742474371686,65.74 ± 0.53 / 19.70 ± 1.10@@65.73615427732875,9.30 ± 1.09 / 29.84 ± 0.98@@9.299145674090568,0.75 ± 0.98 / 24.28 ± 0.48@@0.7514278905406219,15.7.1.dev0@@150701,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0.dev0@@150000,15.0.0.dev0@@150000,15.0.0.dev0@@150000
<a href='https://huggingface.co/Qwen/Qwen1.5-4B-Chat'>Qwen/Qwen1.5-4B-Chat (few-shot)</a>,📝,2.81@@2.81,3950369280.0,151936.0,32768.0,✗,✗,82.30 ± 1.28 / 91.06 ± 0.67@@82.29775935837466,42.52 ± 2.25 / 37.46 ± 3.08@@42.522011800914136,4.07 ± 2.16 / 35.24 ± 1.77@@4.0669100920698105,71.15 ± 0.47 / 56.69 ± 0.85@@71.14584280240013,62.75 ± 0.84 / 14.83 ± 0.70@@62.749118646388524,24.25 ± 1.22 / 43.08 ± 0.87@@24.248246212083664,16.21 ± 1.51 / 37.11 ± 1.16@@16.210555879418347,15.7.1.dev0@@150701,12.5.2@@120502,12.1.0@@120100,14.2.0.dev0@@140200,12.1.0@@120100,12.1.0@@120100,12.1.0@@120100
<a href='https://huggingface.co/norallm/normistral-11b-warm'>norallm/normistral-11b-warm (few-shot)</a>,🧠,2.84@@2.84,11429893120.0,51200.0,1024000.0,✓,✗,87.85 ± 0.94 / 93.76 ± 0.53@@87.84951815968748,49.85 ± 3.52 / 39.69 ± 2.14@@49.85101168587427,6.00 ± 0.95 / 50.86 ± 1.30@@6.0014581646928775,70.94 ± 0.90 / 57.20 ± 1.37@@70.9424259179768,63.74 ± 0.77 / 19.58 ± 0.80@@63.74272079403453,11.95 ± 0.97 / 33.64 ± 0.77@@11.9514996817502,5.29 ± 0.98 / 28.40 ± 0.57@@5.289855455470096,15.7.0.dev0@@150700,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/BSC-LT/salamandra-7b-instruct'>BSC-LT/salamandra-7b-instruct (few-shot)</a>,📝,2.85@@2.85,7768117248.0,256000.0,8192.0,✓,✗,4.25 ± 2.75 / 34.51 ± 0.61@@4.246788337092499,55.14 ± 2.28 / 33.17 ± 0.93@@55.1355964571706,25.20 ± 1.89 / 56.92 ± 2.37@@25.20331591206743,74.54 ± 0.62 / 59.28 ± 0.98@@74.5448993250473,66.66 ± 0.68 / 18.53 ± 0.97@@66.66142200418108,24.73 ± 0.87 / 41.65 ± 0.84@@24.727008885839844,16.92 ± 1.40 / 35.50 ± 1.17@@16.915051036268736,15.7.0.dev0@@150700,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/Rijgersberg/Mistral-7B-v0.1-chat-nl'>Rijgersberg/Mistral-7B-v0.1-chat-nl (few-shot)</a>,📝,2.88@@2.88,7241732096.0,32000.0,32768.0,✗,✗,0.00 ± 0.00 / 33.75 ± 0.22@@0.0,56.73 ± 1.95 / 38.97 ± 1.84@@56.72759695264824,19.41 ± 2.55 / 57.17 ± 2.38@@19.405589248705144,70.13 ± 0.98 / 53.00 ± 1.60@@70.12575150614029,68.05 ± 0.39 / 21.26 ± 0.65@@68.05241674868739,31.39 ± 0.86 / 48.09 ± 0.72@@31.389391347198302,16.49 ± 2.14 / 36.67 ± 1.72@@16.489639412458775,15.7.0.dev0@@150700,12.5.2@@120502,12.5.2@@120502,14.2.0.dev0@@140200,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502
<a href='https://huggingface.co/meta-llama/Llama-2-13b-chat-hf'>meta-llama/Llama-2-13b-chat-hf (few-shot)</a>,📝,2.89@@2.89,13015866880.0,32000.0,4096.0,✓,✗,84.38 ± 3.07 / 91.92 ± 1.73@@84.38326748001693,40.29 ± 2.25 / 27.87 ± 1.33@@40.29110208040574,15.28 ± 1.58 / 55.41 ± 2.06@@15.2765557429506,64.90 ± 2.28 / 50.43 ± 1.73@@64.90464379238522,64.83 ± 0.09 / 14.85 ± 0.15@@64.82736744146678,10.82 ± 0.89 / 30.83 ± 0.55@@10.818550146394024,5.09 ± 1.56 / 27.88 ± 0.57@@5.087865274739427,15.7.0.dev0@@150700,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
<a href='https://huggingface.co/TrustLLMeu/baseline-7-8b_1t-tokens_llama'>TrustLLMeu/baseline-7-8b_1t-tokens_llama (few-shot)</a>,🧠,2.89@@2.89,7799574528.0,100096.0,4096.0,✓,✗,84.10 ± 2.05 / 91.45 ± 1.22@@84.09512887122631,49.35 ± 2.96 / 41.29 ± 2.41@@49.34819632716943,10.93 ± 3.28 / 49.96 ± 4.76@@10.926826970015572,69.24 ± 1.46 / 55.52 ± 1.47@@69.24301306148661,65.46 ± 0.60 / 19.33 ± 1.02@@65.4570712725399,1.48 ± 1.14 / 25.20 ± 0.76@@1.4809403210004046,-0.86 ± 1.00 / 24.01 ± 0.64@@-0.8590430594593327,15.7.1.dev0@@150701,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
