model,nlu_rank,nlg_rank,parameters,vocabulary_size,context,speed,commercial,merge,angry_tweets_primary,angry_tweets_secondary,dansk_primary,dansk_secondary,scala_da_primary,scala_da_secondary,scandiqa_da_primary,scandiqa_da_secondary,nordjylland_news_primary,nordjylland_news_secondary,danske_talemaader_primary,danske_talemaader_secondary,danish_citizen_tests_primary,danish_citizen_tests_secondary,hellaswag_da_primary,hellaswag_da_secondary,swerec_primary,swerec_secondary,suc3_primary,suc3_secondary,scala_sv_primary,scala_sv_secondary,scandiqa_sv_primary,scandiqa_sv_secondary,swedn_primary,swedn_secondary,mmlu_sv_primary,mmlu_sv_secondary,hellaswag_sv_primary,hellaswag_sv_secondary,norec_primary,norec_secondary,norne_nb_primary,norne_nb_secondary,norne_nn_primary,norne_nn_secondary,scala_nb_primary,scala_nb_secondary,scala_nn_primary,scala_nn_secondary,norquad_primary,norquad_secondary,no_sammendrag_primary,no_sammendrag_secondary,mmlu_no_primary,mmlu_no_secondary,hellaswag_no_primary,hellaswag_no_secondary,hotter_and_colder_sentiment_primary,hotter_and_colder_sentiment_secondary,mim_gold_ner_primary,mim_gold_ner_secondary,scala_is_primary,scala_is_secondary,nqii_primary,nqii_secondary,rrn_primary,rrn_secondary,arc_is_primary,arc_is_secondary,winogrande_is_primary,winogrande_is_secondary,fosent_primary,fosent_secondary,fone_primary,fone_secondary,scala_fo_primary,scala_fo_secondary,foqa_primary,foqa_secondary,dutch_social_primary,dutch_social_secondary,conll_nl_primary,conll_nl_secondary,scala_nl_primary,scala_nl_secondary,squad_nl_primary,squad_nl_secondary,wiki_lingua_nl_primary,wiki_lingua_nl_secondary,mmlu_nl_primary,mmlu_nl_secondary,hellaswag_nl_primary,hellaswag_nl_secondary,sb10k_primary,sb10k_secondary,germeval_primary,germeval_secondary,scala_de_primary,scala_de_secondary,germanquad_primary,germanquad_secondary,mlsum_primary,mlsum_secondary,mmlu_de_primary,mmlu_de_secondary,hellaswag_de_primary,hellaswag_de_secondary,sst5_primary,sst5_secondary,conll_en_primary,conll_en_secondary,scala_en_primary,scala_en_secondary,squad_primary,squad_secondary,cnn_dailymail_primary,cnn_dailymail_secondary,mmlu_primary,mmlu_secondary,hellaswag_primary,hellaswag_secondary,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version,nordjylland_news_version,danske_talemaader_version,danish_citizen_tests_version,hellaswag_da_version,swerec_version,suc3_version,scala_sv_version,scandiqa_sv_version,swedn_version,mmlu_sv_version,hellaswag_sv_version,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version,no_sammendrag_version,mmlu_no_version,hellaswag_no_version,hotter_and_colder_sentiment_version,mim_gold_ner_version,scala_is_version,nqii_version,rrn_version,arc_is_version,winogrande_is_version,fosent_version,fone_version,scala_fo_version,foqa_version,dutch_social_version,conll_nl_version,scala_nl_version,squad_nl_version,wiki_lingua_nl_version,mmlu_nl_version,hellaswag_nl_version,sb10k_version,germeval_version,scala_de_version,germanquad_version,mlsum_version,mmlu_de_version,hellaswag_de_version,sst5_version,conll_en_version,scala_en_version,squad_version,cnn_dailymail_version,mmlu_version,hellaswag_version,speed_version
Qwen/Qwen1.5-0.5B-Chat (few-shot),999.0,4.24,620.0,152.0,32768,11740.04,False,False,10.72,25.21,17.38,15.74,1.32,42.05,40.37,34.58,55.87,11.87,4.56,25.87,22.41,42.73,1.71,25.84,40.23,49.01,18.57,17.69,0.21,39.6,35.01,29.49,53.29,13.04,2.59,26.87,-0.84,24.44,11.49,27.12,29.52,29.79,31.27,31.91,0.29,40.21,-0.12,39.92,17.09,7.8,9.92,1.42,0.29,24.63,0.49,24.95,1.63,19.19,9.5,9.41,1.76,38.51,17.84,3.14,58.92,10.09,-1.28,24.82,1.48,53.95,-0.1,15.91,22.3,22.37,-0.54,36.22,,,8.59,29.65,18.66,17.56,0.34,43.92,35.03,26.74,62.36,11.72,2.09,25.9,1.44,26.5,9.31,21.5,24.67,23.98,1.11,37.88,29.1,13.6,56.42,11.68,2.75,27.17,3.41,27.45,55.41,54.48,33.86,32.8,1.15,34.47,64.09,53.34,65.81,20.88,11.66,32.84,5.22,27.95,11.0.0,12.5.2,12.1.0,12.4.0,12.6.1,12.1.0,12.1.0,12.1.0,11.0.0,12.5.2,12.1.0,12.4.0,12.5.0,12.1.0,12.1.0,11.0.0,12.5.2,12.5.2,12.1.0,12.1.0,12.4.0,12.5.0,12.1.0,12.1.0,13.3.0,12.5.2,12.1.0,12.5.0,12.5.0,12.10.8,12.1.0,13.3.0,12.5.2,12.1.0,0.0.0,11.0.0,12.5.2,12.1.0,12.5.0,12.5.0,12.1.0,12.1.0,11.0.0,12.5.2,12.1.0,12.5.0,12.5.0,12.1.0,12.1.0,11.0.0,12.5.2,12.1.0,12.5.0,12.5.0,12.1.0,12.1.0,9.3.2
Qwen/Qwen1.5-0.5B (few-shot),999.0,3.96,620.0,152.0,32768,11371.34,True,False,8.88,24.27,19.01,17.08,0.66,37.98,38.31,32.78,55.57,8.04,7.21,29.73,16.56,42.3,0.62,25.65,26.58,28.64,28.96,26.49,-1.88,35.45,40.95,34.59,53.36,12.82,6.52,28.83,1.91,26.1,6.31,20.67,34.46,33.09,33.41,33.91,-1.59,36.27,0.61,38.84,16.2,5.95,49.88,5.75,2.81,25.21,2.92,26.67,1.95,22.1,16.2,16.96,-0.57,41.25,16.86,3.31,56.0,10.05,1.96,25.55,0.85,52.12,5.07,25.7,29.34,30.91,-1.47,35.84,,,4.54,26.53,28.3,28.67,-0.42,37.6,29.05,20.81,58.4,10.34,7.44,29.86,1.7,26.04,10.64,26.79,27.34,24.46,0.33,35.2,27.38,11.81,59.71,12.23,6.34,29.19,2.94,27.16,57.15,52.82,37.51,33.24,2.94,44.53,55.17,42.57,65.22,19.22,18.24,37.15,10.89,32.65,10.0.1,12.5.2,12.1.0,12.1.0,12.6.1,12.1.0,12.1.0,12.1.0,10.0.1,12.5.2,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,10.0.1,12.5.2,12.5.2,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,13.3.0,12.5.2,12.1.0,12.1.0,12.1.0,12.10.8,12.1.0,13.3.0,12.5.2,12.1.0,0.0.0,10.0.1,12.5.2,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,10.0.1,12.5.2,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,10.0.1,12.5.2,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,9.3.2
Qwen/Qwen1.5-1.8B-Chat (few-shot),999.0,3.66,1837.0,152.0,32768,8303.55,False,False,26.58,45.88,18.0,14.88,0.63,33.42,49.4,41.66,57.19,11.87,22.17,39.97,12.85,42.13,7.01,30.16,52.54,60.44,20.94,18.26,0.34,36.61,50.53,43.55,61.19,15.92,10.74,32.65,4.83,28.76,19.85,35.75,26.99,24.61,25.74,24.51,1.96,44.22,-0.01,39.57,31.16,16.33,55.08,8.11,7.79,29.5,5.61,28.45,6.87,28.55,14.15,14.96,0.78,44.74,23.47,7.8,57.27,10.43,1.62,25.09,1.92,50.07,5.97,27.46,26.11,27.37,0.15,34.34,,,6.82,30.97,23.44,25.0,4.11,43.7,46.66,33.16,60.91,12.65,12.11,33.62,6.41,29.73,36.21,54.82,28.04,24.08,3.12,46.21,41.91,16.33,61.47,12.62,13.44,34.26,8.31,31.05,55.33,64.53,40.89,37.44,11.23,52.85,74.24,60.69,67.23,18.87,26.84,44.86,23.89,42.78,11.0.0,12.5.2,12.1.0,12.5.0,12.6.1,12.1.0,12.1.0,12.1.0,11.0.0,12.5.2,12.1.0,12.5.0,12.5.0,12.1.0,12.1.0,11.0.0,12.5.2,12.5.2,12.1.0,12.1.0,12.5.0,12.5.0,12.1.0,12.1.0,13.3.0,12.5.2,12.1.0,12.5.0,12.5.0,12.10.8,12.1.0,13.3.0,12.5.2,12.1.0,0.0.0,11.0.0,12.5.2,12.1.0,12.5.0,12.5.0,12.1.0,12.1.0,11.0.0,12.5.2,12.1.0,12.5.0,12.5.0,12.1.0,12.1.0,11.0.0,12.5.2,12.1.0,12.5.0,12.5.0,12.1.0,12.1.0,9.3.2
Qwen/Qwen1.5-1.8B (few-shot),999.0,3.72,1837.0,152.0,32768,5665.51,True,False,29.03,46.75,9.83,8.97,0.56,33.34,53.2,46.43,56.43,11.67,14.86,33.52,17.56,45.31,4.78,27.73,51.91,59.44,18.01,18.55,1.49,40.76,51.87,44.83,54.82,14.43,11.54,32.55,7.19,29.76,22.82,43.88,12.1,12.85,13.42,13.82,2.7,47.68,2.21,42.8,30.78,16.31,54.48,8.22,9.57,30.18,6.02,28.58,5.43,25.93,12.26,12.77,0.94,40.66,20.24,6.31,55.32,8.91,3.65,26.36,1.13,52.3,10.8,32.95,18.65,20.64,1.14,37.04,,,5.2,35.43,11.66,15.15,2.89,41.36,48.83,34.6,55.0,11.21,13.56,34.17,5.89,29.17,38.3,56.94,9.23,10.43,0.39,33.47,41.61,16.67,61.74,14.71,13.65,33.35,8.86,30.21,64.34,62.9,37.22,34.07,15.3,55.67,75.79,64.41,68.15,22.11,27.24,44.95,22.84,41.75,10.0.1,12.5.2,12.1.0,12.1.0,12.6.1,12.1.0,12.1.0,12.1.0,10.0.1,12.5.2,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,10.0.1,12.5.2,12.5.2,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,13.3.0,12.5.2,12.1.0,12.1.0,12.1.0,12.10.8,12.1.0,13.3.0,12.5.2,12.1.0,0.0.0,10.0.1,12.5.2,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,10.0.1,12.5.2,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,10.0.1,12.5.2,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0
Qwen/Qwen1.5-4B-Chat (few-shot),999.0,3.21,3950.0,152.0,32768,4347.23,False,False,42.04,60.76,35.96,28.58,8.65,49.56,59.73,53.68,63.22,16.73,37.79,52.64,29.62,52.29,16.87,37.41,64.08,69.62,40.19,31.88,5.43,38.32,59.57,53.21,61.9,17.34,20.95,40.87,16.59,36.76,32.7,45.73,44.83,40.11,46.29,41.63,3.57,37.05,1.61,37.85,67.11,42.55,60.53,12.86,17.0,37.67,16.18,36.91,7.56,26.07,25.65,22.3,-0.35,44.36,32.31,14.46,62.11,14.98,4.5,28.86,-1.89,43.72,17.16,33.37,43.8,44.36,-0.42,34.33,,,14.68,40.53,42.52,37.46,4.07,35.24,66.5,55.18,62.75,14.83,24.25,43.08,16.21,37.11,41.52,57.69,42.08,36.9,12.78,46.43,59.9,29.35,65.56,20.45,23.76,42.77,20.92,40.56,59.62,68.55,58.56,54.14,28.55,60.49,82.09,70.04,67.27,19.77,38.68,53.45,47.47,60.44,10.0.1,12.5.2,12.1.0,12.5.2,12.6.1,12.1.0,12.1.0,12.1.0,10.0.1,12.5.2,12.1.0,12.5.2,12.1.0,12.1.0,12.1.0,10.0.1,12.5.2,12.5.2,12.1.0,12.1.0,12.5.2,12.1.0,12.1.0,12.1.0,13.3.0,12.5.2,12.1.0,12.5.2,12.1.0,12.10.8,12.1.0,13.3.0,12.5.2,12.1.0,0.0.0,10.0.1,12.5.2,12.1.0,12.5.2,12.1.0,12.1.0,12.1.0,10.0.1,12.5.2,12.1.0,12.5.2,12.1.0,12.1.0,12.1.0,10.0.1,12.5.2,12.1.0,12.5.2,12.1.0,12.1.0,12.1.0,9.3.2
Qwen/Qwen1.5-4B (few-shot),999.0,3.29,3950.0,152.0,32768,3247.86,True,False,39.62,56.09,32.28,23.24,5.38,36.31,60.63,54.16,62.74,16.48,37.49,51.62,29.21,52.4,15.58,36.33,5.2,30.65,37.26,29.89,1.85,33.71,60.15,54.15,58.24,16.02,22.04,41.36,14.76,35.27,36.97,55.08,32.12,32.01,36.86,35.46,5.27,40.91,1.4,33.64,62.87,40.0,57.64,11.53,16.5,36.63,13.27,34.42,5.2,22.73,15.66,15.78,-0.55,39.57,34.56,14.11,57.17,11.73,5.46,29.23,-1.71,50.88,8.76,29.23,34.2,35.35,-0.36,35.09,,,12.55,39.8,35.74,31.74,0.23,33.35,64.17,51.3,58.9,14.17,22.2,41.49,13.11,33.86,39.91,53.66,31.52,29.2,3.27,34.3,57.6,27.55,65.88,21.37,21.32,40.66,21.35,40.77,60.55,68.53,55.45,49.72,28.6,60.31,82.68,70.49,68.67,21.65,39.82,54.62,51.82,63.79,10.0.1,12.5.2,12.1.0,12.1.0,12.6.1,12.1.0,12.1.0,12.1.0,9.3.2,12.5.2,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,10.0.1,12.5.2,12.5.2,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,13.3.0,12.5.2,12.1.0,12.1.0,12.1.0,12.10.8,12.1.0,13.3.0,12.5.2,12.1.0,0.0.0,10.0.1,12.5.2,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,10.0.1,12.5.2,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,10.0.1,12.5.2,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0
RuterNorway/Llama-2-7b-chat-norwegian (few-shot),999.0,4.07,,32.0,4096,10889.7,False,False,10.65,28.33,10.12,9.84,-0.66,33.61,28.87,26.08,56.92,8.57,0.1,26.5,4.29,35.0,-0.88,24.43,31.11,36.84,22.38,22.09,0.09,33.42,50.14,44.36,55.44,12.95,1.12,25.27,-0.91,24.26,12.22,23.5,21.04,20.44,18.71,19.91,-1.18,35.7,0.36,37.66,50.11,26.86,53.49,9.38,0.21,26.88,-0.3,24.48,3.32,21.42,9.48,10.1,0.07,43.54,7.35,1.04,55.16,10.52,-0.8,23.89,-0.16,32.02,-3.21,17.97,18.86,19.8,-0.43,39.75,,,11.36,30.66,35.49,29.35,2.52,42.6,47.34,37.49,62.24,15.62,5.41,27.75,0.15,25.59,33.61,49.68,27.22,24.48,0.45,35.24,45.5,20.44,60.5,13.71,-0.1,25.16,-1.0,24.94,21.95,33.38,18.69,18.5,0.01,39.4,50.66,36.51,60.11,16.29,3.71,28.35,0.62,24.68,9.3.1,9.3.1,9.3.1,12.5.2,12.6.1,10.0.1,10.0.1,9.3.1,9.3.1,9.3.1,9.3.1,12.5.2,11.0.0,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,12.5.2,11.0.0,9.3.1,9.3.1,13.3.0,9.3.1,9.3.1,12.5.2,12.4.0,12.10.8,12.1.0,13.3.0,9.3.1,9.3.1,0.0.0,9.3.1,9.3.1,9.3.1,12.5.2,9.3.1,9.3.1,9.3.1,12.10.0,9.3.1,9.3.1,12.5.2,12.4.0,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,12.5.2,9.3.1,9.3.1,9.3.1,9.3.1
TrustLLMeu/baseline-7-8b_1t-tokens_llama (few-shot),999.0,3.68,7800.0,100.0,4096,6196.57,True,False,45.67,58.41,34.25,30.39,10.62,53.2,56.92,50.77,65.67,19.97,2.31,24.65,10.57,40.33,0.64,25.4,79.18,76.66,42.87,40.34,8.65,46.95,57.58,51.56,64.66,18.04,2.37,24.51,0.17,25.26,37.79,56.41,42.77,40.31,45.69,43.11,8.77,49.11,8.47,49.65,65.11,44.24,61.05,13.39,-1.34,22.6,-0.94,24.17,,,36.02,33.67,5.05,48.46,50.31,25.83,66.77,18.38,1.7,25.02,-1.88,55.0,,,43.13,42.16,0.88,34.15,63.19,43.32,11.37,33.54,48.24,40.24,10.73,48.26,65.28,54.83,64.32,18.12,0.72,24.9,-0.47,24.28,58.36,71.98,39.21,36.08,7.03,50.18,51.94,27.02,68.59,25.49,3.52,26.38,0.06,24.56,59.29,65.59,45.89,42.96,9.11,52.02,77.75,66.74,68.17,22.5,0.92,23.0,0.61,25.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,0.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,0.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
ai-forever/mGPT (few-shot),999.0,5.5,,100.0,1024,11734.33,True,False,2.61,20.51,0.65,0.59,-0.73,41.15,2.68,1.99,35.64,4.7,-0.61,24.71,6.94,38.18,-1.12,24.71,0.0,19.32,0.0,0.0,0.49,39.12,7.85,6.24,31.89,2.03,-0.37,22.43,0.36,25.08,4.76,16.95,0.08,0.07,0.0,0.0,0.67,40.42,-0.88,40.7,0.74,0.0,31.66,0.93,0.72,22.86,-0.2,24.94,3.82,23.71,0.0,0.0,0.0,33.69,0.05,0.0,17.11,0.96,-0.02,22.75,0.47,46.93,-0.22,14.66,0.0,0.0,-0.24,43.16,,,-0.67,8.96,0.11,0.27,-0.97,34.83,1.56,0.29,30.2,2.14,1.45,24.91,-0.56,23.53,0.19,17.2,0.0,0.0,-0.12,36.65,1.29,0.0,29.43,2.35,-0.69,22.79,0.15,24.25,3.71,22.09,1.55,1.45,-0.42,40.58,11.12,5.58,34.62,2.18,0.37,24.18,-0.17,24.82,10.0.1,9.3.1,11.0.0,12.5.1,12.6.1,11.0.0,11.0.0,11.0.0,10.0.1,9.3.1,11.0.0,12.5.1,12.0.0,11.0.0,11.0.0,10.0.1,9.3.1,9.3.1,11.0.0,11.0.0,12.5.1,12.0.0,11.0.0,11.0.0,13.3.0,9.3.1,11.0.0,12.5.1,12.0.0,12.10.8,12.1.0,13.3.0,9.3.1,11.0.0,0.0.0,10.0.1,9.3.1,11.0.0,12.5.1,12.0.0,11.0.0,11.0.0,12.10.0,12.10.0,12.10.0,12.10.0,12.10.0,12.10.0,12.10.0,10.0.1,9.3.1,11.0.0,12.5.1,12.0.0,11.0.0,11.0.0,12.10.0
allenai/OLMo-1.7-7B-hf (few-shot),999.0,3.38,6888.0,50.0,4096,3371.43,True,False,31.57,46.48,33.8,25.32,2.76,44.96,59.5,54.2,64.19,17.67,17.75,35.7,28.24,52.5,4.5,27.33,76.6,64.63,41.25,32.87,6.37,49.55,61.35,54.87,62.9,17.15,16.18,34.88,8.52,29.96,36.68,46.78,42.78,37.34,42.85,37.34,2.39,43.99,1.91,44.2,62.28,39.16,59.58,12.71,13.41,33.01,7.83,29.5,,,27.44,23.5,1.46,41.2,39.06,17.26,58.3,14.03,2.14,25.83,2.43,55.15,,,43.45,42.27,-0.8,40.32,,,4.34,19.37,46.95,36.13,3.46,41.32,68.14,57.07,61.31,17.24,18.21,37.51,9.03,29.35,49.42,61.57,39.41,36.17,6.02,46.41,54.92,27.69,66.75,23.16,20.77,39.29,10.47,31.09,66.43,57.25,41.02,40.03,5.17,37.03,85.31,76.04,70.28,28.85,34.92,50.82,18.73,34.76,12.10.4,12.10.5,12.10.4,12.10.5,12.10.5,12.10.4,12.10.4,12.10.4,12.10.4,12.10.5,12.10.4,12.10.5,12.10.5,12.10.4,12.10.4,12.10.4,12.10.5,12.10.5,12.10.4,12.10.4,12.10.5,12.10.5,12.10.4,12.10.4,0.0.0,12.10.5,12.10.4,12.10.5,12.10.5,12.10.8,12.10.4,0.0.0,12.10.5,12.10.4,0.0.0,12.10.4,12.10.5,12.10.4,12.10.5,12.10.5,12.10.4,12.10.4,12.10.4,12.10.5,12.10.4,12.10.5,12.10.5,12.10.4,12.10.4,12.10.4,12.10.5,12.10.4,12.10.5,12.10.5,12.10.4,12.10.4,12.10.4
google/gemma-2-27b-it (few-shot),999.0,1.65,27227.0,256.0,8193,1516.14,True,False,59.06,72.86,59.94,38.0,58.57,78.63,65.6,57.48,68.12,23.96,85.2,88.8,84.02,89.32,71.26,78.17,80.73,81.25,62.59,45.11,61.37,79.34,66.73,58.76,65.54,19.89,58.15,68.33,68.94,76.41,67.14,78.63,67.35,56.75,66.61,57.24,64.66,81.94,52.49,75.95,73.41,44.85,66.24,20.99,58.34,68.54,70.87,77.92,,,55.48,47.46,20.1,59.68,53.76,27.18,68.83,22.98,67.22,75.44,35.27,67.79,,,60.57,55.05,11.09,51.49,,,14.8,36.86,65.2,53.16,59.02,79.44,74.99,59.6,64.03,20.76,59.71,69.7,70.7,77.81,60.28,73.37,64.13,55.46,46.69,71.96,59.38,28.54,67.87,24.26,59.43,69.41,71.59,78.3,68.68,73.25,62.4,59.91,54.17,76.02,84.76,66.96,69.79,26.34,68.71,76.45,81.25,85.84,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,0.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,0.0.0,13.0.0,13.0.0,0.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
google/gemma-2-2b-it (few-shot),999.0,2.84,2614.0,256.0,8193,5373.87,True,False,47.11,63.36,28.22,19.95,19.99,58.86,58.49,48.0,66.73,21.91,52.85,63.72,52.74,68.55,29.94,47.03,75.84,77.22,35.61,26.05,15.62,51.3,58.65,47.76,65.16,18.88,27.0,44.95,31.43,47.99,46.84,63.22,35.56,28.84,37.7,30.22,17.15,55.59,14.38,54.95,63.79,29.75,64.58,17.0,23.02,41.85,33.13,49.47,15.24,34.96,14.79,13.03,1.1,34.67,51.72,25.42,62.67,16.91,10.76,32.34,-5.2,53.08,28.69,48.84,24.45,24.45,0.75,45.44,,,11.17,32.96,40.58,28.95,19.63,52.65,67.27,49.3,66.83,19.21,29.3,46.88,31.43,47.87,46.23,63.45,37.31,31.09,23.26,60.73,59.66,28.01,66.35,21.43,30.11,47.48,35.25,50.8,66.37,67.64,44.36,38.51,34.69,67.16,78.88,55.07,68.09,23.58,42.89,57.03,45.52,58.39,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,0.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
meta-llama/Llama-3.2-1B (few-shot),999.0,4.07,1236.0,128.0,131073,7577.45,True,False,35.97,49.88,19.82,17.2,2.14,44.16,51.92,46.59,58.65,11.57,2.65,25.17,9.51,40.41,-0.88,24.79,74.33,73.73,29.89,27.65,1.06,43.95,52.7,46.89,52.06,12.53,0.93,26.1,0.09,24.84,29.5,49.19,30.54,29.88,31.34,30.46,-0.13,37.46,0.02,39.49,34.02,19.59,53.31,7.37,2.49,25.63,2.53,26.3,9.23,26.61,17.77,16.42,-0.35,34.29,30.75,8.15,54.21,11.06,0.71,25.4,2.88,54.45,1.33,18.42,24.82,24.93,-0.23,45.07,,,4.25,26.57,22.03,19.22,1.46,42.29,52.6,41.76,51.56,10.34,5.46,28.09,-0.58,23.58,47.65,63.11,24.79,22.92,2.39,39.92,33.76,13.39,61.07,16.72,3.94,27.78,0.9,25.4,54.4,64.38,35.08,32.44,2.97,45.05,71.04,58.3,62.19,16.53,7.91,29.3,1.6,26.25,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,0.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
google/gemma-2-2b (few-shot),999.0,3.29,2614.0,256.0,8193,5235.32,True,False,34.94,42.58,17.29,13.87,6.39,45.03,59.95,54.94,64.82,20.37,48.07,60.5,45.03,63.4,9.1,30.51,76.36,65.98,30.45,23.98,6.06,49.8,60.59,55.19,63.12,17.92,20.8,40.36,6.24,28.87,32.61,47.91,20.47,21.28,24.18,24.41,3.22,36.61,3.91,45.37,63.31,41.16,60.17,13.48,19.03,38.84,7.35,28.89,21.0,34.05,10.67,13.01,-0.21,33.71,43.48,20.22,59.97,13.32,10.08,32.08,1.16,51.0,19.12,42.16,19.87,20.57,1.15,34.8,,,8.11,28.07,22.63,22.71,8.04,48.95,65.22,52.39,61.9,17.09,22.76,41.67,8.5,30.16,50.36,60.36,19.69,19.53,9.07,44.45,53.36,27.06,68.52,26.96,26.5,44.19,9.36,30.6,66.28,65.6,30.82,27.49,10.09,48.92,78.21,64.96,67.13,21.94,35.14,51.22,11.26,31.4,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,0.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
