model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,allocine,eltec,scala_fr,fquad,orange_sum,mmlu_fr,hellaswag_fr,allocine_version,eltec_version,scala_fr_version,fquad_version,orange_sum_version,mmlu_fr_version,hellaswag_fr_version
<a href='https://huggingface.co/PleIAs/Pleias-Nano'>PleIAs/Pleias-Nano (few-shot)</a>,🧠,3.69@@3.69,1195468800.0,65536.0,2048.0,✓,✗,26.72 ± 13.98 / 50.22 ± 11.03@@26.72297042947521,12.09 ± 6.31 / 13.15 ± 4.17@@12.094408467096688,-0.02 ± 1.54 / 38.43 ± 3.82@@-0.01877060154228182,39.56 ± 3.40 / 14.72 ± 4.37@@39.56376867111101,58.50 ± 0.84 / 10.88 ± 0.53@@58.502192087471485,-1.49 ± 1.16 / 23.45 ± 0.80@@-1.4917435234803083,2.18 ± 1.80 / 26.86 ± 0.99@@2.1795533081373155,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-360M-Instruct'>HuggingFaceTB/SmolLM2-360M-Instruct (few-shot)</a>,📝,3.69@@3.69,361821120.0,49152.0,8192.0,✓,✗,16.96 ± 10.24 / 44.72 ± 7.01@@16.95663846360439,25.75 ± 2.83 / 25.29 ± 2.70@@25.74558931432992,0.00 ± 0.00 / 33.30 ± 0.27@@0.0,27.58 ± 2.16 / 14.44 ± 1.77@@27.58076425577398,59.25 ± 0.97 / 12.32 ± 0.73@@59.25143276253948,-1.41 ± 0.97 / 24.11 ± 0.55@@-1.4078233473284543,-0.15 ± 1.03 / 25.58 ± 0.73@@-0.15336224722014133,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/croissantllm/CroissantLLMChat-v0.1'>croissantllm/CroissantLLMChat-v0.1 (few-shot)</a>,📝,3.72@@3.72,1345431552.0,32002.0,2048.0,✗,✗,-1.64 ± 1.96 / 38.62 ± 3.53@@-1.643655299598279,21.33 ± 5.64 / 21.21 ± 5.41@@21.33001852560313,0.00 ± 0.00 / 33.30 ± 0.27@@0.0,33.89 ± 2.17 / 12.35 ± 1.79@@33.88933380013453,64.82 ± 0.43 / 16.20 ± 0.62@@64.81689265288878,-1.17 ± 0.75 / 23.35 ± 0.54@@-1.165450129756897,-0.30 ± 0.81 / 24.55 ± 0.90@@-0.30290771531829563,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/PleIAs/Pleias-350m-Preview'>PleIAs/Pleias-350m-Preview (few-shot)</a>,🧠,3.76@@3.76,353424384.0,65536.0,2048.0,✓,✗,14.11 ± 9.43 / 47.34 ± 6.34@@14.108851939034642,34.07 ± 3.25 / 32.71 ± 3.59@@34.07456038394495,-1.82 ± 1.14 / 38.02 ± 3.12@@-1.8230880567642427,23.31 ± 1.70 / 10.98 ± 1.57@@23.310815545918565,54.83 ± 1.52 / 11.23 ± 0.67@@54.83482793715666,-2.86 ± 1.11 / 22.51 ± 0.70@@-2.862164528882877,-1.12 ± 1.06 / 24.04 ± 0.62@@-1.117087444393677,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-135M'>HuggingFaceTB/SmolLM2-135M (few-shot)</a>,🧠,3.77@@3.77,134515008.0,49152.0,8192.0,✓,✗,15.51 ± 9.09 / 49.00 ± 8.37@@15.507266137871802,30.79 ± 3.88 / 30.79 ± 3.74@@30.78648546464312,-0.20 ± 1.10 / 35.86 ± 2.53@@-0.2017172559208929,14.39 ± 1.09 / 7.55 ± 0.97@@14.38592325739308,55.90 ± 1.95 / 12.13 ± 0.77@@55.89964983955724,-1.72 ± 1.06 / 23.28 ± 0.55@@-1.723794324292987,-0.69 ± 1.41 / 26.02 ± 0.86@@-0.6900640649900128,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/Qwen/Qwen1.5-0.5B'>Qwen/Qwen1.5-0.5B (few-shot)</a>,📝,3.82@@3.82,619570176.0,151936.0,32768.0,✓,✗,24.01 ± 3.63 / 45.05 ± 3.52@@24.011618864259056,20.01 ± 1.80 / 18.72 ± 2.17@@20.011811178270538,-0.35 ± 1.05 / 36.80 ± 2.85@@-0.3504287814460924,10.26 ± 0.35 / 0.00 ± 0.00@@10.256443581627728,60.42 ± 0.22 / 11.51 ± 0.17@@60.42365636443719,0.29 ± 1.01 / 23.83 ± 0.64@@0.2898864385327395,1.35 ± 0.68 / 25.88 ± 0.53@@1.345155038670411,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/PleIAs/Pleias-Pico'>PleIAs/Pleias-Pico (few-shot)</a>,🧠,3.88@@3.88,353424384.0,65536.0,2048.0,✓,✗,10.56 ± 8.59 / 46.89 ± 7.21@@10.563439075625816,28.21 ± 3.31 / 27.73 ± 3.27@@28.214063851378572,-0.06 ± 1.47 / 41.04 ± 3.81@@-0.058162901614069486,22.60 ± 1.34 / 9.06 ± 1.66@@22.59869925360749,52.04 ± 0.86 / 9.12 ± 0.32@@52.0366446438129,-1.82 ± 1.26 / 23.05 ± 0.71@@-1.815130748319668,0.66 ± 0.92 / 25.04 ± 0.58@@0.6586919225257133,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-135M-Instruct'>HuggingFaceTB/SmolLM2-135M-Instruct (few-shot)</a>,📝,3.90@@3.90,134515008.0,49152.0,8192.0,✓,✗,9.97 ± 3.91 / 46.31 ± 5.49@@9.965712822316572,25.57 ± 2.15 / 26.26 ± 2.28@@25.574017677444523,-0.06 ± 1.26 / 33.94 ± 0.98@@-0.06424785504692938,11.47 ± 0.71 / 2.57 ± 0.56@@11.467572371287284,56.33 ± 1.32 / 11.30 ± 0.37@@56.33073702920228,-1.37 ± 1.14 / 24.33 ± 0.98@@-1.3684899828156616,-1.67 ± 1.11 / 24.59 ± 0.94@@-1.6728660680653362,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/AI-Sweden-Models/gpt-sw3-126m-instruct'>AI-Sweden-Models/gpt-sw3-126m-instruct (few-shot)</a>,📝,4.07@@4.07,186112512.0,64000.0,2048.0,✓,✗,0.00 ± 0.00 / 34.41 ± 0.31@@0.0,19.48 ± 4.09 / 20.00 ± 4.03@@19.481546362769162,0.25 ± 1.10 / 33.67 ± 0.35@@0.25446733938054483,6.20 ± 0.53 / 0.01 ± 0.01@@6.201293363543941,52.58 ± 3.13 / 10.00 ± 0.75@@52.580778848641785,-0.10 ± 1.14 / 23.99 ± 0.62@@-0.09774938929817034,0.13 ± 0.67 / 24.85 ± 0.44@@0.13395582145261883,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/AI-Sweden-Models/gpt-sw3-356m'>AI-Sweden-Models/gpt-sw3-356m (few-shot)</a>,🧠,4.11@@4.11,470607872.0,64000.0,2048.0,✓,✗,0.39 ± 0.77 / 34.44 ± 0.30@@0.3932491114883971,19.59 ± 6.26 / 19.70 ± 6.36@@19.591343457869552,0.00 ± 0.00 / 33.36 ± 0.27@@0.0,10.20 ± 1.19 / 5.43 ± 0.93@@10.199457072655525,50.33 ± 2.84 / 10.04 ± 0.62@@50.334044527844526,0.24 ± 1.24 / 24.62 ± 0.71@@0.24080926724750437,-0.57 ± 0.82 / 25.24 ± 0.56@@-0.570849724310451,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/AI-Sweden-Models/gpt-sw3-356m-instruct'>AI-Sweden-Models/gpt-sw3-356m-instruct (few-shot)</a>,📝,4.12@@4.12,470607872.0,64000.0,2048.0,✓,✗,0.00 ± 0.00 / 34.41 ± 0.31@@0.0,16.89 ± 3.31 / 16.92 ± 3.37@@16.894741841385816,0.49 ± 0.93 / 39.75 ± 3.76@@0.48704227904432784,7.34 ± 0.57 / 0.00 ± 0.00@@7.337645110501931,50.07 ± 3.17 / 9.35 ± 0.79@@50.07425776857417,-0.32 ± 0.74 / 25.90 ± 0.68@@-0.32367254889230984,0.55 ± 0.70 / 24.46 ± 0.78@@0.5540974231324136,15.4.1@@150401,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402
<a href='https://huggingface.co/infly/OpenCoder-1.5B-Base'>infly/OpenCoder-1.5B-Base (few-shot)</a>,📝,4.16@@4.16,1905650960.0,96640.0,4096.0,✓,✗,-1.42 ± 0.78 / 37.30 ± 2.54@@-1.424955388728338,7.18 ± 5.15 / 7.44 ± 4.75@@7.181180490324583,0.66 ± 1.11 / 37.54 ± 4.14@@0.6579703684896019,13.99 ± 0.76 / 0.08 ± 0.07@@13.99352368717268,51.30 ± 1.13 / 8.38 ± 0.48@@51.29841247646254,-0.01 ± 1.12 / 24.70 ± 0.98@@-0.008893416997894782,0.67 ± 1.47 / 25.40 ± 1.09@@0.6676896938319564,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/AI-Sweden-Models/gpt-sw3-126m'>AI-Sweden-Models/gpt-sw3-126m (few-shot)</a>,🧠,4.26@@4.26,186112512.0,64000.0,2048.0,✓,✗,-0.03 ± 1.26 / 36.66 ± 3.24@@-0.026066328055747434,7.41 ± 6.94 / 8.25 ± 6.75@@7.411645139959651,0.00 ± 0.00 / 33.36 ± 0.27@@0.0,3.58 ± 0.58 / 0.99 ± 0.41@@3.5807835907779824,50.37 ± 3.07 / 9.91 ± 0.51@@50.371107478713384,0.11 ± 1.28 / 24.66 ± 0.89@@0.11204181368323948,-0.51 ± 0.62 / 25.35 ± 0.50@@-0.5088817095918722,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/alea-institute/kl3m-003-3.7b'>alea-institute/kl3m-003-3.7b (few-shot)</a>,🧠,4.48@@4.48,3691382784.0,32768.0,4096.0,✓,✗,-0.51 ± 1.26 / 37.10 ± 2.76@@-0.5069210383866359,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,-0.59 ± 0.59 / 36.21 ± 2.57@@-0.585455111783329,2.45 ± 1.07 / 0.01 ± 0.02@@2.4488380072356617,41.64 ± 1.24 / 7.81 ± 0.49@@41.635728297405876,1.27 ± 1.23 / 25.52 ± 1.07@@1.2688020089598784,-0.09 ± 1.23 / 24.72 ± 1.08@@-0.0872139688112445,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/openai-community/gpt2-large'>openai-community/gpt2-large (few-shot)</a>,🧠,5.03@@5.03,811778816.0,50257.0,1024.0,✓,✗,0.00 ± 0.00 / 34.41 ± 0.31@@0.0,3.40 ± 2.32 / 4.51 ± 3.11@@3.3971490916993856,-0.64 ± 1.01 / 34.50 ± 2.35@@-0.6371217562227217,1.89 ± 0.86 / 1.01 ± 0.61@@1.8904899154579617,4.92 ± 6.38 / 1.10 ± 1.48@@4.918220600884524,0.41 ± 0.81 / 24.12 ± 0.83@@0.41010826325095845,0.00 ± 0.00 / 25.41 ± 0.48@@0.0,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/openai-community/gpt2-medium'>openai-community/gpt2-medium (few-shot)</a>,🧠,5.03@@5.03,379988992.0,50257.0,1024.0,✓,✗,0.00 ± 0.00 / 34.41 ± 0.31@@0.0,5.90 ± 4.13 / 6.11 ± 4.14@@5.897661357408822,0.00 ± 0.00 / 33.36 ± 0.27@@0.0,1.37 ± 0.70 / 0.69 ± 0.51@@1.3738969053678274,4.93 ± 6.22 / 1.00 ± 1.21@@4.92778917963733,-0.38 ± 0.54 / 23.64 ± 0.53@@-0.38296022910018146,0.00 ± 0.00 / 25.41 ± 0.48@@0.0,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/openai-community/gpt2'>openai-community/gpt2 (few-shot)</a>,🧠,5.04@@5.04,137022720.0,50257.0,1024.0,✓,✗,0.00 ± 0.00 / 34.41 ± 0.31@@0.0,4.71 ± 3.21 / 4.58 ± 3.14@@4.708016324132219,-0.32 ± 1.98 / 38.23 ± 2.81@@-0.3185816644770161,0.99 ± 0.39 / 0.35 ± 0.22@@0.9927837397507899,4.95 ± 6.30 / 1.02 ± 1.24@@4.94815145037137,-0.20 ± 0.74 / 23.93 ± 0.73@@-0.1967527782248869,0.00 ± 0.00 / 25.41 ± 0.48@@0.0,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/setu4993/LaBSE'>setu4993/LaBSE</a>,🔍,-@@100,470927360.0,501153.0,512.0,✓,✗,83.85 ± 1.39 / 91.82 ± 0.76@@83.84720757995811,76.11 ± 1.04 / 75.23 ± 1.17@@76.11480374990478,23.77 ± 16.69 / 61.37 ± 8.23@@23.765115385882417,47.42 ± 2.16 / 27.54 ± 1.49@@47.41759504090483,-@@-1,0.87 ± 0.99 / 25.38 ± 0.76@@0.874103240998549,3.13 ± 1.16 / 27.37 ± 0.87@@3.13499000908698,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,-@@0,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/sentence-transformers/distilbert-multilingual-nli-stsb-quora-ranking'>sentence-transformers/distilbert-multilingual-nli-stsb-quora-ranking</a>,🔍,-@@100,134734080.0,119547.0,512.0,✓,✗,70.12 ± 0.96 / 85.00 ± 0.47@@70.12019272243123,63.19 ± 1.68 / 63.19 ± 1.70@@63.194054251621836,-0.57 ± 1.36 / 44.78 ± 3.00@@-0.5727075064965975,7.08 ± 0.52 / 1.76 ± 0.23@@7.082294313098122,-@@-1,-1.55 ± 1.08 / 23.63 ± 0.83@@-1.551707284337594,1.13 ± 1.03 / 25.93 ± 0.78@@1.1325466027010815,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,-@@0,15.2.0.dev0@@150200,15.2.0.dev0@@150200
<a href='https://huggingface.co/sentence-transformers/distiluse-base-multilingual-cased-v1'>sentence-transformers/distiluse-base-multilingual-cased-v1</a>,🔍,-@@100,134734080.0,119547.0,512.0,✓,✗,62.84 ± 0.83 / 81.28 ± 0.47@@62.83829209636493,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.52 ± 1.28 / 44.28 ± 1.80@@0.5194897722534864,4.37 ± 0.94 / 0.50 ± 0.17@@4.370320518484911,-@@-1,-2.16 ± 0.96 / 22.93 ± 0.62@@-2.156629648027848,1.38 ± 1.45 / 26.15 ± 1.02@@1.3763796186005526,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,-@@0,15.2.0.dev0@@150200,15.2.0.dev0@@150200
<a href='https://huggingface.co/sentence-transformers/distiluse-base-multilingual-cased-v2'>sentence-transformers/distiluse-base-multilingual-cased-v2</a>,🔍,-@@100,134734080.0,119547.0,512.0,✓,✗,63.24 ± 1.69 / 81.54 ± 0.83@@63.241307075669354,50.99 ± 1.28 / 50.60 ± 1.41@@50.992498052969395,0.09 ± 1.67 / 46.58 ± 1.41@@0.08856924806074278,4.84 ± 0.67 / 0.93 ± 0.16@@4.839591544126069,-@@-1,-@@-1,-@@-1,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,-@@0,-@@0,-@@0
<a href='https://huggingface.co/sentence-transformers/distiluse-base-multilingual-cased'>sentence-transformers/distiluse-base-multilingual-cased</a>,🔍,-@@100,134734080.0,119547.0,512.0,✓,✗,63.24 ± 1.69 / 81.54 ± 0.83@@63.241307075669354,51.01 ± 1.27 / 50.63 ± 1.43@@51.01457848268212,0.09 ± 1.67 / 46.58 ± 1.41@@0.08856924806074278,4.85 ± 0.71 / 0.92 ± 0.19@@4.849391182582728,-@@-1,-@@-1,-@@-1,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,-@@0,-@@0,-@@0
<a href='https://huggingface.co/sentence-transformers/stsb-xlm-r-multilingual'>sentence-transformers/stsb-xlm-r-multilingual</a>,🔍,-@@100,278044162.0,250002.0,512.0,✓,✗,75.41 ± 0.81 / 87.68 ± 0.41@@75.40519035909715,64.19 ± 1.73 / 64.01 ± 1.83@@64.18692167324375,1.83 ± 0.97 / 50.18 ± 0.95@@1.829527143273525,7.39 ± 0.42 / 1.73 ± 0.26@@7.392777388991843,-@@-1,0.08 ± 1.50 / 24.99 ± 1.16@@0.08196252356063585,1.59 ± 1.10 / 26.25 ± 0.83@@1.5940699269729421,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,-@@0,15.2.0.dev0@@150200,15.2.0.dev0@@150200
<a href='https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2'>sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2</a>,🔍,-@@100,117654272.0,250037.0,512.0,✓,✗,71.47 ± 1.50 / 85.68 ± 0.77@@71.46995202431192,55.17 ± 1.93 / 55.13 ± 1.98@@55.16786021833464,-0.08 ± 1.14 / 48.10 ± 1.15@@-0.08014348411226674,8.08 ± 0.24 / 1.40 ± 0.25@@8.083913370223616,-@@-1,-1.42 ± 0.98 / 23.75 ± 0.75@@-1.4187033797028532,1.98 ± 0.57 / 26.53 ± 0.42@@1.9841990228878286,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,-@@0,15.2.0.dev0@@150200,15.2.0.dev0@@150200
<a href='https://huggingface.co/sentence-transformers/paraphrase-xlm-r-multilingual-v1'>sentence-transformers/paraphrase-xlm-r-multilingual-v1</a>,🔍,-@@100,278044162.0,250002.0,512.0,✓,✗,77.01 ± 1.36 / 88.45 ± 0.68@@77.01297308262808,66.08 ± 1.43 / 65.96 ± 1.50@@66.08093056850943,1.27 ± 1.59 / 44.62 ± 3.28@@1.2693055066523633,6.02 ± 1.18 / 1.32 ± 0.29@@6.022021742493552,-@@-1,0.83 ± 1.28 / 25.50 ± 1.01@@0.8320835878164538,4.64 ± 1.52 / 28.52 ± 1.15@@4.641829368357634,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,-@@0,15.2.0.dev0@@150200,15.2.0.dev0@@150200
<a href='https://huggingface.co/sentence-transformers/quora-distilbert-multilingual'>sentence-transformers/quora-distilbert-multilingual</a>,🔍,-@@100,134734080.0,119547.0,512.0,✓,✗,70.12 ± 0.96 / 85.00 ± 0.47@@70.12019272243123,63.20 ± 1.66 / 63.20 ± 1.68@@63.20367828310055,-0.57 ± 1.36 / 44.78 ± 3.00@@-0.5727075064965975,7.17 ± 0.47 / 1.78 ± 0.21@@7.174966455328847,-@@-1,-1.78 ± 1.28 / 23.46 ± 0.98@@-1.7753768567444346,1.28 ± 0.76 / 26.05 ± 0.57@@1.2806085938552516,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,-@@0,15.2.0.dev0@@150200,15.2.0.dev0@@150200
fresh-electra-small,🔍,-@@100,13738755.0,32000.0,128.0,✓,✗,17.58 ± 13.25 / 48.75 ± 11.91@@17.582263863510427,16.34 ± 1.71 / 15.89 ± 1.72@@16.336348715074507,0.15 ± 0.29 / 34.35 ± 1.94@@0.1483672607611241,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,-@@-1,2.44 ± 1.00 / 27.01 ± 0.72@@2.4432469441397795,0.09 ± 0.78 / 25.09 ± 0.57@@0.08587262483914637,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,-@@0,15.2.0.dev0@@150200,15.2.0.dev0@@150200
<a href='https://huggingface.co/EuroBERT/EuroBERT-210m'>EuroBERT/EuroBERT-210m</a>,🔍,-@@100,212358146.0,128256.0,8192.0,✓,✗,74.88 ± 4.55 / 87.09 ± 2.48@@74.8828145787207,-@@-1,33.20 ± 3.97 / 66.18 ± 1.91@@33.200722341903536,-@@-1,-@@-1,-@@-1,-@@-1,15.2.0.dev0@@150200,-@@0,15.2.0.dev0@@150200,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/dbmdz/bert-tiny-historic-multilingual-cased'>dbmdz/bert-tiny-historic-multilingual-cased</a>,🔍,-@@100,4624642.0,32000.0,512.0,✓,✗,4.89 ± 6.63 / 41.70 ± 6.98@@4.890768876590691,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.15 ± 1.27 / 37.71 ± 3.52@@0.14792754817265308,6.70 ± 0.39 / 0.14 ± 0.07@@6.696086020448095,-@@-1,-1.32 ± 1.09 / 24.00 ± 0.78@@-1.3210637831574736,1.75 ± 0.71 / 26.34 ± 0.56@@1.7520969194243063,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,-@@0,15.2.0.dev0@@150200,15.2.0.dev0@@150200
<a href='https://huggingface.co/dbmdz/bert-base-historic-multilingual-cased'>dbmdz/bert-base-historic-multilingual-cased</a>,🔍,-@@100,111243522.0,32000.0,512.0,✓,✗,59.18 ± 12.34 / 77.74 ± 9.57@@59.18467778118342,70.31 ± 0.91 / 69.89 ± 0.82@@70.3086035929153,6.40 ± 5.47 / 50.99 ± 3.33@@6.402077731115565,30.47 ± 1.34 / 14.39 ± 1.07@@30.47294264181387,-@@-1,-0.20 ± 1.02 / 24.82 ± 0.78@@-0.1978514946085722,1.84 ± 1.23 / 26.37 ± 0.92@@1.8381329864692548,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,-@@0,15.2.0.dev0@@150200,15.2.0.dev0@@150200
<a href='https://huggingface.co/cardiffnlp/twitter-xlm-roberta-base'>cardiffnlp/twitter-xlm-roberta-base</a>,🔍,-@@100,278045186.0,250002.0,514.0,✓,✗,54.37 ± 17.69 / 73.56 ± 13.36@@54.37245333893376,66.19 ± 1.62 / 66.08 ± 1.52@@66.19245076862931,12.00 ± 7.44 / 49.77 ± 7.44@@12.001167474834004,8.11 ± 0.40 / 2.44 ± 0.37@@8.111597753889502,-@@-1,-0.02 ± 1.16 / 24.96 ± 0.87@@-0.017067024376819107,0.42 ± 0.53 / 25.39 ± 0.39@@0.4210874891916914,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,-@@0,15.2.0.dev0@@150200,15.2.0.dev0@@150200
<a href='https://huggingface.co/answerdotai/ModernBERT-large'>answerdotai/ModernBERT-large</a>,🔍,-@@100,395881664.0,50368.0,8192.0,✓,✗,37.18 ± 7.34 / 65.04 ± 5.69@@37.181098688390804,47.40 ± 4.00 / 47.87 ± 3.91@@47.40244336150131,12.40 ± 5.00 / 55.79 ± 2.42@@12.402464743295187,25.33 ± 2.80 / 10.05 ± 1.23@@25.326687502624477,-@@-1,-0.29 ± 0.86 / 24.75 ± 0.64@@-0.2864805193284204,1.59 ± 1.74 / 26.21 ± 1.28@@1.5893492659019162,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,-@@0,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/answerdotai/ModernBERT-base'>answerdotai/ModernBERT-base</a>,🔍,-@@100,149655232.0,50368.0,8192.0,✓,✗,36.88 ± 3.25 / 67.05 ± 2.67@@36.880740217270684,50.44 ± 2.48 / 51.14 ± 2.39@@50.44150359192696,3.58 ± 2.75 / 49.64 ± 1.95@@3.58433435038925,16.24 ± 3.95 / 5.92 ± 1.68@@16.24270514005468,-@@-1,-0.47 ± 0.84 / 24.62 ± 0.63@@-0.4682190139982197,1.20 ± 0.83 / 25.89 ± 0.62@@1.1978725640420802,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,-@@0,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/almanach/camembertv2-base'>almanach/camembertv2-base</a>,🔍,-@@100,111635713.0,32768.0,1024.0,✓,✗,90.12 ± 0.75 / 95.01 ± 0.41@@90.11560167899366,77.86 ± 1.21 / 77.54 ± 1.16@@77.85692757514,69.19 ± 2.41 / 83.74 ± 1.66@@69.18504084583714,45.09 ± 3.46 / 25.17 ± 2.62@@45.08822085793147,-@@-1,0.57 ± 1.27 / 24.96 ± 1.00@@0.5721265452636728,5.04 ± 1.89 / 28.86 ± 1.42@@5.041779188631449,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,-@@0,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/almanach/camembert-large'>almanach/camembert-large</a>,🔍,-@@100,336695557.0,32005.0,512.0,✓,✗,92.68 ± 0.73 / 96.33 ± 0.37@@92.6816946641476,75.15 ± 1.25 / 74.82 ± 1.50@@75.14984671094336,60.80 ± 14.71 / 79.83 ± 7.36@@60.801557514218786,70.51 ± 1.17 / 42.49 ± 1.57@@70.50878577309233,-@@-1,-@@-1,5.81 ± 5.82 / 29.37 ± 4.37@@5.810112037001567,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,-@@0,-@@0,14.4.0@@140400
<a href='https://huggingface.co/almanach/camembert-base'>almanach/camembert-base</a>,🔍,-@@100,111246085.0,32005.0,512.0,✓,✗,89.86 ± 0.53 / 94.92 ± 0.27@@89.85862005880661,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,30.76 ± 17.30 / 59.27 ± 11.30@@30.758581107899452,31.70 ± 2.56 / 12.04 ± 1.30@@31.695661322038696,-@@-1,-@@-1,1.88 ± 0.46 / 26.46 ± 0.37@@1.8792578549215864,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,-@@0,-@@0,14.4.0@@140400
