model,nlu_rank,nlg_rank,parameters,vocabulary_size,context,speed,commercial,merge,angry_tweets_primary,angry_tweets_secondary,dansk_primary,dansk_secondary,scala_da_primary,scala_da_secondary,scandiqa_da_primary,scandiqa_da_secondary,nordjylland_news_primary,nordjylland_news_secondary,danske_talemaader_primary,danske_talemaader_secondary,danish_citizen_tests_primary,danish_citizen_tests_secondary,hellaswag_da_primary,hellaswag_da_secondary,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version,nordjylland_news_version,danske_talemaader_version,danish_citizen_tests_version,hellaswag_da_version,speed_version
meta-llama/Llama-3.1-8B (few-shot),2.14,2.44,8030.0,128.0,131072,2363.74,True,False,49.71,64.0,47.68,32.67,25.48,58.45,65.79,60.31,64.74,17.82,57.6,67.81,65.98,77.34,28.65,45.11,12.11.0,12.11.0,12.11.0,12.11.0,13.0.0,13.0.0,13.0.0,13.0.0,14.0.1
"meta-llama/Llama-2-70b-chat-hf (few-shot, val)",2.15,2.14,68977.0,32.0,3841,1979.03,True,False,50.66,62.04,52.22,38.82,23.57,56.09,61.94,53.82,67.13,21.62,69.26,76.99,46.4,59.45,39.72,53.83,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0
"merge-crew/da-sv-task-arithmetic (few-shot, val)",2.15,2.32,7242.0,32.0,32768,2500.05,True,True,51.51,61.68,46.06,35.43,27.68,57.59,62.26,57.78,66.62,21.92,68.64,76.45,66.17,76.72,23.95,42.19,10.0.1,10.0.1,10.0.1,10.0.1,12.6.1,10.0.1,10.0.1,10.0.1,10.0.1
AI-Sweden-Models/bert-large-nordic-pile-1M-steps,2.15,999.0,369.0,64.0,512,6570.9,True,False,41.53,59.82,67.4,62.44,41.62,68.99,42.46,37.3,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
syvai/llama3-da-base (few-shot),2.15,2.53,8030.0,128.0,8190,3191.4,True,False,48.61,60.53,49.97,34.87,28.16,59.87,65.5,59.55,66.16,20.83,54.55,65.21,62.19,74.2,20.36,38.27,12.9.0,12.9.0,12.9.0,12.9.0,12.9.0,12.9.0,12.9.0,12.9.0,12.9.0
mistralai/Ministral-8B-Instruct-2410 (few-shot),2.15,1.96,8020.0,131.0,32768,929.75,True,False,49.67,65.83,52.49,38.85,22.8,55.25,64.46,57.07,66.75,21.86,59.57,69.19,65.34,76.95,53.97,64.76,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,14.0.1
ltg/norbert3-small,2.16,999.0,41.0,50.0,512,13515.41,True,False,39.34,58.37,67.89,64.13,50.9,74.15,39.58,34.82,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
"merge-crew/da-sv-slerp (few-shot, val)",2.17,2.34,7242.0,32.0,32768,2467.48,True,True,51.75,62.28,45.94,35.68,28.04,58.31,62.03,57.65,66.65,21.98,68.88,76.64,64.81,75.78,23.63,42.03,10.0.1,10.0.1,10.0.1,10.0.1,12.6.1,10.0.1,10.0.1,10.0.1,10.0.1
google/gemma-2-9b (few-shot),2.18,1.73,9242.0,256.0,8193,2037.53,True,False,38.84,45.52,44.16,25.93,43.42,69.4,66.24,60.11,67.46,24.1,81.68,86.22,77.77,85.06,50.04,61.09,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
upstage/SOLAR-10.7B-v1.0 (few-shot),2.18,1.71,10732.0,32.0,4096,3780.42,True,False,46.63,59.02,58.03,38.25,15.09,40.04,67.21,62.15,66.81,22.82,64.79,73.46,68.59,78.59,65.29,73.54,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3
"mlabonne/NeuralBeagle14-7B (few-shot, val)",2.19,2.05,7242.0,32.0,8192,2549.38,False,True,51.29,66.57,53.02,41.35,19.73,57.07,61.26,51.69,67.33,22.77,65.38,73.95,62.78,74.61,39.07,53.83,9.3.2,9.3.2,9.3.2,12.5.2,12.6.1,10.0.1,10.0.1,9.3.2,9.3.2
CohereForAI/aya-expanse-8b (few-shot),2.19,2.38,8028.0,256.0,8192,5581.05,False,False,52.0,66.25,51.32,25.54,18.48,52.18,62.08,52.43,66.18,21.1,41.32,55.43,52.24,68.01,37.67,53.26,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
"birgermoell/Rapid-Cycling (few-shot, val)",2.2,2.26,7242.0,32.0,32768,2345.88,False,True,51.25,62.67,49.99,38.37,20.66,49.98,62.4,56.82,65.58,17.82,67.48,75.62,63.69,75.31,32.11,48.55,9.3.2,9.3.2,9.3.2,12.5.2,12.6.1,10.0.1,10.0.1,9.3.2,9.3.2
cardiffnlp/twitter-xlm-roberta-base,2.21,999.0,278.0,250.0,512,34475.2,True,False,45.3,63.22,70.1,64.54,51.74,74.31,27.76,22.01,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0
"merge-crew/da-sv-dare-ties-density-0.9 (few-shot, val)",2.21,2.58,7242.0,32.0,32768,2442.55,True,True,53.73,67.51,45.61,35.04,17.08,52.62,61.18,56.67,66.14,20.98,60.58,69.8,57.89,70.0,16.45,35.47,10.0.1,10.0.1,10.0.1,10.0.1,12.6.1,10.0.1,10.0.1,10.0.1,10.0.1
facebook/xlm-v-base,2.21,999.0,778.0,902.0,512,25396.22,True,False,31.86,47.51,71.42,66.61,52.95,73.96,40.58,34.66,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0
timpal0l/sol (few-shot),2.23,1.72,10732.0,32.0,4096,3700.95,False,False,44.38,57.19,54.91,36.29,21.11,45.43,65.85,58.96,66.89,22.65,61.12,70.29,64.86,76.05,67.96,75.68,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0
utter-project/EuroLLM-9B-Instruct (few-shot),2.24,1.97,9152.0,128.0,4096,5762.51,False,False,53.97,68.4,34.0,25.49,32.21,56.97,63.73,57.1,67.55,23.77,80.75,85.31,74.77,83.14,36.86,51.61,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
Mabeck/Heidrun-Mistral-7B-chat (few-shot),2.24,2.21,7242.0,32.0,32768,5821.93,False,False,42.79,54.47,50.8,34.04,23.25,56.31,65.47,59.9,67.5,23.95,66.61,74.86,64.8,76.46,29.18,46.64,10.0.1,10.0.1,10.0.1,12.5.0,12.6.1,10.0.1,11.0.0,10.0.1,10.0.1
