model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,sentiment_headlines_es,conll_es,scala_es,mlqa_es,mlsum_es,mmlu_es,hellaswag_es,sentiment_headlines_es_version,conll_es_version,scala_es_version,mlqa_es_version,mlsum_es_version,mmlu_es_version,hellaswag_es_version
<a href='https://huggingface.co/ibm-granite/granite-3.0-1b-a400m-instruct'>ibm-granite/granite-3.0-1b-a400m-instruct (few-shot)</a>,📝,3.02@@3.02,1334628352.0,49155.0,4096.0,✓,✗,27.37 ± 2.84 / 44.60 ± 3.83@@27.369583557338096,38.66 ± 1.58 / 31.27 ± 1.16@@38.66390573830487,3.03 ± 1.35 / 46.08 ± 2.43@@3.027275974418258,46.39 ± 0.81 / 27.64 ± 0.58@@46.38604478019841,61.34 ± 0.19 / 13.64 ± 0.42@@61.34143816700088,1.11 ± 1.30 / 24.03 ± 0.98@@1.1129962276757233,0.61 ± 0.89 / 25.44 ± 0.66@@0.6144135586336149,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/microsoft/phi-2'>microsoft/phi-2 (few-shot)</a>,🧠,3.06@@3.06,2779683840.0,51200.0,2048.0,✓,✗,27.95 ± 2.47 / 48.13 ± 2.93@@27.945530767698322,44.05 ± 3.37 / 42.20 ± 3.27@@44.045675271982255,-0.22 ± 1.70 / 40.73 ± 3.12@@-0.21536966141527497,35.75 ± 12.34 / 21.59 ± 7.96@@35.745470464140176,58.21 ± 0.66 / 12.48 ± 0.55@@58.212170854385484,9.94 ± 1.48 / 29.74 ± 1.17@@9.940849358803524,4.43 ± 0.96 / 27.28 ± 0.77@@4.430318172228265,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-1.7B'>HuggingFaceTB/SmolLM2-1.7B (few-shot)</a>,🧠,3.08@@3.08,1711376384.0,49152.0,8192.0,✓,✗,25.68 ± 1.93 / 40.10 ± 2.54@@25.67582579175301,29.49 ± 5.46 / 29.22 ± 4.60@@29.485236054289665,1.83 ± 1.55 / 46.23 ± 3.83@@1.829943924435878,46.34 ± 3.04 / 27.94 ± 2.93@@46.337376011676945,60.48 ± 0.56 / 13.55 ± 1.21@@60.483670768589946,10.21 ± 0.64 / 31.00 ± 0.68@@10.211180775132604,5.17 ± 0.65 / 27.41 ± 0.60@@5.170114324118723,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
<a href='https://huggingface.co/google/gemma-2b'>google/gemma-2b (few-shot)</a>,🧠,3.10@@3.10,2506172416.0,256000.0,8192.0,✓,✗,32.19 ± 2.26 / 50.31 ± 3.12@@32.19185956366143,13.84 ± 5.42 / 12.96 ± 4.92@@13.836503082599705,1.71 ± 1.29 / 35.47 ± 1.33@@1.7075618038366873,53.45 ± 2.62 / 32.12 ± 3.22@@53.44723927058057,60.40 ± 0.44 / 14.91 ± 0.82@@60.39601293414307,6.77 ± 0.83 / 29.06 ± 0.45@@6.769767494509346,6.15 ± 0.34 / 28.96 ± 0.33@@6.153680824504441,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/meta-llama/Llama-3.2-1B'>meta-llama/Llama-3.2-1B (few-shot)</a>,🧠,3.11@@3.11,1235814400.0,128256.0,131072.0,✓,✗,29.87 ± 3.29 / 45.04 ± 5.11@@29.873183357422832,30.76 ± 5.63 / 29.90 ± 5.02@@30.761699172833858,0.88 ± 0.85 / 36.25 ± 3.71@@0.8756156573883928,47.08 ± 4.66 / 26.49 ± 4.71@@47.08230578259311,57.15 ± 1.07 / 11.07 ± 1.56@@57.15274737427535,3.32 ± 0.54 / 26.02 ± 0.71@@3.321616672148437,1.55 ± 1.11 / 25.84 ± 0.78@@1.5507252799734421,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/google/gemma-3-1b-pt'>google/gemma-3-1b-pt (few-shot)</a>,🧠,3.12@@3.12,999885952.0,262144.0,32768.0,✓,✗,32.73 ± 2.30 / 51.21 ± 2.55@@32.73085483659809,38.76 ± 5.11 / 36.88 ± 5.07@@38.75648219174088,-0.77 ± 1.67 / 44.32 ± 3.10@@-0.771605146706809,46.07 ± 2.79 / 25.45 ± 3.07@@46.0711016713773,55.35 ± 1.95 / 10.84 ± 1.04@@55.34922561622807,0.10 ± 1.19 / 22.09 ± 0.56@@0.1010127372964356,0.96 ± 0.99 / 25.39 ± 0.61@@0.9624943553918073,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/utter-project/EuroLLM-1.7B'>utter-project/EuroLLM-1.7B (few-shot)</a>,🧠,3.13@@3.13,,128000.0,4096.0,✓,✗,25.26 ± 2.26 / 42.62 ± 3.30@@25.264893800983103,36.71 ± 1.85 / 37.96 ± 2.18@@36.70687414371459,1.14 ± 0.89 / 42.97 ± 4.70@@1.1369693486412837,51.26 ± 1.92 / 30.64 ± 1.94@@51.25952962173428,59.00 ± 1.03 / 13.50 ± 1.16@@58.99899371070205,-0.99 ± 0.79 / 21.98 ± 0.42@@-0.9897141661836705,-0.87 ± 0.98 / 24.33 ± 0.72@@-0.8718397907242412,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-1.7B-Instruct'>HuggingFaceTB/SmolLM2-1.7B-Instruct (few-shot)</a>,📝,3.14@@3.14,1711376384.0,49152.0,8192.0,✓,✗,21.49 ± 2.04 / 34.92 ± 3.23@@21.489334984225472,32.98 ± 6.56 / 31.62 ± 3.42@@32.9801202177498,2.54 ± 0.72 / 38.36 ± 2.29@@2.5420362438942607,50.44 ± 1.41 / 25.98 ± 2.54@@50.43644042865107,61.10 ± 0.27 / 12.42 ± 0.53@@61.100046231440494,4.91 ± 1.11 / 27.89 ± 0.94@@4.906378359561148,0.18 ± 0.89 / 25.26 ± 0.72@@0.17805395434553908,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/ibm-granite/granite-3.0-1b-a400m-base'>ibm-granite/granite-3.0-1b-a400m-base (few-shot)</a>,🧠,3.15@@3.15,1384956928.0,49152.0,4096.0,✓,✗,29.80 ± 1.94 / 40.61 ± 1.10@@29.801096654042436,25.65 ± 6.65 / 26.46 ± 5.90@@25.649864960598933,1.94 ± 1.06 / 38.21 ± 3.44@@1.9359897959531085,50.48 ± 1.84 / 32.20 ± 1.24@@50.476053790786764,59.33 ± 0.58 / 13.69 ± 0.87@@59.33216800905938,-0.44 ± 0.88 / 24.68 ± 0.68@@-0.4371071592565251,0.45 ± 0.81 / 25.39 ± 0.66@@0.4488283113823437,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/google/gemma-2b-it'>google/gemma-2b-it (few-shot)</a>,📝,3.19@@3.19,2506172416.0,256000.0,8192.0,✗,✗,24.46 ± 1.57 / 36.90 ± 1.39@@24.46368046957518,31.69 ± 2.18 / 29.28 ± 2.02@@31.686688354031133,0.01 ± 1.07 / 40.34 ± 2.27@@0.012643168499295804,41.76 ± 2.22 / 19.34 ± 2.41@@41.76440713111737,59.44 ± 0.82 / 12.37 ± 0.99@@59.44439338185475,4.22 ± 0.94 / 26.22 ± 1.21@@4.217537609581647,2.69 ± 0.95 / 26.76 ± 0.63@@2.688752488441099,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/google/gemma-7b-it'>google/gemma-7b-it (few-shot)</a>,📝,3.26@@3.26,8537680896.0,256000.0,8192.0,✗,✗,24.61 ± 4.61 / 37.35 ± 6.49@@24.60779657112942,39.38 ± 2.84 / 38.20 ± 2.49@@39.3809894947477,2.10 ± 1.97 / 38.15 ± 4.22@@2.1008392239793197,17.57 ± 1.70 / 1.30 ± 0.45@@17.566649067874803,59.77 ± 0.45 / 11.21 ± 0.48@@59.772775432647904,10.79 ± 1.39 / 29.45 ± 1.80@@10.786889640955717,2.35 ± 1.57 / 25.88 ± 0.72@@2.345361710367012,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/utter-project/EuroLLM-1.7B-Instruct'>utter-project/EuroLLM-1.7B-Instruct (few-shot)</a>,📝,3.33@@3.33,1656850432.0,128000.0,4096.0,✓,✗,0.00 ± 0.00 / 15.63 ± 0.30@@0.0,35.24 ± 3.28 / 35.51 ± 2.74@@35.241778690141054,0.08 ± 1.45 / 38.20 ± 3.28@@0.08345051711738487,51.11 ± 1.81 / 28.58 ± 2.77@@51.10941001109031,61.35 ± 0.48 / 15.23 ± 1.08@@61.351428083580686,0.44 ± 1.26 / 24.95 ± 0.90@@0.44256318265797173,1.26 ± 1.17 / 25.52 ± 0.98@@1.2640413797629164,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/PleIAs/Pleias-1.2b-Preview'>PleIAs/Pleias-1.2b-Preview (few-shot)</a>,🧠,3.36@@3.36,1195468800.0,65536.0,2048.0,✓,✗,17.93 ± 7.62 / 28.25 ± 7.48@@17.927066949310806,37.38 ± 3.81 / 36.64 ± 3.51@@37.37862830746194,0.33 ± 1.32 / 34.97 ± 2.79@@0.33101650970843477,44.02 ± 2.52 / 24.01 ± 1.74@@44.015725319173875,43.32 ± 9.95 / 7.33 ± 2.42@@43.324917559803,-0.03 ± 0.87 / 24.39 ± 0.73@@-0.02812719442209791,1.48 ± 1.15 / 26.16 ± 0.91@@1.4765882220562605,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.8.0@@150800
<a href='https://huggingface.co/Qwen/Qwen1.5-0.5B-Chat'>Qwen/Qwen1.5-0.5B-Chat (few-shot)</a>,📝,3.42@@3.42,619570176.0,151936.0,32768.0,✗,✗,0.00 ± 0.00 / 15.63 ± 0.30@@0.0,36.84 ± 2.78 / 35.20 ± 2.81@@36.836034588109136,0.00 ± 0.00 / 33.36 ± 0.27@@0.0,44.87 ± 1.15 / 25.43 ± 1.78@@44.87152473277065,59.21 ± 0.31 / 10.98 ± 0.40@@59.21029720833758,-0.26 ± 0.87 / 25.79 ± 0.69@@-0.2614133600741663,-0.29 ± 0.72 / 25.66 ± 0.34@@-0.2882207326840552,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-360M'>HuggingFaceTB/SmolLM2-360M (few-shot)</a>,🧠,3.44@@3.44,361821120.0,49152.0,8192.0,✓,✗,8.48 ± 4.14 / 24.97 ± 3.67@@8.479113420902845,33.13 ± 2.81 / 33.76 ± 3.04@@33.1257247393274,0.72 ± 1.35 / 33.77 ± 0.40@@0.7223053188893453,33.28 ± 2.64 / 19.73 ± 1.82@@33.280005945027284,56.81 ± 1.18 / 12.23 ± 0.54@@56.80576682287211,0.52 ± 1.26 / 22.44 ± 0.58@@0.5211775561854198,-1.00 ± 1.39 / 24.49 ± 0.72@@-1.0037287311021215,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
<a href='https://huggingface.co/timpal0l/Mistral-7B-v0.1-flashback-v2'>timpal0l/Mistral-7B-v0.1-flashback-v2 (few-shot)</a>,📝,3.45@@3.45,7241732096.0,32000.0,32768.0,✓,✗,9.77 ± 5.36 / 26.28 ± 4.45@@9.767996995406678,48.21 ± 2.38 / 41.15 ± 2.37@@48.211914078131315,1.23 ± 0.99 / 43.82 ± 3.07@@1.2268094679897894,22.48 ± 1.82 / 0.05 ± 0.03@@22.477830128122317,48.90 ± 5.64 / 7.21 ± 2.04@@48.898003650756436,1.40 ± 1.03 / 26.24 ± 0.74@@1.3980193589647527,-0.39 ± 0.80 / 25.32 ± 0.66@@-0.3893456864579202,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.7.1.dev0@@150701,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
<a href='https://huggingface.co/Qwen/Qwen2.5-Math-1.5B'>Qwen/Qwen2.5-Math-1.5B (few-shot)</a>,📝,3.47@@3.47,1543714304.0,151936.0,4096.0,✓,✗,18.35 ± 2.76 / 33.53 ± 3.16@@18.354398390263192,36.50 ± 3.11 / 34.83 ± 3.16@@36.503553677901806,0.48 ± 0.63 / 33.64 ± 0.61@@0.4813140174716129,14.29 ± 1.01 / 0.01 ± 0.02@@14.28979298781949,52.10 ± 2.00 / 8.00 ± 1.04@@52.09574492851971,11.94 ± 0.77 / 32.50 ± 0.54@@11.943780343187028,1.99 ± 0.93 / 26.48 ± 0.60@@1.9933016772300631,15.6.1@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/DiscoResearch/DiscoLM-70b'>DiscoResearch/DiscoLM-70b (few-shot)</a>,🧠,3.49@@3.49,68977172480.0,32032.0,8192.0,✗,✗,8.86 ± 4.00 / 25.35 ± 4.55@@8.857516998659788,65.78 ± 1.42 / 58.72 ± 1.26@@65.78079033244296,0.00 ± 0.00 / 33.30 ± 0.27@@0.0,4.91 ± 2.98 / 0.03 ± 0.03@@4.90722144335291,48.46 ± 0.47 / 0.55 ± 0.04@@48.45555498235626,2.54 ± 1.01 / 25.99 ± 0.79@@2.5434094490920303,2.16 ± 1.42 / 25.86 ± 0.70@@2.1649905110240337,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-360M-Instruct'>HuggingFaceTB/SmolLM2-360M-Instruct (few-shot)</a>,📝,3.56@@3.56,361821120.0,49152.0,8192.0,✓,✗,3.87 ± 3.31 / 24.12 ± 4.16@@3.8670937630623694,23.52 ± 5.56 / 23.21 ± 5.15@@23.52452353519266,2.12 ± 1.56 / 42.74 ± 4.88@@2.1237436213000804,28.48 ± 2.93 / 13.71 ± 2.54@@28.475058314598677,57.28 ± 0.45 / 10.56 ± 0.19@@57.282192705897614,0.44 ± 1.21 / 25.89 ± 0.94@@0.4370385550823658,-0.49 ± 1.12 / 24.05 ± 0.71@@-0.4924316646646065,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
<a href='https://huggingface.co/Qwen/Qwen1.5-0.5B'>Qwen/Qwen1.5-0.5B (few-shot)</a>,📝,3.57@@3.57,619570176.0,151936.0,32768.0,✓,✗,10.14 ± 2.59 / 24.48 ± 4.26@@10.142472453109013,30.50 ± 3.13 / 28.43 ± 2.71@@30.498377338252403,1.58 ± 1.62 / 41.49 ± 4.03@@1.584219324740415,13.93 ± 0.96 / 0.01 ± 0.02@@13.933347525650031,56.37 ± 0.23 / 9.10 ± 0.17@@56.367778970452484,0.36 ± 0.61 / 22.11 ± 0.51@@0.36284205097304884,0.85 ± 1.37 / 25.11 ± 0.80@@0.847759824742281,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/croissantllm/CroissantLLMBase'>croissantllm/CroissantLLMBase (few-shot)</a>,🧠,3.62@@3.62,,32000.0,2048.0,✓,✗,2.26 ± 3.68 / 17.42 ± 3.84@@2.259233248175279,28.80 ± 4.86 / 28.26 ± 5.11@@28.796276154365618,0.08 ± 1.64 / 35.91 ± 2.68@@0.0814407256497416,25.78 ± 2.33 / 0.06 ± 0.08@@25.782318060619957,52.53 ± 0.95 / 9.57 ± 0.38@@52.52629820279253,-0.23 ± 1.01 / 23.20 ± 0.99@@-0.23272247451001238,-0.41 ± 0.91 / 24.30 ± 0.60@@-0.40700723907972386,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-135M'>HuggingFaceTB/SmolLM2-135M (few-shot)</a>,🧠,3.68@@3.68,134515008.0,49152.0,8192.0,✓,✗,4.50 ± 1.30 / 24.80 ± 2.94@@4.500190480866184,32.27 ± 2.81 / 31.23 ± 2.83@@32.27420353291024,-0.83 ± 0.71 / 33.65 ± 0.46@@-0.8311361507718459,14.70 ± 1.77 / 6.96 ± 1.54@@14.70179829525839,54.76 ± 1.68 / 10.37 ± 0.70@@54.75950142186775,-1.23 ± 1.05 / 23.04 ± 0.49@@-1.2330568712370034,-0.26 ± 1.07 / 25.17 ± 0.71@@-0.26315124594788636,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/croissantllm/CroissantLLMChat-v0.1'>croissantllm/CroissantLLMChat-v0.1 (few-shot)</a>,📝,3.70@@3.70,1345431552.0,32002.0,2048.0,✗,✗,1.02 ± 1.04 / 19.83 ± 1.07@@1.018450642951392,20.90 ± 3.73 / 21.04 ± 3.30@@20.901681380624655,0.00 ± 0.00 / 33.36 ± 0.27@@0.0,17.67 ± 1.39 / 1.89 ± 0.78@@17.67426080249188,57.95 ± 0.22 / 9.84 ± 0.27@@57.9524121445138,-0.33 ± 0.91 / 22.60 ± 0.92@@-0.32914802968158685,0.41 ± 1.27 / 25.13 ± 0.76@@0.4144763635385785,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/PleIAs/Pleias-350m-Preview'>PleIAs/Pleias-350m-Preview (few-shot)</a>,🧠,3.71@@3.71,353424384.0,65536.0,2048.0,✓,✗,2.94 ± 3.60 / 25.39 ± 3.53@@2.9383574975699314,40.23 ± 3.10 / 39.46 ± 2.99@@40.22803754070098,0.28 ± 1.90 / 37.40 ± 3.73@@0.2764247356216916,24.61 ± 1.59 / 10.24 ± 1.58@@24.606796460912594,37.18 ± 7.94 / 6.83 ± 1.45@@37.18188974657096,-0.46 ± 1.00 / 23.04 ± 0.66@@-0.4572257830031527,-1.59 ± 0.95 / 24.06 ± 0.95@@-1.5932839834462358,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/PleIAs/Pleias-Pico'>PleIAs/Pleias-Pico (few-shot)</a>,🧠,3.78@@3.78,353424384.0,65536.0,2048.0,✓,✗,3.87 ± 2.96 / 24.63 ± 3.34@@3.8744771397353848,32.21 ± 4.95 / 32.70 ± 4.23@@32.21054882529557,0.10 ± 1.98 / 37.86 ± 3.49@@0.09540664906127094,21.46 ± 1.55 / 5.87 ± 2.01@@21.462640064774092,37.41 ± 8.20 / 6.33 ± 1.66@@37.41405817127088,-0.32 ± 0.84 / 22.82 ± 0.58@@-0.3153434873910448,-0.73 ± 1.07 / 24.74 ± 0.93@@-0.7298348737381194,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-135M-Instruct'>HuggingFaceTB/SmolLM2-135M-Instruct (few-shot)</a>,📝,3.78@@3.78,134515008.0,49152.0,8192.0,✓,✗,0.44 ± 1.12 / 19.90 ± 1.56@@0.43661945307324573,21.31 ± 4.02 / 21.69 ± 3.77@@21.311317917779572,0.22 ± 0.43 / 34.51 ± 2.35@@0.21820693906359567,13.02 ± 1.60 / 3.28 ± 1.40@@13.015833153966886,54.57 ± 0.96 / 8.69 ± 0.95@@54.56688537233276,-1.42 ± 0.92 / 24.62 ± 0.54@@-1.4155264985258902,-1.57 ± 1.01 / 24.42 ± 0.79@@-1.5686961317680457,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/AI-Sweden-Models/gpt-sw3-356m'>AI-Sweden-Models/gpt-sw3-356m (few-shot)</a>,🧠,4.16@@4.16,470607872.0,64000.0,2048.0,✓,✗,6.01 ± 2.62 / 24.43 ± 2.96@@6.010234816300343,30.94 ± 4.32 / 30.32 ± 3.68@@30.93876394068678,0.00 ± 0.00 / 33.36 ± 0.27@@0.0,9.00 ± 1.42 / 4.30 ± 1.29@@9.004601449373979,18.87 ± 7.66 / 3.46 ± 1.46@@18.865321496050456,0.75 ± 1.22 / 23.39 ± 1.16@@0.753640233996789,0.26 ± 0.51 / 25.19 ± 0.55@@0.25834304413211767,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/alea-institute/kl3m-003-3.7b'>alea-institute/kl3m-003-3.7b (few-shot)</a>,🧠,4.17@@4.17,3691382784.0,32768.0,4096.0,✓,✗,-0.73 ± 2.17 / 21.88 ± 1.78@@-0.7344190683525722,0.41 ± 0.41 / 0.36 ± 0.34@@0.4100712960855466,0.34 ± 1.42 / 37.11 ± 3.21@@0.34090231801811355,4.22 ± 1.71 / 0.04 ± 0.03@@4.219769619230187,42.68 ± 0.81 / 7.56 ± 0.33@@42.67515783387353,-0.40 ± 1.12 / 24.16 ± 0.81@@-0.40381547381197463,1.50 ± 0.86 / 25.64 ± 0.52@@1.4955559841255948,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/AI-Sweden-Models/gpt-sw3-356m-instruct'>AI-Sweden-Models/gpt-sw3-356m-instruct (few-shot)</a>,📝,4.33@@4.33,470607872.0,64000.0,2048.0,✓,✗,2.48 ± 2.61 / 24.24 ± 2.70@@2.4791775695592215,15.84 ± 6.55 / 15.82 ± 6.74@@15.84190296435351,-0.84 ± 0.85 / 33.35 ± 0.27@@-0.8421911867887188,9.49 ± 0.80 / 0.00 ± 0.00@@9.487117996503633,18.79 ± 7.83 / 3.80 ± 1.55@@18.786540098371916,0.81 ± 0.78 / 24.81 ± 1.22@@0.8084129832338033,-0.12 ± 0.92 / 25.11 ± 0.68@@-0.11989177228060491,15.4.1@@150401,15.6.1.dev0@@150601,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402
<a href='https://huggingface.co/AI-Sweden-Models/gpt-sw3-126m-instruct'>AI-Sweden-Models/gpt-sw3-126m-instruct (few-shot)</a>,📝,4.36@@4.36,186112512.0,64000.0,2048.0,✓,✗,0.35 ± 2.27 / 22.00 ± 3.17@@0.3507661710506149,13.68 ± 5.02 / 13.92 ± 5.12@@13.684056830018879,-0.05 ± 0.46 / 33.54 ± 0.44@@-0.04668932329657281,6.30 ± 0.71 / 0.00 ± 0.00@@6.304846451256942,18.78 ± 7.63 / 3.47 ± 1.36@@18.777395397046348,0.07 ± 1.72 / 24.61 ± 0.76@@0.0736188069588922,0.22 ± 0.44 / 25.36 ± 0.38@@0.22289492129846794,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/AI-Sweden-Models/gpt-sw3-126m'>AI-Sweden-Models/gpt-sw3-126m (few-shot)</a>,🧠,4.42@@4.42,186112512.0,64000.0,2048.0,✓,✗,3.07 ± 1.57 / 22.86 ± 3.67@@3.0682305689268485,7.67 ± 3.94 / 8.47 ± 3.46@@7.670276092129144,0.41 ± 2.05 / 41.63 ± 4.30@@0.4109727894700019,2.97 ± 1.18 / 1.04 ± 0.69@@2.970382447257644,18.87 ± 7.64 / 3.25 ± 1.40@@18.867459590401268,0.00 ± 0.57 / 24.18 ± 0.88@@0.0026048627670412867,0.08 ± 0.37 / 25.21 ± 0.55@@0.07771365923781484,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/openai-community/gpt2-medium'>openai-community/gpt2-medium (few-shot)</a>,🧠,4.63@@4.63,379988992.0,50257.0,1024.0,✓,✗,1.86 ± 3.13 / 17.32 ± 2.33@@1.8612421423232721,2.88 ± 3.93 / 2.75 ± 3.74@@2.884709619194675,0.73 ± 1.59 / 37.25 ± 3.67@@0.7296759978770532,4.79 ± 0.99 / 1.63 ± 0.82@@4.786223116036354,1.19 ± 0.86 / 0.17 ± 0.13@@1.185726204130333,0.60 ± 1.28 / 23.18 ± 1.61@@0.5965626147053437,0.00 ± 0.00 / 25.18 ± 0.55@@0.0,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/openai-community/gpt2-large'>openai-community/gpt2-large (few-shot)</a>,🧠,4.67@@4.67,811778816.0,50257.0,1024.0,✓,✗,1.36 ± 3.49 / 20.76 ± 3.11@@1.3559506039403268,2.04 ± 2.80 / 2.69 ± 3.62@@2.0369675011401327,-0.08 ± 0.85 / 34.32 ± 1.75@@-0.08178613198577697,5.20 ± 1.13 / 1.57 ± 0.95@@5.199694311676343,1.18 ± 0.86 / 0.17 ± 0.12@@1.177654616185464,0.34 ± 0.91 / 22.87 ± 1.40@@0.33793372602457583,0.00 ± 0.00 / 25.18 ± 0.55@@0.0,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
