model,rank,parameters,vocabulary_size,context,speed,generative_type,commercial,merge,norec,norne_nb,norne_nn,scala_nb,scala_nn,norquad,no_sammendrag,nrk_quiz_qa,nor_common_sense_qa,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version,no_sammendrag_version,nrk_quiz_qa_version,nor_common_sense_qa_version
google/gemma-7b-it (few-shot),3.84,8537680896.0,256000.0,8192,2246.98,📝,✗,✗,6.69 ± 4.92 / 14.35 ± 5.69@@6.691163003835351,49.25 ± 3.16 / 46.33 ± 2.28@@49.25475157234776,43.51 ± 1.89 / 40.63 ± 1.88@@43.50674185404328,8.93 ± 1.34 / 52.49 ± 1.77@@8.931769663975542,7.19 ± 1.14 / 51.46 ± 1.53@@7.185037137219136,24.54 ± 0.72 / 1.35 ± 0.40@@24.542382675084582,58.71 ± 0.64 / 8.31 ± 0.73@@58.709829784493195,7.71 ± 1.54 / 29.74 ± 2.15@@7.712684475975504,6.35 ± 2.19 / 22.19 ± 1.60@@6.349311137801175,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0.dev0@@150000,15.0.0.dev0@@150000,15.0.0.dev0@@150000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
AI-Sweden-Models/gpt-sw3-356m (few-shot),3.87,470607872.0,64000.0,2048,5757.63,🧠,✓,✗,34.21 ± 1.63 / 47.17 ± 2.76@@34.21085799923239,27.37 ± 4.07 / 27.94 ± 4.04@@27.370428299885436,31.22 ± 3.87 / 31.39 ± 3.99@@31.21695846005611,0.92 ± 1.55 / 40.71 ± 2.58@@0.9202008865692991,1.25 ± 2.30 / 43.49 ± 3.20@@1.2474475870566235,32.10 ± 4.23 / 18.52 ± 2.78@@32.100792549583346,54.28 ± 2.37 / 8.28 ± 0.99@@54.277943646447966,0.25 ± 1.24 / 25.49 ± 1.13@@0.2513504939227451,-0.78 ± 1.21 / 19.34 ± 0.88@@-0.7819557208834559,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,9.3.2@@90302,9.3.2@@90302,12.5.1@@120501,11.0.0@@110000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
meta-llama/Llama-3.2-1B (few-shot),3.88,1235814400.0,128256.0,131073,7577.45,🧠,✓,✗,29.50 ± 4.18 / 49.19 ± 4.59@@29.496413874340917,30.54 ± 3.75 / 29.88 ± 3.25@@30.53672641778903,31.34 ± 4.72 / 30.46 ± 4.56@@31.341953032763193,-0.13 ± 1.28 / 37.46 ± 3.25@@-0.12856424256844726,0.02 ± 1.75 / 39.49 ± 4.41@@0.02072808683648463,34.02 ± 8.33 / 19.59 ± 5.61@@34.01855009164429,53.31 ± 0.98 / 7.37 ± 0.54@@53.31185534472752,1.94 ± 1.35 / 28.31 ± 1.69@@1.9432094236306454,1.62 ± 1.55 / 20.43 ± 0.77@@1.6218898509399609,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
Qwen/Qwen1.5-1.8B-Chat (few-shot),3.89,1836828672.0,151936.0,32768,8303.55,📝,✗,✗,19.85 ± 1.97 / 35.75 ± 1.74@@19.84819385458203,26.99 ± 3.92 / 24.61 ± 2.74@@26.98840329713998,25.74 ± 3.76 / 24.51 ± 2.96@@25.73876173165745,1.96 ± 1.33 / 44.22 ± 2.93@@1.9603015751247732,-0.01 ± 1.39 / 39.57 ± 2.97@@-0.007853320373272486,31.16 ± 3.40 / 16.33 ± 2.17@@31.159401078311838,55.08 ± 0.83 / 8.11 ± 0.35@@55.08172248504707,9.28 ± 0.94 / 32.50 ± 0.87@@9.283337205454224,15.29 ± 1.10 / 31.66 ± 0.82@@15.288488640008172,11.0.0@@110000,12.5.2@@120502,12.5.2@@120502,12.1.0@@120100,12.1.0@@120100,12.5.0@@120500,12.5.0@@120500,15.2.0.dev0@@150200,15.2.0.dev0@@150200
HuggingFaceTB/SmolLM2-1.7B (few-shot),3.92,1711376384.0,49152.0,8192,7584.61,🧠,✓,✗,18.18 ± 2.67 / 22.99 ± 2.95@@18.182069032456482,25.38 ± 4.01 / 22.62 ± 2.70@@25.382358367079245,26.75 ± 2.62 / 25.82 ± 2.19@@26.74724081485146,0.24 ± 1.32 / 34.05 ± 0.87@@0.24380620590516003,-0.85 ± 1.10 / 33.12 ± 0.34@@-0.854381262738296,25.84 ± 3.61 / 14.25 ± 1.51@@25.84256219422399,56.71 ± 1.53 / 9.74 ± 1.00@@56.71478680225845,8.73 ± 1.81 / 29.29 ± 1.20@@8.734695049410725,5.61 ± 1.08 / 21.65 ± 0.74@@5.6070624339047015,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.2.0.dev0@@150200,15.2.0.dev0@@150200
timpal0l/Mistral-7B-v0.1-flashback-v2 (few-shot),3.96,7241732096.0,32000.0,4096,1408.79,📝,✓,✗,26.69 ± 1.66 / 35.07 ± 0.59@@26.6926602141209,33.43 ± 2.40 / 26.66 ± 1.27@@33.427643470997054,38.42 ± 2.33 / 28.05 ± 2.45@@38.42479323539044,-0.15 ± 1.47 / 34.38 ± 1.57@@-0.14620692468498778,0.33 ± 0.96 / 35.58 ± 2.43@@0.33413951278545584,31.57 ± 3.56 / 0.70 ± 1.16@@31.567992663842848,49.93 ± 4.70 / 7.45 ± 1.56@@49.93234466506692,2.17 ± 1.65 / 28.91 ± 2.52@@2.171121573877029,1.33 ± 2.00 / 20.43 ± 1.56@@1.331517031504525,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.2.0.dev0@@150200,15.2.0.dev0@@150200
ibm-granite/granite-3.0-1b-a400m-instruct (few-shot),3.97,1334628352.0,49155.0,4096,7964.03,📝,✓,✗,19.55 ± 3.00 / 40.67 ± 3.28@@19.546372009121924,36.99 ± 2.08 / 28.69 ± 2.20@@36.99402232381866,37.27 ± 1.09 / 27.84 ± 2.23@@37.26577632091596,1.95 ± 1.15 / 43.75 ± 3.47@@1.9509070663692798,2.31 ± 0.84 / 46.79 ± 2.89@@2.309696216931424,19.74 ± 2.82 / 7.33 ± 1.88@@19.735469254055346,56.69 ± 1.19 / 9.12 ± 0.79@@56.68900903772738,1.81 ± 1.04 / 26.16 ± 0.75@@1.8065109978719933,0.48 ± 1.24 / 20.66 ± 0.88@@0.477699933536851,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,15.2.0.dev0@@150200,15.2.0.dev0@@150200
mhenrichsen/danskgpt-tiny (few-shot),3.99,1100048384.0,32000.0,2048,8596.74,🧠,✓,✗,18.09 ± 6.14 / 31.83 ± 6.77@@18.094101717573547,27.37 ± 6.89 / 27.19 ± 7.19@@27.36825067812681,27.59 ± 6.34 / 28.03 ± 6.94@@27.591443168459833,-0.19 ± 1.93 / 41.38 ± 3.18@@-0.18550823350319678,-0.80 ± 0.89 / 40.66 ± 3.78@@-0.7969878868014189,16.14 ± 2.48 / 5.84 ± 1.36@@16.140986653552602,56.77 ± 2.04 / 9.18 ± 1.21@@56.77364966686582,6.92 ± 2.15 / 26.33 ± 0.75@@6.920902074895214,-0.38 ± 1.87 / 19.47 ± 0.96@@-0.3785422987727447,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,12.5.1@@120501,11.0.0@@110000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
Qwen/Qwen1.5-1.8B (few-shot),4.0,1836828672.0,151936.0,32768,5665.51,📝,✓,✗,22.82 ± 3.11 / 43.88 ± 3.10@@22.820030652553196,12.10 ± 5.58 / 12.85 ± 4.80@@12.09866383728572,13.42 ± 6.02 / 13.82 ± 5.16@@13.41942821487303,2.70 ± 2.16 / 47.68 ± 3.18@@2.6960336583763946,2.21 ± 1.46 / 42.80 ± 4.36@@2.2115158522464102,30.78 ± 3.64 / 16.31 ± 2.22@@30.77824960458962,54.48 ± 1.91 / 8.22 ± 0.70@@54.47580132007715,6.53 ± 2.09 / 27.63 ± 1.69@@6.526411858713339,2.87 ± 1.09 / 21.57 ± 1.16@@2.874197246506274,10.0.1@@100001,12.5.2@@120502,12.5.2@@120502,12.1.0@@120100,12.1.0@@120100,12.1.0@@120100,12.1.0@@120100,15.2.0.dev0@@150200,15.2.0.dev0@@150200
ibm-granite/granite-3b-code-base-2k (few-shot),4.03,3482503680.0,49152.0,2048,1886.2,🧠,✓,✗,20.96 ± 1.46 / 32.74 ± 0.88@@20.957684547155356,56.65 ± 2.93 / 51.59 ± 2.64@@56.653626605534214,53.19 ± 1.23 / 48.88 ± 1.08@@53.19101360258174,5.02 ± 2.77 / 45.10 ± 5.01@@5.023505634780286,3.21 ± 1.89 / 44.06 ± 4.58@@3.206168989396694,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,49.25 ± 4.27 / 9.07 ± 1.22@@49.247866867663106,2.80 ± 0.99 / 29.73 ± 0.74@@2.7993716135343205,4.14 ± 1.33 / 22.43 ± 1.27@@4.135348164568082,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200
RuterNorway/Llama-2-7b-chat-norwegian (few-shot),4.06,,32000.0,4096,10889.7,📝,✗,✗,12.22 ± 1.17 / 23.50 ± 3.03@@12.216932987705668,21.04 ± 2.63 / 20.44 ± 2.47@@21.040151954819947,18.71 ± 2.67 / 19.91 ± 2.89@@18.709840509436923,-1.18 ± 1.40 / 35.70 ± 2.67@@-1.177416104644854,0.36 ± 1.28 / 37.66 ± 4.07@@0.3553682022596787,50.11 ± 1.80 / 26.86 ± 1.65@@50.10850412018609,53.49 ± 5.64 / 9.38 ± 1.34@@53.48991168910289,2.79 ± 1.88 / 24.57 ± 2.19@@2.7900463223758187,-0.12 ± 2.01 / 19.94 ± 0.98@@-0.1153955741330927,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,12.5.2@@120502,11.0.0@@110000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
ibm-granite/granite-3.0-1b-a400m-base (few-shot),4.07,1384956928.0,49152.0,4096,7808.38,🧠,✓,✗,17.59 ± 2.80 / 35.34 ± 4.36@@17.58794035303253,31.16 ± 1.45 / 30.20 ± 1.07@@31.16339848564791,29.73 ± 2.46 / 28.89 ± 2.68@@29.725551219365578,1.07 ± 1.90 / 44.05 ± 3.72@@1.0737455208262918,1.59 ± 1.56 / 41.39 ± 3.86@@1.5928300831828897,14.48 ± 2.08 / 6.92 ± 0.87@@14.476077146855221,55.43 ± 1.50 / 8.39 ± 0.75@@55.42647828595364,-0.16 ± 0.82 / 24.42 ± 0.45@@-0.15669920544670307,-0.08 ± 0.63 / 19.76 ± 0.59@@-0.08172149097343671,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,15.2.0.dev0@@150200,15.2.0.dev0@@150200
PleIAs/Pleias-3b-Preview (few-shot),4.09,3211926528.0,65536.0,4096,6513.19,🧠,✓,✗,18.74 ± 2.86 / 27.39 ± 3.91@@18.738560264137842,28.82 ± 3.76 / 28.03 ± 3.72@@28.818336411931377,27.81 ± 4.34 / 26.00 ± 4.14@@27.805777043494075,-0.46 ± 1.39 / 36.22 ± 3.32@@-0.46053962949729177,-0.84 ± 1.32 / 37.42 ± 3.48@@-0.8428503845722276,23.98 ± 3.22 / 14.06 ± 1.93@@23.977745346245513,53.53 ± 1.41 / 7.98 ± 0.87@@53.52596250384523,0.65 ± 1.38 / 24.35 ± 0.72@@0.6533417565218733,-0.60 ± 1.34 / 19.62 ± 0.78@@-0.5967698300421898,14.1.2@@140102,14.0.4@@140004,14.0.4@@140004,14.1.2@@140102,14.1.2@@140102,14.3.0@@140300,14.0.4@@140004,15.2.0.dev0@@150200,15.2.0.dev0@@150200
HPLT/gpt-7b-nordic-prerelease (few-shot),4.1,7550013440.0,131072.0,4096,1382.06,🧠,✓,✗,17.44 ± 3.49 / 35.51 ± 4.10@@17.444613947343022,20.25 ± 6.26 / 20.45 ± 5.54@@20.24821781820681,28.99 ± 5.03 / 27.50 ± 4.36@@28.98854444157402,3.20 ± 1.84 / 34.58 ± 0.97@@3.2036286342931075,2.61 ± 1.80 / 34.49 ± 1.46@@2.6056647603819227,40.73 ± 3.86 / 21.50 ± 2.60@@40.72815247361773,49.59 ± 1.68 / 5.67 ± 0.54@@49.588564434307045,0.81 ± 0.72 / 24.20 ± 0.46@@0.8099264695096299,-0.61 ± 1.22 / 19.76 ± 0.49@@-0.6089693243780873,12.3.2@@120302,12.5.2@@120502,12.5.2@@120502,12.3.2@@120302,12.3.2@@120302,12.3.2@@120302,12.3.2@@120302,15.2.0.dev0@@150200,15.2.0.dev0@@150200
ibm-granite/granite-3b-code-instruct-2k (few-shot),4.11,3482503680.0,49152.0,2048,3813.13,📝,✓,✗,17.59 ± 1.86 / 22.82 ± 2.09@@17.589568573956257,54.03 ± 2.42 / 50.40 ± 2.72@@54.03314737720055,53.25 ± 1.52 / 49.16 ± 1.73@@53.24708644408428,1.78 ± 1.84 / 35.16 ± 1.38@@1.7815392149933864,1.77 ± 2.05 / 34.83 ± 1.27@@1.7728479388345737,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,49.26 ± 4.30 / 8.81 ± 0.74@@49.261731927254004,2.14 ± 1.06 / 28.56 ± 0.98@@2.1424914211668344,6.37 ± 1.05 / 23.96 ± 0.67@@6.371170877497459,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200
AI-Sweden-Models/gpt-sw3-126m-instruct (few-shot),4.13,186112512.0,64000.0,2048,7717.03,📝,✓,✗,5.13 ± 3.33 / 20.41 ± 3.12@@5.12943816556494,27.66 ± 2.00 / 28.61 ± 2.15@@27.663618083465895,30.88 ± 2.13 / 31.97 ± 2.10@@30.875690673161127,0.00 ± 0.00 / 33.25 ± 0.30@@0.0,0.00 ± 0.00 / 32.79 ± 0.34@@0.0,15.63 ± 2.64 / 7.55 ± 1.17@@15.631638713456269,58.91 ± 0.95 / 9.74 ± 0.45@@58.91495764313731,-0.51 ± 2.06 / 24.54 ± 1.58@@-0.509391251785324,0.87 ± 1.17 / 20.33 ± 0.86@@0.8709795971851545,9.3.2@@90302,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,12.4.0@@120400,12.4.0@@120400,15.2.0.dev0@@150200,15.2.0.dev0@@150200
infly/OpenCoder-1.5B-Instruct (few-shot),4.14,1905650880.0,96640.0,4096,7719.75,📝,✗,✗,3.13 ± 1.68 / 12.21 ± 3.26@@3.1275851837521635,45.29 ± 4.14 / 38.23 ± 4.49@@45.28526891426914,44.59 ± 1.70 / 39.83 ± 3.34@@44.5897566418224,1.69 ± 1.69 / 39.45 ± 3.76@@1.6911460367313582,1.29 ± 1.29 / 36.56 ± 2.27@@1.2930582833837903,21.24 ± 2.22 / 8.06 ± 1.75@@21.239416631676004,52.11 ± 1.24 / 5.27 ± 0.69@@52.114670611917965,0.82 ± 1.29 / 25.08 ± 1.08@@0.8184206754996401,0.35 ± 1.60 / 19.26 ± 0.65@@0.3524007232723527,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,15.2.0.dev0@@150200,15.2.0.dev0@@150200
Qwen/Qwen1.5-0.5B (few-shot),4.23,619570176.0,151936.0,32768,11371.34,📝,✓,✗,6.31 ± 3.46 / 20.67 ± 2.69@@6.3064050362645885,34.46 ± 2.01 / 33.09 ± 2.32@@34.45902200157905,33.41 ± 2.21 / 33.91 ± 2.33@@33.409558227567146,-1.59 ± 1.08 / 36.27 ± 3.71@@-1.5931645686200733,0.61 ± 1.41 / 38.84 ± 5.10@@0.6126818799019289,16.20 ± 1.93 / 5.95 ± 1.53@@16.196273887713676,49.88 ± 3.11 / 5.75 ± 0.88@@49.87959033627703,4.04 ± 2.13 / 26.27 ± 1.09@@4.040912592627163,1.59 ± 1.12 / 20.96 ± 0.86@@1.5888606624479364,10.0.1@@100001,12.5.2@@120502,12.5.2@@120502,12.1.0@@120100,12.1.0@@120100,12.1.0@@120100,12.1.0@@120100,15.2.0.dev0@@150200,15.2.0.dev0@@150200
PleIAs/Pleias-Nano (few-shot),4.23,1195468800.0,65536.0,2048,2519.09,🧠,✓,✗,22.22 ± 1.30 / 32.60 ± 1.49@@22.215973510880072,27.47 ± 4.87 / 27.10 ± 3.15@@27.47499749768647,23.82 ± 4.37 / 27.33 ± 3.71@@23.819662677490207,-2.06 ± 1.97 / 35.29 ± 1.70@@-2.06414730819028,-0.77 ± 1.41 / 35.74 ± 1.76@@-0.7730640756936759,6.45 ± 2.25 / 3.24 ± 1.47@@6.449288084648396,49.84 ± 3.33 / 6.70 ± 0.85@@49.84212961549929,0.17 ± 1.34 / 26.47 ± 1.08@@0.1746260964518006,0.45 ± 1.21 / 19.92 ± 0.83@@0.44904722143363235,14.1.2@@140102,14.0.4@@140004,14.0.4@@140004,14.1.2@@140102,14.1.2@@140102,14.3.0@@140300,14.0.4@@140004,15.2.0.dev0@@150200,15.2.0.dev0@@150200
HuggingFaceTB/SmolLM2-135M (few-shot),4.29,134515008.0,49152.0,8192,26346.08,🧠,✓,✗,8.84 ± 4.19 / 29.74 ± 3.45@@8.841143250165878,24.37 ± 2.17 / 26.91 ± 2.28@@24.373082114309344,24.69 ± 1.85 / 27.60 ± 2.48@@24.694513564647437,-1.20 ± 1.10 / 36.09 ± 3.06@@-1.20208217920426,-0.50 ± 1.21 / 36.68 ± 3.16@@-0.5037743063305812,2.31 ± 0.44 / 0.16 ± 0.13@@2.3070473498488524,53.61 ± 2.33 / 6.64 ± 0.79@@53.6096839961101,1.23 ± 1.60 / 24.97 ± 0.66@@1.2279112374748078,0.80 ± 0.92 / 20.79 ± 0.90@@0.7963881743746142,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,15.2.0.dev0@@150200,15.2.0.dev0@@150200
Qwen/Qwen2.5-Math-1.5B (few-shot),4.3,1543714304.0,151936.0,4096,6762.99,📝,✓,✗,7.25 ± 2.47 / 17.79 ± 4.60@@7.249721954673424,26.30 ± 1.79 / 21.10 ± 2.42@@26.303808347523212,23.59 ± 1.75 / 18.89 ± 2.02@@23.589678285390818,0.19 ± 2.04 / 43.83 ± 4.54@@0.1909653627155397,4.63 ± 1.62 / 47.77 ± 2.91@@4.627587757428859,8.65 ± 1.45 / 0.02 ± 0.02@@8.650051134044293,50.97 ± 2.10 / 5.42 ± 0.69@@50.96795527308131,2.60 ± 1.24 / 26.91 ± 0.80@@2.595314333549729,4.83 ± 1.43 / 23.58 ± 1.04@@4.830514633364389,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.2.0.dev0@@150200,15.2.0.dev0@@150200
NbAiLab/nb-gpt-j-6B-v2 (few-shot),4.33,6050882784.0,50400.0,1024,2555.5,🧠,✗,✗,20.84 ± 6.06 / 35.78 ± 5.94@@20.84028440089652,5.29 ± 4.68 / 4.93 ± 4.38@@5.287235961864479,6.77 ± 6.18 / 6.78 ± 5.66@@6.767250276829379,0.45 ± 1.09 / 34.65 ± 1.93@@0.45247186877353684,0.48 ± 0.66 / 32.86 ± 0.34@@0.48197312556261174,22.78 ± 2.29 / 2.43 ± 0.61@@22.781665895163865,44.23 ± 0.84 / 6.81 ± 0.16@@44.23117724734766,5.72 ± 2.23 / 30.12 ± 1.39@@5.7167865492291305,0.69 ± 1.30 / 20.62 ± 1.16@@0.6892578771975466,10.0.1@@100001,9.3.1@@90301,9.3.1@@90301,11.0.0@@110000,11.0.0@@110000,12.5.1@@120501,11.0.0@@110000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
HuggingFaceTB/SmolLM2-135M-Instruct (few-shot),4.39,134515008.0,49152.0,8192,25602.11,📝,✓,✗,2.78 ± 4.25 / 26.17 ± 3.37@@2.7810430545874416,20.89 ± 2.55 / 22.28 ± 2.32@@20.89077505791889,19.62 ± 1.91 / 21.82 ± 2.35@@19.62342228130592,-0.98 ± 1.80 / 40.63 ± 4.03@@-0.9846919224848288,0.93 ± 2.26 / 40.91 ± 4.95@@0.9338935364621843,2.19 ± 0.57 / 0.15 ± 0.13@@2.1898041806333337,53.93 ± 2.39 / 6.60 ± 0.99@@53.93413645142573,1.56 ± 1.37 / 24.10 ± 1.59@@1.560448953793309,-0.79 ± 1.80 / 19.58 ± 1.08@@-0.7885229174936642,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,15.2.0.dev0@@150200,15.2.0.dev0@@150200
HuggingFaceTB/SmolLM2-360M (few-shot),4.4,361821120.0,49152.0,8192,22023.39,🧠,✓,✗,6.21 ± 2.55 / 23.74 ± 3.28@@6.21111723824138,26.60 ± 1.99 / 23.60 ± 2.05@@26.598315077448298,23.70 ± 1.58 / 23.04 ± 2.17@@23.702499980791895,-0.39 ± 0.76 / 33.40 ± 0.31@@-0.38904548072842643,0.21 ± 0.41 / 35.33 ± 3.02@@0.21173173399076625,10.23 ± 1.68 / 4.65 ± 1.00@@10.233427783391452,48.59 ± 1.59 / 6.80 ± 0.45@@48.593701058925944,0.40 ± 0.92 / 24.31 ± 0.40@@0.3980573756623769,1.40 ± 1.46 / 20.13 ± 0.67@@1.3982094916550374,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,15.2.0.dev0@@150200,15.2.0.dev0@@150200
HuggingFaceTB/SmolLM2-360M-Instruct (few-shot),4.4,361821120.0,49152.0,8192,21776.98,📝,✓,✗,7.60 ± 2.24 / 26.47 ± 2.89@@7.596555851784677,20.37 ± 5.55 / 21.57 ± 3.57@@20.371086261874197,21.27 ± 5.10 / 22.34 ± 4.41@@21.273270462652867,1.31 ± 1.92 / 45.75 ± 3.36@@1.307208581774104,0.51 ± 1.81 / 38.71 ± 2.95@@0.5139688500832497,10.53 ± 2.12 / 4.80 ± 1.18@@10.534873652247004,49.27 ± 1.15 / 7.39 ± 0.36@@49.27223072358174,1.24 ± 1.25 / 24.91 ± 0.97@@1.2442090181914043,-1.76 ± 2.13 / 18.87 ± 1.54@@-1.7566527603307216,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,15.2.0.dev0@@150200,15.2.0.dev0@@150200
NorwAI/NorwAI-Mistral-7B-pretrain (few-shot),4.42,7536586752.0,67993.0,4065,3023.95,🧠,✓,✗,8.70 ± 4.43 / 25.39 ± 3.30@@8.700883590316552,12.77 ± 3.48 / 14.13 ± 3.09@@12.769708835724236,10.51 ± 3.44 / 9.95 ± 3.51@@10.50769883167832,0.00 ± 1.60 / 38.54 ± 3.41@@0.0033363463981308378,0.82 ± 1.39 / 37.77 ± 4.45@@0.816012194123367,10.19 ± 1.99 / 1.85 ± 0.82@@10.18887080845929,49.76 ± 2.04 / 6.51 ± 0.86@@49.76225751634047,-1.90 ± 1.12 / 23.91 ± 0.46@@-1.8990455685095977,-0.97 ± 1.15 / 19.62 ± 0.40@@-0.9663246993694891,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,15.2.0.dev0@@150200,15.2.0.dev0@@150200
AI-Sweden-Models/gpt-sw3-126m (few-shot),4.43,186112512.0,64000.0,2048,8957.78,🧠,✓,✗,7.78 ± 3.76 / 21.70 ± 5.02@@7.780067187905569,13.55 ± 6.73 / 15.90 ± 5.66@@13.54501489124271,9.38 ± 4.88 / 11.18 ± 4.52@@9.375361218285006,-1.46 ± 1.07 / 43.30 ± 2.30@@-1.4582449145005898,-2.97 ± 1.29 / 44.41 ± 3.18@@-2.965415443733966,6.65 ± 1.90 / 2.32 ± 0.68@@6.647605333707173,51.68 ± 2.20 / 7.39 ± 0.89@@51.681916528687,1.19 ± 1.64 / 25.79 ± 1.25@@1.1941887645068925,0.86 ± 1.00 / 20.59 ± 0.76@@0.8649879660905824,9.2.0@@90200,9.2.0@@90200,9.2.0@@90200,9.2.0@@90200,9.2.0@@90200,12.5.1@@120501,11.0.0@@110000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
PleIAs/Pleias-350m-Preview (few-shot),4.49,353424384.0,65536.0,2048,8386.9,🧠,✓,✗,7.91 ± 2.20 / 17.44 ± 3.42@@7.909051421042354,26.59 ± 2.14 / 26.61 ± 2.49@@26.587435576722278,26.78 ± 1.46 / 26.94 ± 1.92@@26.78355556572815,0.28 ± 1.08 / 36.00 ± 3.05@@0.2808515409686877,0.04 ± 1.65 / 41.17 ± 5.30@@0.038177397620106183,3.29 ± 1.17 / 0.82 ± 0.47@@3.2931833676966837,45.83 ± 1.92 / 5.61 ± 0.51@@45.82957034181163,-1.13 ± 0.94 / 26.42 ± 1.18@@-1.1337790520743856,-0.77 ± 1.12 / 19.54 ± 1.03@@-0.7741813659713362,14.1.2@@140102,14.0.4@@140004,14.0.4@@140004,14.1.2@@140102,14.1.2@@140102,14.3.0@@140300,14.0.4@@140004,15.2.0.dev0@@150200,15.2.0.dev0@@150200
PleIAs/Pleias-Pico (few-shot),4.56,353424384.0,65536.0,2048,8343.25,🧠,✓,✗,8.05 ± 2.35 / 22.59 ± 2.42@@8.051372149991957,25.02 ± 2.09 / 25.54 ± 2.29@@25.015247748426884,21.59 ± 3.84 / 21.51 ± 4.17@@21.587083810908638,-0.15 ± 1.40 / 36.65 ± 4.39@@-0.15083558118934273,-0.97 ± 1.78 / 39.00 ± 3.45@@-0.9721079366841041,2.70 ± 0.95 / 0.53 ± 0.39@@2.6976359966259524,43.81 ± 1.95 / 4.91 ± 0.42@@43.81456116876507,0.14 ± 1.45 / 24.50 ± 0.61@@0.13943210442785314,0.03 ± 1.60 / 20.33 ± 1.06@@0.029975620245190765,14.1.2@@140102,14.0.4@@140004,14.0.4@@140004,14.1.2@@140102,14.1.2@@140102,14.3.0@@140300,14.0.4@@140004,15.2.0.dev0@@150200,15.2.0.dev0@@150200
infly/OpenCoder-1.5B-Base (few-shot),4.59,1905650960.0,96640.0,4096,7718.23,🧠,✓,✗,0.51 ± 1.98 / 18.25 ± 3.93@@0.5067637576354579,21.94 ± 10.53 / 19.83 ± 7.58@@21.942789330981654,14.45 ± 5.60 / 14.19 ± 5.37@@14.447302924008074,1.26 ± 1.43 / 37.51 ± 4.66@@1.2636046164216874,1.84 ± 1.59 / 37.95 ± 3.83@@1.8372793350108638,1.16 ± 0.19 / 0.00 ± 0.00@@1.15553960447121,45.83 ± 1.08 / 4.24 ± 0.46@@45.82691263829474,2.07 ± 2.28 / 23.94 ± 0.77@@2.066409858923539,-0.15 ± 1.24 / 19.69 ± 1.05@@-0.150963476749482,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,15.0.0@@150000,15.0.0@@150000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
