model,generative_type,rank,french,italian,spanish,parameters,vocabulary_size,context,commercial,merge,allocine,eltec,scala_fr,fquad,sentipolc16,multinerd_it,scala_it,squad_it,sentiment_headlines_es,conll_es,scala_es,mlqa_es,allocine_version,eltec_version,scala_fr_version,fquad_version,sentipolc16_version,multinerd_it_version,scala_it_version,squad_it_version,sentiment_headlines_es_version,conll_es_version,scala_es_version,mlqa_es_version
<a href='https://huggingface.co/meta-llama/Llama-2-13b-chat-hf'>meta-llama/Llama-2-13b-chat-hf (few-shot)</a>,📝,-@@100,2.54@@2.54,2.51@@2.51,-@@100,13015866880.0,32000.0,4096.0,✓,✗,90.85 ± 0.91 / 95.34 ± 0.48@@90.84512453593717,39.98 ± 1.88 / 30.71 ± 1.98@@39.975936387395265,20.05 ± 1.84 / 56.83 ± 1.59@@20.053633416729078,59.68 ± 1.91 / 34.62 ± 1.03@@59.676967586111786,47.66 ± 1.61 / 55.79 ± 1.73@@47.659200844365024,51.79 ± 2.50 / 36.14 ± 1.53@@51.79166796088899,11.42 ± 1.34 / 41.66 ± 1.58@@11.418171408227673,62.40 ± 1.43 / 44.69 ± 2.07@@62.399397542216505,-@@-1,-@@-1,-@@-1,-@@-1,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/NovaSky-AI/Sky-T1-32B-Preview'>NovaSky-AI/Sky-T1-32B-Preview (few-shot)</a>,📝,-@@100,-@@100,-@@100,-@@100,32763876352.0,152064.0,32768.0,✓,✗,95.14 ± 0.58 / 97.57 ± 0.29@@95.13747593125824,-@@-1,-@@-1,-@@-1,66.05 ± 1.34 / 76.42 ± 1.09@@66.05053089351841,-@@-1,-@@-1,-@@-1,50.63 ± 1.31 / 64.73 ± 1.22@@50.628040129836236,-@@-1,-@@-1,-@@-1,15.4.2.dev0@@150402,-@@0,-@@0,-@@0,15.4.2.dev0@@150402,-@@0,-@@0,-@@0,15.4.2.dev0@@150402,-@@0,-@@0,-@@0
<a href='https://huggingface.co/sentence-transformers/distiluse-base-multilingual-cased'>sentence-transformers/distiluse-base-multilingual-cased</a>,🔍,-@@100,3.51@@3.51,3.47@@3.47,-@@100,134734080.0,119547.0,512.0,✓,✗,63.24 ± 1.69 / 81.54 ± 0.83@@63.241307075669354,51.01 ± 1.27 / 50.63 ± 1.43@@51.01457848268212,0.09 ± 1.67 / 46.58 ± 1.41@@0.08856924806074278,4.85 ± 0.71 / 0.92 ± 0.19@@4.849391182582728,40.68 ± 1.77 / 60.28 ± 1.19@@40.67950336948047,53.52 ± 2.99 / 51.90 ± 1.99@@53.52453394571211,0.64 ± 1.12 / 46.82 ± 1.71@@0.6372429237204565,6.19 ± 0.43 / 2.15 ± 0.39@@6.185988822462342,20.81 ± 7.06 / 40.25 ± 8.28@@20.81411762659792,57.75 ± 1.83 / 61.54 ± 1.78@@57.75132003667982,1.23 ± 0.98 / 47.47 ± 1.75@@1.2258671251700426,-@@-1,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,-@@0
<a href='https://huggingface.co/sentence-transformers/distiluse-base-multilingual-cased-v2'>sentence-transformers/distiluse-base-multilingual-cased-v2</a>,🔍,-@@100,3.51@@3.51,3.47@@3.47,-@@100,134734080.0,119547.0,512.0,✓,✗,63.24 ± 1.69 / 81.54 ± 0.83@@63.241307075669354,50.99 ± 1.28 / 50.60 ± 1.41@@50.992498052969395,0.09 ± 1.67 / 46.58 ± 1.41@@0.08856924806074278,4.84 ± 0.67 / 0.93 ± 0.16@@4.839591544126069,40.68 ± 1.77 / 60.28 ± 1.19@@40.67950336948047,53.29 ± 2.67 / 51.73 ± 1.84@@53.292544461476666,0.64 ± 1.12 / 46.82 ± 1.71@@0.6372429237204565,6.24 ± 0.36 / 2.14 ± 0.37@@6.24108354498365,20.81 ± 7.06 / 40.25 ± 8.28@@20.81411762659792,57.72 ± 1.82 / 61.53 ± 1.80@@57.72155839104796,1.22 ± 0.98 / 47.47 ± 1.79@@1.2224073650879625,-@@-1,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,-@@0
"<a href='https://platform.openai.com/docs/models/gpt-4-turbo'>gpt-4-1106-preview (few-shot, val)</a>",📝,-@@100,1.51@@1.51,-@@100,-@@100,,100256.0,128000.0,✓,✗,95.68 ± 1.38 / 97.82 ± 0.69@@95.68384432198663,75.02 ± 2.41 / 65.24 ± 2.34@@75.01527726544721,42.17 ± 3.64 / 66.35 ± 1.90@@42.17472963097308,69.15 ± 1.21 / 35.06 ± 1.84@@69.14911747426089,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/allenai/OLMo-2-1124-13B'>allenai/OLMo-2-1124-13B (few-shot)</a>,🧠,-@@100,2.21@@2.21,-@@100,-@@100,13716198400.0,100352.0,4096.0,✓,✗,95.61 ± 0.43 / 97.80 ± 0.22@@95.61058422641162,51.04 ± 2.07 / 47.64 ± 1.82@@51.04190857698517,13.99 ± 5.18 / 41.49 ± 4.54@@13.985595540257222,76.02 ± 0.70 / 48.07 ± 0.40@@76.01928726195821,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/CohereForAI/c4ai-command-r-08-2024'>CohereForAI/c4ai-command-r-08-2024 (few-shot)</a>,📝,-@@100,1.68@@1.68,1.67@@1.67,-@@100,32296476672.0,256000.0,131072.0,✗,✗,90.93 ± 0.85 / 95.34 ± 0.44@@90.93177323486033,69.56 ± 1.43 / 61.05 ± 2.50@@69.55863332596267,40.65 ± 2.66 / 68.91 ± 1.64@@40.64512109550883,70.14 ± 1.18 / 41.17 ± 1.01@@70.14035156993383,56.07 ± 1.73 / 69.41 ± 1.42@@56.07352986767942,80.10 ± 0.74 / 57.67 ± 2.47@@80.10459600637618,27.31 ± 1.88 / 54.36 ± 2.55@@27.310952525347922,72.56 ± 0.48 / 51.91 ± 0.70@@72.56321330263792,-@@-1,-@@-1,-@@-1,-@@-1,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/ibm-granite/granite-20b-code-instruct'>ibm-granite/granite-20b-code-instruct (few-shot)</a>,📝,-@@100,-@@100,-@@100,-@@100,20066993152.0,49152.0,8192.0,✓,✗,0.00 ± 0.00 / 32.22 ± 0.34@@0.0,-@@-1,-@@-1,-@@-1,30.32 ± 1.82 / 42.15 ± 2.10@@30.324104833426436,-@@-1,-@@-1,-@@-1,14.34 ± 2.06 / 27.39 ± 2.13@@14.337181440004857,-@@-1,-@@-1,-@@-1,15.4.2.dev0@@150402,-@@0,-@@0,-@@0,15.4.2.dev0@@150402,-@@0,-@@0,-@@0,15.4.2.dev0@@150402,-@@0,-@@0,-@@0
<a href='https://huggingface.co/tiiuae/Falcon3-10B-Base'>tiiuae/Falcon3-10B-Base (few-shot)</a>,🧠,-@@100,1.98@@1.98,-@@100,-@@100,10305653760.0,131072.0,32768.0,✓,✗,93.22 ± 0.70 / 96.54 ± 0.37@@93.21918674679938,52.33 ± 1.96 / 51.24 ± 2.03@@52.32677843992325,32.97 ± 2.93 / 65.95 ± 1.29@@32.9708994160015,74.82 ± 2.12 / 47.81 ± 1.63@@74.82395474883927,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/tiiuae/Falcon3-10B-Instruct'>tiiuae/Falcon3-10B-Instruct (few-shot)</a>,📝,-@@100,1.91@@1.91,-@@100,-@@100,10305653760.0,131072.0,32768.0,✓,✗,94.51 ± 0.52 / 97.24 ± 0.26@@94.51144966468235,52.91 ± 1.66 / 51.66 ± 1.62@@52.913528964902746,34.10 ± 2.35 / 59.81 ± 2.48@@34.10491497121866,74.33 ± 1.41 / 42.69 ± 0.93@@74.3251752641631,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/Qwen/Qwen1.5-14B'>Qwen/Qwen1.5-14B (few-shot)</a>,📝,-@@100,2.75@@2.75,2.99@@2.99,-@@100,14167290880.0,152064.0,32768.0,✓,✗,91.02 ± 0.61 / 95.41 ± 0.32@@91.02201713548956,39.21 ± 1.27 / 26.88 ± 0.86@@39.208123796231334,31.44 ± 2.80 / 65.41 ± 1.45@@31.4385372376493,23.53 ± 0.21 / 0.02 ± 0.02@@23.533595619785764,40.44 ± 0.88 / 44.26 ± 0.65@@40.43901048583896,39.24 ± 1.62 / 25.27 ± 1.30@@39.23747158343824,26.57 ± 2.07 / 62.56 ± 0.98@@26.57356232650598,15.60 ± 0.67 / 0.00 ± 0.00@@15.600500535034964,-@@-1,-@@-1,-@@-1,-@@-1,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/infly/OpenCoder-8B-Instruct'>infly/OpenCoder-8B-Instruct (few-shot)</a>,📝,-@@100,2.60@@2.60,-@@100,-@@100,7771262976.0,96640.0,8192.0,✓,✗,81.38 ± 2.16 / 90.29 ± 1.34@@81.3818036213544,48.54 ± 1.86 / 41.91 ± 2.01@@48.53866551652388,11.69 ± 2.16 / 51.91 ± 3.44@@11.691143827565483,58.80 ± 2.06 / 30.69 ± 2.90@@58.79614497740052,42.93 ± 3.66 / 61.44 ± 2.65@@42.934015158090524,-@@-1,9.48 ± 2.89 / 50.42 ± 2.52@@9.476610616333817,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,15.8.1.dev0@@150801,-@@0,15.8.2@@150802,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/Qwen/Qwen1.5-14B-Chat'>Qwen/Qwen1.5-14B-Chat (few-shot)</a>,📝,-@@100,1.90@@1.90,2.13@@2.13,-@@100,14167290880.0,152064.0,32768.0,✗,✗,93.24 ± 0.65 / 96.57 ± 0.33@@93.23983751018487,54.90 ± 1.51 / 46.77 ± 2.40@@54.900694333131874,38.70 ± 2.36 / 66.78 ± 1.60@@38.69567712739544,68.62 ± 1.26 / 39.10 ± 0.81@@68.62226823499931,42.55 ± 0.95 / 45.62 ± 0.71@@42.54768767106462,52.77 ± 1.95 / 38.02 ± 2.83@@52.77016457528774,28.34 ± 2.59 / 63.15 ± 1.55@@28.338678013268883,68.79 ± 0.39 / 48.09 ± 1.14@@68.78756906238718,-@@-1,-@@-1,-@@-1,-@@-1,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/infly/OpenCoder-8B-Base'>infly/OpenCoder-8B-Base (few-shot)</a>,📝,-@@100,2.99@@2.99,-@@100,-@@100,7771263040.0,96640.0,8192.0,✓,✗,84.15 ± 0.69 / 92.03 ± 0.34@@84.15254340320354,48.58 ± 2.25 / 42.72 ± 2.85@@48.5829808362518,3.82 ± 1.44 / 49.83 ± 1.53@@3.8172674662335018,33.24 ± 2.14 / 0.28 ± 0.15@@33.237264100859704,26.81 ± 5.41 / 39.71 ± 6.41@@26.807187987220715,-@@-1,3.33 ± 1.97 / 47.65 ± 2.23@@3.333375119758715,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,15.0.0@@150000,15.7.2.dev0@@150702,-@@0,15.8.2@@150802,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/infly/OpenCoder-1.5B-Instruct'>infly/OpenCoder-1.5B-Instruct (few-shot)</a>,📝,-@@100,3.78@@3.78,-@@100,-@@100,1905650880.0,96640.0,4096.0,✗,✗,11.34 ± 7.98 / 40.30 ± 5.23@@11.340768549560892,42.89 ± 1.63 / 41.13 ± 1.37@@42.88951411234979,1.22 ± 1.93 / 39.83 ± 3.34@@1.223628621199224,31.22 ± 0.91 / 14.62 ± 1.12@@31.2183152750273,13.18 ± 3.90 / 27.42 ± 4.75@@13.17520341717845,-@@-1,1.07 ± 1.50 / 38.50 ± 3.07@@1.0695202265266042,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,15.8.1.dev0@@150801,-@@0,15.8.2@@150802,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/infly/OpenCoder-1.5B-Base'>infly/OpenCoder-1.5B-Base (few-shot)</a>,📝,-@@100,4.57@@4.57,-@@100,-@@100,1905650960.0,96640.0,4096.0,✓,✗,-1.42 ± 0.78 / 37.30 ± 2.54@@-1.424955388728338,7.18 ± 5.15 / 7.44 ± 4.75@@7.181180490324583,0.66 ± 1.11 / 37.54 ± 4.14@@0.6579703684896019,13.99 ± 0.76 / 0.08 ± 0.07@@13.99352368717268,1.01 ± 1.47 / 25.21 ± 2.53@@1.0065704818507226,-@@-1,-0.15 ± 2.26 / 38.34 ± 3.42@@-0.14939891521838436,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,15.0.0@@150000,15.7.2.dev0@@150702,-@@0,15.8.2@@150802,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/PleIAs/Pleias-3b-Preview'>PleIAs/Pleias-3b-Preview (few-shot)</a>,🧠,-@@100,-@@100,-@@100,-@@100,3211926528.0,65536.0,4096.0,✓,✗,76.40 ± 2.50 / 88.06 ± 1.32@@76.39985431039248,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.8.1.dev0@@150801,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/intfloat/multilingual-e5-large-instruct'>intfloat/multilingual-e5-large-instruct</a>,🔍,-@@100,-@@100,-@@100,-@@100,559890432.0,250002.0,512.0,✓,✗,-@@-1,-@@-1,-@@-1,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,-@@-1,-@@-1,-@@-1,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,-@@-1,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,-@@-1,-@@-1,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,-@@0,-@@0,-@@0,15.3.1.dev0@@150301,-@@0,15.6.1.dev0@@150601,-@@0,-@@0
<a href='https://huggingface.co/almanach/camembert-base'>almanach/camembert-base</a>,🔍,-@@100,3.23@@3.23,-@@100,-@@100,111246085.0,32005.0,512.0,✓,✗,89.86 ± 0.53 / 94.92 ± 0.27@@89.85862005880661,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,30.76 ± 17.30 / 59.27 ± 11.30@@30.758581107899452,31.70 ± 2.56 / 12.04 ± 1.30@@31.695661322038696,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
"<a href='https://ollama.com/library/phi4:14b-q4_K_M'>ollama_chat/phi4:14b-q4_K_M (few-shot, val)</a>",📝,-@@100,1.66@@1.66,1.34@@1.34,-@@100,14700000000.0,100352.0,16384.0,✓,✗,95.39 ± 1.56 / 97.68 ± 0.79@@95.38758352596497,64.43 ± 4.03 / 62.07 ± 3.64@@64.43460591624034,43.62 ± 3.29 / 64.93 ± 2.80@@43.61549682972877,71.88 ± 1.98 / 37.20 ± 2.92@@71.88310588602049,62.91 ± 1.86 / 73.91 ± 1.36@@62.90803490562665,73.54 ± 2.42 / 62.83 ± 3.27@@73.53694274924753,40.57 ± 3.38 / 67.59 ± 2.86@@40.56578312456104,73.52 ± 0.95 / 47.84 ± 2.05@@73.51512529470291,-@@-1,-@@-1,-@@-1,-@@-1,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/almanach/camembertv2-base'>almanach/camembertv2-base</a>,🔍,-@@100,1.41@@1.41,-@@100,-@@100,111635713.0,32768.0,1024.0,✓,✗,90.12 ± 0.75 / 95.01 ± 0.41@@90.11560167899366,77.86 ± 1.21 / 77.54 ± 1.16@@77.85692757514,69.19 ± 2.41 / 83.74 ± 1.66@@69.18504084583714,45.09 ± 3.46 / 25.17 ± 2.62@@45.08822085793147,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/BSC-LT/salamandra-2b-instruct'>BSC-LT/salamandra-2b-instruct (few-shot)</a>,📝,-@@100,2.95@@2.95,-@@100,-@@100,2253490176.0,256000.0,8192.0,✓,✗,83.41 ± 2.17 / 91.28 ± 1.26@@83.4133346911679,31.20 ± 2.27 / 30.19 ± 2.40@@31.199794557944386,-1.10 ± 1.31 / 34.12 ± 0.80@@-1.0992894905922213,63.61 ± 0.81 / 35.05 ± 0.94@@63.60619526215753,29.80 ± 3.91 / 47.09 ± 4.04@@29.80375915829056,-@@-1,1.14 ± 1.32 / 45.92 ± 2.65@@1.1444243920581156,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,15.7.2.dev0@@150702,-@@0,15.7.2.dev0@@150702,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/BSC-LT/salamandra-2b'>BSC-LT/salamandra-2b (few-shot)</a>,🧠,-@@100,3.03@@3.03,-@@100,-@@100,2253490176.0,256000.0,8192.0,✓,✗,85.85 ± 2.62 / 92.72 ± 1.51@@85.84793119442763,28.07 ± 3.24 / 27.43 ± 3.34@@28.06645983828312,3.08 ± 1.52 / 41.62 ± 3.93@@3.078543219943266,53.13 ± 3.53 / 31.89 ± 2.06@@53.13241287547483,29.64 ± 5.99 / 43.91 ± 6.28@@29.64136109414332,-@@-1,2.88 ± 1.46 / 46.06 ± 2.83@@2.881639886218168,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,15.7.2.dev0@@150702,-@@0,15.7.2.dev0@@150702,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/BSC-LT/salamandra-7b-instruct'>BSC-LT/salamandra-7b-instruct (few-shot)</a>,📝,-@@100,2.29@@2.29,-@@100,-@@100,7768117248.0,256000.0,8192.0,✓,✗,94.13 ± 0.52 / 97.06 ± 0.26@@94.12784285347675,47.20 ± 2.06 / 40.71 ± 2.56@@47.2000702741673,14.32 ± 1.73 / 56.48 ± 0.95@@14.315544557741317,73.15 ± 1.15 / 46.41 ± 0.82@@73.14696328579106,44.19 ± 4.82 / 60.19 ± 4.06@@44.194393656440205,-@@-1,8.49 ± 1.25 / 44.76 ± 2.17@@8.490673389032928,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,15.7.2.dev0@@150702,-@@0,15.7.2.dev0@@150702,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/mistralai/Mistral-Nemo-Instruct-2407'>mistralai/Mistral-Nemo-Instruct-2407 (few-shot)</a>,📝,-@@100,1.79@@1.79,1.56@@1.56,-@@100,12247782400.0,131072.0,131072.0,✓,✗,93.29 ± 0.57 / 96.63 ± 0.29@@93.29372850274368,60.80 ± 1.30 / 53.34 ± 1.68@@60.7971287830375,37.09 ± 2.84 / 61.14 ± 3.51@@37.092808326104695,73.00 ± 1.52 / 42.56 ± 1.20@@72.99769809259502,61.20 ± 1.31 / 72.59 ± 1.66@@61.20159514534734,65.49 ± 2.12 / 49.77 ± 1.69@@65.48907202577523,31.77 ± 2.23 / 60.18 ± 3.63@@31.768342539475054,73.31 ± 0.65 / 56.12 ± 0.64@@73.3103979980577,-@@-1,-@@-1,-@@-1,-@@-1,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/mistralai/Mixtral-8x7B-Instruct-v0.1'>mistralai/Mixtral-8x7B-Instruct-v0.1 (few-shot)</a>,📝,-@@100,1.81@@1.81,1.98@@1.98,-@@100,46702792704.0,32000.0,32768.0,✓,✗,93.07 ± 0.54 / 96.49 ± 0.28@@93.06633670654617,54.98 ± 1.71 / 47.29 ± 1.75@@54.98488213874345,43.24 ± 2.41 / 68.19 ± 1.65@@43.24179227233989,69.76 ± 1.84 / 37.06 ± 0.88@@69.75768894463229,57.21 ± 1.14 / 66.91 ± 1.30@@57.20866178015318,56.90 ± 3.05 / 43.87 ± 2.51@@56.90483104546623,27.10 ± 1.51 / 57.00 ± 1.93@@27.10029253380891,66.78 ± 0.81 / 40.53 ± 1.86@@66.77612586697542,-@@-1,-@@-1,-@@-1,-@@-1,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/LumiOpen/Viking-33B'>LumiOpen/Viking-33B (few-shot)</a>,🧠,-@@100,2.53@@2.53,2.78@@2.78,-@@100,33119034368.0,131072.0,4096.0,✓,✗,92.01 ± 0.76 / 95.99 ± 0.38@@92.00639473935934,47.23 ± 2.04 / 40.27 ± 2.37@@47.2279041024623,9.36 ± 1.15 / 46.68 ± 2.86@@9.355784217137025,61.90 ± 1.69 / 37.89 ± 1.22@@61.89704416702661,42.81 ± 1.80 / 50.04 ± 2.01@@42.8098275829295,50.58 ± 3.83 / 42.39 ± 2.92@@50.576330997705966,4.95 ± 2.40 / 41.43 ± 3.96@@4.9521697457541975,58.32 ± 1.05 / 44.01 ± 0.95@@58.319406089287284,-@@-1,-@@-1,-@@-1,-@@-1,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/norallm/normistral-11b-warm'>norallm/normistral-11b-warm (few-shot)</a>,🧠,-@@100,2.42@@2.42,2.67@@2.67,-@@100,11429893120.0,51200.0,1024000.0,✓,✗,91.38 ± 0.78 / 95.65 ± 0.40@@91.38251106917153,55.92 ± 1.32 / 50.35 ± 2.28@@55.916992925121136,3.71 ± 1.79 / 43.42 ± 3.95@@3.7110815533252612,69.41 ± 1.48 / 43.92 ± 1.08@@69.41068022362239,44.16 ± 2.07 / 52.92 ± 3.00@@44.158545433728314,56.67 ± 3.22 / 44.46 ± 2.93@@56.66667417446637,4.31 ± 1.86 / 44.19 ± 3.34@@4.309523060768658,62.10 ± 1.27 / 45.75 ± 2.15@@62.103854770522446,31.70 ± 2.49 / 46.74 ± 2.53@@31.702178201422242,-@@-1,0.38 ± 0.75 / 33.40 ± 0.27@@0.3815201671872209,62.62 ± 1.10 / 38.89 ± 1.70@@62.622926769803904,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.4.1@@150401,-@@0,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/EuroBERT/EuroBERT-210m'>EuroBERT/EuroBERT-210m</a>,🔍,-@@100,-@@100,-@@100,-@@100,212358146.0,128256.0,8192.0,✓,✗,74.88 ± 4.55 / 87.09 ± 2.48@@74.8828145787207,-@@-1,33.20 ± 3.97 / 66.18 ± 1.91@@33.200722341903536,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.2.0.dev0@@150200,-@@0,15.2.0.dev0@@150200,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/BSC-LT/salamandra-7b'>BSC-LT/salamandra-7b (few-shot)</a>,🧠,-@@100,2.44@@2.44,-@@100,-@@100,7768117248.0,256000.0,8192.0,✓,✗,94.11 ± 0.78 / 97.03 ± 0.40@@94.11464963138846,45.34 ± 1.91 / 42.85 ± 1.89@@45.341434427329794,11.69 ± 1.87 / 53.21 ± 1.67@@11.688248418236197,67.56 ± 1.74 / 42.43 ± 1.31@@67.55620423760367,51.49 ± 2.80 / 66.90 ± 2.02@@51.491212999321846,-@@-1,8.84 ± 2.72 / 48.65 ± 3.01@@8.837628904474755,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,15.7.2.dev0@@150702,-@@0,15.8.0@@150800,-@@0,-@@0,-@@0,-@@0,-@@0
"<a href='https://platform.openai.com/docs/models/gpt-4'>gpt-4-0613 (zero-shot, val)</a>",📝,-@@100,1.91@@1.91,-@@100,-@@100,,100256.0,8191.0,✓,✗,95.46 ± 1.14 / 97.70 ± 0.57@@95.46115731503131,54.01 ± 2.05 / 33.09 ± 1.65@@54.01262943489746,34.37 ± 3.38 / 65.35 ± 1.55@@34.37187518615205,73.01 ± 0.97 / 41.46 ± 1.50@@73.01430486164448,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
